0.734473705291748:	servo;	-1
4.644055366516113:	state;	ang v,	0.0184209755045|	vy,	0.0|	y,	42.42732728710292|	timestamp,	3.900851011276245|	x,	-71.4208474718856|	vx,	0.0|	angle,	1.39352252914
4.749716520309448:	imu;	yaw,	-0.0872664675116539
4.766589403152466:	imu;	yaw,	-0.08835729211568832
4.787968635559082:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
4.795391798019409:	imu;	yaw,	-0.08944812417030334
4.840029716491699:	state;	ang v,	-0.0031238382825|	vy,	0.0|	y,	42.427329339084196|	timestamp,	4.096885442733765|	x,	-71.42084966191358|	vx,	0.0|	angle,	1.47527207703
4.889644145965576:	imu;	yaw,	-0.09053895622491837
4.89982795715332:	state;	ang v,	-0.0155765756345|	vy,	0.0|	y,	42.42733075139612|	timestamp,	4.155571460723877|	x,	-71.42085116923866|	vx,	0.0|	angle,	1.52656275537
4.991863965988159:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
4.997703790664673:	imu;	yaw,	-0.08944812417030334
5.012011289596558:	state;	ang v,	0.00878575235363|	vy,	0.0|	y,	42.42733294310624|	timestamp,	4.266564607620239|	x,	-71.42085350839605|	vx,	0.0|	angle,	1.59878156251
5.1944050788879395:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
5.221013307571411:	imu;	yaw,	-0.09053895622491837
5.222597122192383:	state;	ang v,	0.00997299622284|	vy,	0.0|	y,	42.4273345176263|	timestamp,	4.47740626335144|	x,	-71.42085518884208|	vx,	0.0|	angle,	1.64386704287
5.2312586307525635:	imu;	yaw,	-0.08944812417030334
5.280413627624512:	state;	ang v,	0.00140015118556|	vy,	0.0|	y,	42.42733602388918|	timestamp,	4.5374696254730225|	x,	-71.42085679643903|	vx,	0.0|	angle,	1.68658593197
5.357709884643555:	imu;	yaw,	-0.09053895622491837
5.369622707366943:	state;	ang v,	-0.0104430355799|	vy,	0.0|	y,	42.42733742795903|	timestamp,	4.625635623931885|	x,	-71.42085829496797|	vx,	0.0|	angle,	1.72701782892
5.3978495597839355:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
5.433187961578369:	state;	ang v,	-0.0121495382776|	vy,	0.0|	y,	42.4273390826716|	timestamp,	4.688325881958008|	x,	-71.42086006100178|	vx,	0.0|	angle,	1.76524887879
5.598713397979736:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
5.599152088165283:	imu;	yaw,	-0.08944812417030334
