3.3763551712036133:	state;	x,	-71.42083757413158|	vy,	-0.0435851014726|	ang v,	-0.029658093001|	vx,	-0.0435851014726|	angle,	1.8430606405|	y,	42.42730602260872|	timestamp,	2.817920207977295
3.4072797298431396:	imu;	yaw,	4.571671962738037
3.4352078437805176:	state;	x,	-71.42083786117654|	vy,	-0.0298277680473|	ang v,	0.00936772130095|	vx,	-0.0298277680473|	angle,	1.87126786404|	y,	42.42730618168733|	timestamp,	2.882206678390503
3.4369635581970215:	imu;	yaw,	4.570580959320068
3.4958367347717285:	imu;	yaw,	4.571671962738037
3.4973528385162354:	state;	x,	-71.42083814077218|	vy,	-0.0204852471982|	ang v,	0.0164069920541|	vx,	-0.0204852471982|	angle,	1.8984271328|	y,	42.42730633642742|	timestamp,	2.9421024322509766
3.53548002243042:	imu;	yaw,	4.572762489318848
3.5409624576568604:	imu;	yaw,	4.571671962738037
3.554717779159546:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
3.5689537525177:	state;	x,	-71.42083860683127|	vy,	-0.0117256566291|	ang v,	-0.0145626150017|	vx,	-0.0117256566291|	angle,	1.93712135683|	y,	42.42730659494747|	timestamp,	3.01424241065979
3.573230743408203:	imu;	yaw,	4.570580959320068
3.596874952316284:	imu;	yaw,	4.569490432739258
3.6095707416534424:	imu;	yaw,	4.570580959320068
3.625148296356201:	state;	x,	-71.42083892915436|	vy,	-0.00810979876574|	ang v,	0.0129093084907|	vx,	-0.00810979876574|	angle,	1.96152695556|	y,	42.427306773876445|	timestamp,	3.0713951587677
3.6510777473449707:	imu;	yaw,	4.571671962738037
3.6688292026519775:	imu;	yaw,	4.570580959320068
3.6956255435943604:	state;	x,	-71.42083924256313|	vy,	-0.00562856757163|	ang v,	0.00188340586305|	vx,	-0.00562856757163|	angle,	1.98481555721|	y,	42.427306947798584|	timestamp,	3.1375391483306885
3.699873924255371:	imu;	yaw,	4.571671962738037
3.7521963119506836:	state;	x,	-71.42083954221104|	vy,	-0.00392604367038|	ang v,	-0.0129263608601|	vx,	-0.00392604367038|	angle,	2.00699543962|	y,	42.427307114034|	timestamp,	3.1979990005493164
3.754056692123413:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
3.8161048889160156:	state;	x,	-71.42083990988016|	vy,	-0.00274890114321|	ang v,	-0.0150615415209|	vx,	-0.00274890114321|	angle,	2.02808394988|	y,	42.42730731825115|	timestamp,	3.262132406234741
3.860118865966797:	imu;	yaw,	4.572762489318848
3.8792805671691895:	state;	x,	-71.42084026160533|	vy,	-0.00193177402386|	ang v,	-0.00945115622771|	vx,	-0.00193177402386|	angle,	2.04810414285|	y,	42.427307513559064|	timestamp,	3.324831008911133
3.9380431175231934:	imu;	yaw,	4.571671962738037
3.960522174835205:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
3.9611387252807617:	imu;	yaw,	4.570580959320068
3.968513250350952:	imu;	yaw,	4.571671962738037
3.985055685043335:	state;	x,	-71.42084080816863|	vy,	-0.00114923043965|	ang v,	0.00946530900223|	vx,	-0.00114923043965|	angle,	2.07619593025|	y,	42.42730781710333|	timestamp,	3.431497573852539
3.9886703491210938:	imu;	yaw,	4.572762489318848
4.0502769947052:	imu;	yaw,	4.571671962738037
4.054531812667847:	state;	x,	-71.42084117789061|	vy,	-0.0008145261636|	ang v,	-0.0135907258109|	vx,	-0.0008145261636|	angle,	2.09368046585|	y,	42.42730802244997|	timestamp,	3.4960715770721436
4.067834138870239:	imu;	yaw,	4.570580959320068
4.077761888504028:	imu;	yaw,	4.569490432739258
4.0977301597595215:	imu;	yaw,	4.568399429321289
4.137551784515381:	imu;	yaw,	4.569490432739258
4.140409231185913:	imu;	yaw,	4.570580959320068
4.158240556716919:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
4.159740447998047:	state;	x,	-71.42084151277133|	vy,	-0.000581836357954|	ang v,	0.0142359381843|	vx,	-0.000581836357954|	angle,	2.11021282803|	y,	42.42730820843151|	timestamp,	3.604666233062744
4.205808877944946:	imu;	yaw,	4.569490432739258
4.2365992069244385:	state;	x,	-71.42084207748285|	vy,	-0.000352504260948|	ang v,	0.0155901402931|	vx,	-0.000352504260948|	angle,	2.13331096263|	y,	42.4273085220809|	timestamp,	3.681032657623291
4.27315092086792:	imu;	yaw,	4.570580959320068
4.2962646484375:	state;	x,	-71.42084246374344|	vy,	-0.000252979218961|	ang v,	-0.0112073941705|	vx,	-0.000252979218961|	angle,	2.1476334548|	y,	42.42730873662166|	timestamp,	3.7427477836608887
4.352147102355957:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
4.437755823135376:	state;	x,	-71.42084287860217|	vy,	-0.000183202770796|	ang v,	-0.015009817739|	vx,	-0.000183202770796|	angle,	2.1611412236|	y,	42.42730896705135|	timestamp,	3.884814500808716
4.55207896232605:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
4.621280193328857:	state;	x,	-71.42084329659481|	vy,	-0.000134027359332|	ang v,	-0.0156312851099|	vx,	-0.000134027359332|	angle,	2.17387348741|	y,	42.427309199221774|	timestamp,	4.068156480789185
4.751564025878906:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
