0.680046796798706:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.6807892322540283:	imu;	yaw,	6.282094478607178
0.6812465190887451:	encoder;	counts,	0
0.6820249557495117:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.6828246116638184:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.6833970546722412:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.6841950416564941:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.8333146572113037:	gps;	long,	-71.42088317871094|	lat,	42.427486419677734
0.9496145248413086:	state;	timestamp,	0.2707347869873047|	x,	-71.42082808939375|	y,	42.42730922403192|	angle,	0.0211809007974|	ang v,	-27.5212976304|	vx,	0.0|	vy,	0.0
