0.7119841575622559:	controller;	angle_command,	-0.69431959033|	speed_command,	1.0
0.7120299339294434:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.7351570129394531:	controller;	angle_command,	-0.69431959033|	speed_command,	1.0
0.7352030277252197:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.7582037448883057:	controller;	angle_command,	-0.69431959033|	speed_command,	1.0
0.7582440376281738:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.7832026481628418:	controller;	angle_command,	-0.69431959033|	speed_command,	1.0
0.7832441329956055:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.8087725639343262:	controller;	angle_command,	-0.69431959033|	speed_command,	1.0
0.8088209629058838:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.8105661869049072:	state;	angle,	1.27934043903|	vx,	0.0|	x m,	-1.24476488955|	x,	-71.42085344394705|	ang v,	0.0|	y,	42.42730116259031|	vy,	0.0|	y m,	0.74561121767
0.8110122680664062:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
0.8323590755462646:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.8324072360992432:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.855586051940918:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.8556265830993652:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.8787937164306641:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.8788394927978516:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.9024567604064941:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.902501106262207:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.926121711730957:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.9261672496795654:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.9489772319793701:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.9490160942077637:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.9716334342956543:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.971674919128418:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.9948649406433105:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
0.9949088096618652:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.0183689594268799:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.0184197425842285:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.041945219039917:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.0419862270355225:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.0644629001617432:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.0645058155059814:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.0873596668243408:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.0874011516571045:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.1104860305786133:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.1105284690856934:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.1370768547058105:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.1371383666992188:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.16727614402771:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
