0.011278867721557617:	state;	y,	42.42730114672791|	ang v,	0.0|	vy,	0.0|	x m,	-1.24652920569|	vx,	0.0|	x,	-71.42085350624828|	angle,	4.31386668446|	y m,	0.740496293347
0.012487173080444336:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
0.01746511459350586:	state;	y,	42.42730114672791|	ang v,	0.0|	vy,	0.0|	x m,	-1.24652920569|	vx,	0.0|	x,	-71.42085350624828|	angle,	4.31386668446|	y m,	0.740496293347
0.017833232879638672:	imu;	yaw,	-4.714570999145508
0.01830887794494629:	state;	y,	42.42730114672791|	ang v,	0.0|	vy,	0.0|	x m,	-1.24652920569|	vx,	0.0|	x,	-71.42085350624828|	angle,	4.31386668446|	y m,	0.740496293347
0.018577098846435547:	encoder;	counts,	0
0.09194397926330566:	state;	y,	42.427301149146736|	ang v,	0.0|	vy,	0.0|	x m,	-1.24626016982|	vx,	0.0|	x,	-71.42085350591725|	angle,	1.56911845113|	y m,	0.740523470154
0.09238338470458984:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
0.29169464111328125:	state;	y,	42.4273011539592|	ang v,	0.0|	vy,	0.0|	x m,	-1.24572489657|	vx,	0.0|	x,	-71.42085350525865|	angle,	1.56921265197|	y m,	0.740577541078
0.29213690757751465:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
0.5110495090484619:	state;	y,	42.42730116116292|	ang v,	0.0|	vy,	0.0|	x m,	-1.24492365339|	vx,	0.0|	x,	-71.42085350427281|	angle,	1.56931225424|	y m,	0.740658479101
0.51167893409729:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
0.6941177845001221:	state;	y,	42.42730117075429|	ang v,	0.0|	vy,	0.0|	x m,	-1.24385684042|	vx,	0.0|	x,	-71.4208535029602|	angle,	1.56940120532|	y m,	0.740766243803
0.6946938037872314:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
1.0952517986297607:	state;	y,	42.42730118272853|	ang v,	0.0|	vy,	0.0|	x m,	-1.24252498997|	vx,	0.0|	x,	-71.4208535013215|	angle,	1.56959038058|	y m,	0.740900781414
1.0960891246795654:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
1.2948856353759766:	state;	y,	42.427301197079665|	ang v,	0.0|	vy,	0.0|	x m,	-1.24092876586|	vx,	0.0|	x,	-71.4208534993575|	angle,	1.56968544502|	y m,	0.741062024875
1.2954518795013428:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
1.5243351459503174:	state;	y,	42.42730121380057|	ang v,	0.0|	vy,	0.0|	x m,	-1.23906896265|	vx,	0.0|	x,	-71.4208534970692|	angle,	1.56979356842|	y m,	0.741249893926
1.5248291492462158:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
1.693188190460205:	state;	y,	42.427301232882904|	ang v,	0.0|	vy,	0.0|	x m,	-1.23694650464|	vx,	0.0|	x,	-71.42085349445773|	angle,	1.56987244441|	y m,	0.741464295196
1.693697452545166:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
