0.6344203948974609:	imu;	yaw,	-4.807291507720947
0.6406760215759277:	imu;	yaw,	-4.808382034301758
0.664595365524292:	controller;	speed_command,	1.0|	angle_command,	0.230139293416
0.664658784866333:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.6670961380004883:	imu;	yaw,	-4.810564041137695
0.6733133792877197:	imu;	yaw,	-4.811654567718506
0.6961231231689453:	controller;	speed_command,	1.0|	angle_command,	0.226506809128
0.6961944103240967:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.6981348991394043:	imu;	yaw,	-4.812745571136475
0.7044367790222168:	imu;	yaw,	-4.811654567718506
0.7273681163787842:	controller;	speed_command,	1.0|	angle_command,	0.231617445035
0.727428674697876:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.7293214797973633:	imu;	yaw,	-4.810564041137695
0.7567946910858154:	controller;	speed_command,	1.0|	angle_command,	0.23313029794
0.7568991184234619:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.787564754486084:	controller;	speed_command,	1.0|	angle_command,	0.23313029794
0.7876276969909668:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.7948052883148193:	state;	y m,	1.29910317566|	vx,	0.0|	angle,	0.402844808993|	x m,	-1.19785956808|	ang v,	0.081631724071|	y,	42.42730158430029|	vy,	0.0|	x,	-71.42084670225913
0.7952415943145752:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
0.8195798397064209:	controller;	speed_command,	1.0|	angle_command,	0.236351264541
0.8196468353271484:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.8205215930938721:	imu;	yaw,	-4.809473037719727
0.8281092643737793:	imu;	yaw,	-4.810564041137695
0.851433277130127:	controller;	speed_command,	1.0|	angle_command,	0.242895009677
0.8514969348907471:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
0.8529727458953857:	imu;	yaw,	-4.811654567718506
0.8571689128875732:	imu;	yaw,	-4.813836097717285
0.8613631725311279:	imu;	yaw,	-4.816018104553223
0.8846755027770996:	controller;	speed_command,	1.0|	angle_command,	0.258368193646
0.8847854137420654:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
0.8899438381195068:	imu;	yaw,	-4.818199634552002
0.9014289379119873:	imu;	yaw,	-4.819290637969971
0.9187657833099365:	controller;	speed_command,	1.0|	angle_command,	0.246770999682
0.9188342094421387:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
0.9205224514007568:	imu;	yaw,	-4.820381164550781
0.9246914386749268:	imu;	yaw,	-4.82147216796875
0.9506809711456299:	controller;	speed_command,	1.0|	angle_command,	0.259887013636
0.9507477283477783:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
0.9535439014434814:	imu;	yaw,	-4.820381164550781
0.958000898361206:	imu;	yaw,	-4.82147216796875
0.982327938079834:	controller;	speed_command,	1.0|	angle_command,	0.266542879699
0.9823951721191406:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
0.982947826385498:	state;	y m,	1.57837632484|	vx,	0.0|	angle,	0.389755268125|	x m,	-1.1735273887|	ang v,	-0.0337809917436|	y,	42.42730180306259|	vy,	0.0|	x,	-71.42084330063348
