0.01310586929321289:	state;	y m,	0.740496293347|	vx,	0.0|	x,	-71.42085350624828|	x m,	-1.24652920569|	y,	42.42730114672791|	vy,	0.0|	angle,	4.31386668446|	ang v,	0.0
0.013838052749633789:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
0.017461776733398438:	imu;	yaw,	-0.11126475036144257
0.021475553512573242:	encoder;	counts,	0
0.23477411270141602:	state;	y m,	0.740843550787|	vx,	0.0|	x,	-71.42085350201859|	x m,	-1.24705600018|	y,	42.427301141991684|	vy,	0.0|	angle,	6.17193361484|	ang v,	0.0
0.2353360652923584:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
0.4192008972167969:	state;	y m,	0.741534453539|	vx,	0.0|	x,	-71.42085349360319|	x m,	-1.24810410952|	y,	42.42730113256846|	vy,	0.0|	angle,	6.17193606243|	ang v,	0.0
0.42015814781188965:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
0.6262807846069336:	state;	y m,	0.742568656369|	vx,	0.0|	x,	-71.42085348100632|	x m,	-1.24967300998|	y,	42.42730111846297|	vy,	0.0|	angle,	6.17193841951|	ang v,	0.0
0.6266772747039795:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
1.012009859085083:	state;	y m,	0.743945642809|	vx,	0.0|	x,	-71.42085346423423|	x m,	-1.25176191807|	y,	42.42730109968227|	vy,	0.0|	angle,	6.17194270131|	ang v,	0.0
1.0124926567077637:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
1.2348220348358154:	state;	y m,	0.745664725789|	vx,	0.0|	x,	-71.42085344329533|	x m,	-1.2543697915|	y,	42.427301076235715|	vy,	0.0|	angle,	6.17194511313|	ang v,	0.0
1.2356069087982178:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
1.364516019821167:	blue_led;	103
1.3705410957336426:	motors;	40
1.3755371570587158:	blue_led;	129
1.380490779876709:	motors;	50
1.3856017589569092:	blue_led;	171
1.3904690742492676:	motors;	67
1.395416259765625:	blue_led;	212
1.4001665115356445:	motors;	83
1.4017300605773926:	state;	y m,	0.848382326956|	vx,	0.278663676915|	x,	-71.4208521921659|	x m,	-1.15683805194|	y,	42.427301953112206|	vy,	0.278663676915|	angle,	6.17194702455|	ang v,	0.0
1.4021720886230469:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
1.4096920490264893:	blue_led;	248
1.437432050704956:	motors;	97
1.4429056644439697:	blue_led;	255
1.4506609439849854:	motors;	100
1.4781029224395752:	blue_led;	248
1.4825615882873535:	motors;	97
1.5195538997650146:	blue_led;	234
1.5299310684204102:	motors;	91
1.5348336696624756:	blue_led;	228
1.5395927429199219:	motors;	89
1.545145034790039:	blue_led;	212
1.5496244430541992:	motors;	83
1.5589466094970703:	blue_led;	198
1.5867156982421875:	motors;	77
1.6015524864196777:	blue_led;	194
1.6037118434906006:	state;	y m,	0.99431094013|	vx,	0.477655691461|	x,	-71.42085041471405|	x m,	-1.01695162422|	y,	42.42730321078604|	vy,	0.477655691461|	angle,	6.17194922588|	ang v,	0.0
1.6043422222137451:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
1.6076254844665527:	motors;	76
1.612816572189331:	blue_led;	178
1.6175994873046875:	motors;	70
1.6221671104431152:	blue_led;	159
1.6583857536315918:	motors;	62
1.6715872287750244:	blue_led;	151
1.676499843597412:	motors;	59
1.6813445091247559:	blue_led;	137
1.6863632202148438:	motors;	54
1.690908670425415:	blue_led;	124
1.7007880210876465:	motors;	48
1.729210615158081:	blue_led;	114
1.7353591918945312:	motors;	44
1.7415480613708496:	blue_led;	110
1.746213674545288:	motors;	43
1.7513446807861328:	blue_led;	90
1.7562909126281738:	motors;	35
1.7610008716583252:	blue_led;	66
1.770578145980835:	motors;	25
1.798844337463379:	blue_led;	0
1.8045625686645508:	motors;	0
1.8983356952667236:	imu;	yaw,	-0.11017391085624695
1.9207830429077148:	imu;	yaw,	-0.11126475036144257
1.9821269512176514:	imu;	yaw,	-0.11235557496547699
1.9901750087738037:	imu;	yaw,	-0.11126475036144257
1.9981873035430908:	state;	y m,	1.00661501555|	vx,	0.0116073881696|	x,	-71.42085026484698|	x m,	-1.03799163782|	y,	42.42730302162201|	vy,	0.0116073881696|	angle,	4.31406544775|	ang v,	0.149773846099
2.0018982887268066:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
2.1452271938323975:	imu;	yaw,	-0.11235557496547699
2.2186379432678223:	state;	y m,	1.01459055936|	vx,	0.00262409697847|	x,	-71.42085016770264|	x m,	-1.05162984668|	y,	42.427302899005234|	vy,	0.00262409697847|	angle,	4.31298757745|	ang v,	0.0166726586369
2.2191357612609863:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
2.298344612121582:	imu;	yaw,	-0.11126475036144257
2.317276954650879:	imu;	yaw,	-0.11017391085624695
2.3689234256744385:	imu;	yaw,	-0.11126475036144257
2.399061918258667:	state;	y m,	1.03366074473|	vx,	0.000134112920647|	x,	-71.42084993542247|	x m,	-1.08423993284|	y,	42.42730260581838|	vy,	0.000134112920647|	angle,	4.31406993798|	ang v,	-0.0146370699248
2.399599075317383:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
