0.01002359390258789:	state;	vy,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	angle,	4.31386668446|	x m,	-1.24652920569|	ang v,	0.0|	y,	42.42730114672791|	vx,	0.0
0.011022090911865234:	gps;	long,	-71.4208755493164|	lat,	42.42731475830078|	fix,	True
0.01706719398498535:	state;	vy,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	angle,	4.31386668446|	x m,	-1.24652920569|	ang v,	0.0|	y,	42.42730114672791|	vx,	0.0
0.017396211624145508:	yaw;	yaw,	-4.6109418869018555
0.018086910247802734:	state;	vy,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	angle,	4.31386668446|	x m,	-1.24652920569|	ang v,	0.0|	y,	42.42730114672791|	vx,	0.0
0.018369674682617188:	encoder;	counts,	0
0.05699753761291504:	state;	vy,	0.0|	x,	-71.42085350774039|	y m,	0.740373790445|	angle,	1.67271992855|	x m,	-1.24638204624|	ang v,	0.0|	y,	42.42730114805097|	vx,	0.0
0.05747175216674805:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
0.2570478916168213:	state;	vy,	0.0|	x,	-71.42085351070911|	y m,	0.740130058901|	angle,	1.67281228825|	x m,	-1.24608925808|	ang v,	0.0|	y,	42.42730115068334|	vx,	0.0
0.25763535499572754:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
0.46118950843811035:	state;	vy,	0.0|	x,	-71.42085351515296|	y m,	0.739765220503|	angle,	1.67290735343|	x m,	-1.24565098752|	ang v,	0.0|	y,	42.4273011546237|	vx,	0.0
0.4618353843688965:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
0.6728460788726807:	state;	vy,	0.0|	x,	-71.42085352106967|	y m,	0.739279457448|	angle,	1.6729991795|	x m,	-1.2450674534|	ang v,	0.0|	y,	42.427301159870055|	vx,	0.0
0.6733138561248779:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
0.8864145278930664:	state;	vy,	0.0|	x,	-71.42085352845635|	y m,	0.738673012115|	angle,	1.6731028284|	x m,	-1.24433894691|	ang v,	0.0|	y,	42.42730116641983|	vx,	0.0
0.8869085311889648:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
1.077582597732544:	state;	vy,	0.0|	x,	-71.42085353730928|	y m,	0.737946186773|	angle,	1.67318514013|	x m,	-1.24346583115|	ang v,	0.0|	y,	42.42730117426972|	vx,	0.0
1.0784883499145508:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
1.2767815589904785:	state;	vy,	0.0|	x,	-71.42085354762408|	y m,	0.737099343212|	angle,	1.67328299674|	x m,	-1.24244854073|	ang v,	0.0|	y,	42.42730118341587|	vx,	0.0
1.277292013168335:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
1.4570221900939941:	state;	vy,	0.0|	x,	-71.4208535593956|	y m,	0.736132902308|	angle,	1.67336497978|	x m,	-1.24128758123|	ang v,	0.0|	y,	42.42730119385369|	vx,	0.0
1.4575698375701904:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
1.8831746578216553:	state;	vy,	0.0|	x,	-71.420853572618|	y m,	0.735047343509|	angle,	1.67356039257|	x m,	-1.2399835286|	ang v,	0.0|	y,	42.42730120557801|	vx,	0.0
1.8837754726409912:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
