state x,state y,gps x,gps y,checkpoint x,checkpoint y
-71.42083704471588,42.42732027318888,-71.42082977294922,42.42734146118164,0,0
-71.42083704471588,42.42732027318888,0,0,0,0
-71.42083704471588,42.42732027318888,0,0,0,0
-71.4208370432586,42.427320277435044,-71.42082977294922,42.42734146118164,0,0
-71.420837041052,42.42732028386451,-71.42082977294922,42.42734146118164,0,0
-71.4208370380908,42.427320292492645,-71.42082977294922,42.42734146118164,0,0
-71.4208370343759,42.42732030331688,-71.42082977294922,42.42734146118164,0,0
-71.42083702990973,42.42732031633011,-71.42082977294922,42.42734146118164,0,0
-71.42083702469435,42.42732033152635,-71.42082977294922,42.42734146118164,0,0
-71.42083701873378,42.42732034889383,-71.42082977294922,42.42734146118164,0,0
-71.42083701873378,42.42732034889383,0,0,-71.42078474164009,42.42732819250417
-71.42083701203065,42.42732036842501,-71.42082977294922,42.42734146118164,0,0
-71.42083700459128,42.427320390101364,0,0,0,0
-71.42083699645835,42.42732041379857,-71.42082977294922,42.42734146118164,0,0
-71.42083698762166,42.42732043954631,0,0,0,0
-71.42083697808644,42.42732046732943,0,0,0,0
-71.42083696785751,42.42732049713379,0,0,0,0
-71.42083695694024,42.42732052894384,0,0,0,0
-71.4208369453398,42.42732056274444,0,0,0,0
-71.42083693306165,42.42732059851971,0,0,0,0
-71.42083692011194,42.427320636251764,0,0,0,0
-71.42083690649685,42.42732067592254,0,0,0,0
-71.42083689222285,42.427320717513176,0,0,0,0
-71.4208368772966,42.42732076100434,0,0,0,0
-71.42083686172516,42.42732080637531,0,0,0,0
-71.42083684396732,42.42732085379904,0,0,0,0
-71.42083682543564,42.42732090307658,0,0,0,0
-71.420836802839,42.42732095460059,0,0,0,0
-71.42083677485778,42.427321008515506,-71.42082977294922,42.42734146118164,0,0
-71.42083673976721,42.42732106501765,0,0,0,0
-71.4208366494071,42.42732112603013,0,0,0,0
-71.42083660089811,42.42732118566537,0,0,0,0
-71.42083654560393,42.427321247386814,0,0,0,0
-71.42083644737461,42.4273213133672,0,0,0,0
-71.42083625343531,42.42732138680909,0,0,0,0
-71.42083615847628,42.42732145575138,0,0,0,0
-71.42083610086607,42.427321523962235,0,0,0,0
-71.42083602621052,42.42732159474003,0,0,0,0
-71.42083594665873,42.42732166730987,-71.42082977294922,42.42734146118164,0,0
-71.42083589417679,42.427321739671555,0,0,0,0
-71.42083572566087,42.42732182061611,0,0,0,0
-71.4208355295757,42.427321904662065,0,0,0,0
-71.42083546086631,42.42732198222692,0,0,0,0
-71.42083537781068,42.42732206201648,0,0,0,0
-71.42083529647776,42.427322143009654,0,0,0,0
-71.42083521583487,42.427322225239394,0,0,0,0
-71.42083481128816,42.427322328729375,0,0,0,0
-71.42083468389745,42.42732241634583,0,0,0,0
-71.42083440701705,42.42732251442166,0,0,0,0
-71.42083430699442,42.42732260268665,0,0,0,0
-71.42083419151884,42.42732269303364,-71.42082977294922,42.42734146118164,0,0
-71.42083411815644,42.427322781859154,0,0,0,0
-71.42083400900815,42.42732287398858,0,0,0,0
-71.42083389301298,42.42732296760431,0,0,0,0
-71.42083379420082,42.427323061150986,0,0,0,0
-71.42083347903765,42.427323169259026,0,0,0,0
-71.42083338256113,42.42732326456425,0,0,0,0
-71.42083332079105,42.4273233585899,0,0,0,0
-71.42083323791776,42.427323454812324,0,0,0,0
-71.42083302356806,42.42732356013871,0,0,0,0
-71.42083276738846,42.42732366890359,0,0,0,0
