0.5523138046264648:	lidar;	20
0.5523509979248047:	lidar;	20	3	7128
0.5684008598327637:	lidar;	18
0.568422794342041:	lidar;	21	3	7144
0.5748147964477539:	lidar;	18
0.5748288631439209:	lidar;	22	3	7224
0.5748739242553711:	lidar;	20
0.574880838394165:	lidar;	23	3	7152
0.5811119079589844:	lidar;	18
0.5811200141906738:	lidar;	24	3	7192
0.5891809463500977:	lidar;	22
0.589202880859375:	lidar;	25	3	7152
0.5950808525085449:	lidar;	472
0.5960748195648193:	lidar;	26	3	7376
0.6032729148864746:	lidar;	404
0.6032958030700684:	lidar;	27	3	7536
0.6111948490142822:	lidar;	369
0.6112179756164551:	lidar;	28	3	7624
0.6181240081787109:	lidar;	540
0.6191380023956299:	lidar;	29	3	7648
0.6411139965057373:	lidar;	330
0.6411499977111816:	lidar;	30	3	7664
0.641157865524292:	lidar;	323
0.6411638259887695:	lidar;	31	3	7592
0.6411700248718262:	lidar;	328
0.6411759853363037:	lidar;	32	3	7624
0.6490678787231445:	lidar;	341
0.6490747928619385:	lidar;	33	3	7560
0.6561448574066162:	lidar;	363
0.657106876373291:	lidar;	34	3	7680
0.6641268730163574:	lidar;	399
0.664139986038208:	lidar;	35	3	7640
0.6731958389282227:	lidar;	489
0.6732239723205566:	lidar;	36	3	7552
0.6792309284210205:	lidar;	541
0.6792798042297363:	lidar;	37	3	7368
0.6871600151062012:	lidar;	723
0.6872479915618896:	lidar;	0	4	7392
0.7178668975830078:	lidar;	960
0.7178828716278076:	lidar;	1	4	7416
0.7178909778594971:	lidar;	906
0.7178969383239746:	lidar;	2	4	7376
0.7179429531097412:	lidar;	893
0.7179508209228516:	lidar;	3	4	7352
0.7179570198059082:	lidar;	339
0.7179620265960693:	lidar;	4	4	7256
0.7370939254760742:	lidar;	89
0.7371118068695068:	lidar;	5	4	21336
0.7450408935546875:	lidar;	75
0.7450478076934814:	lidar;	6	4	7504
0.752234935760498:	lidar;	65
0.7522478103637695:	lidar;	7	4	7096
0.7590258121490479:	lidar;	60
0.7590320110321045:	lidar;	8	4	7232
0.767071008682251:	lidar;	53
0.7670838832855225:	lidar;	9	4	7136
0.783951997756958:	lidar;	52
0.7839648723602295:	lidar;	10	4	7288
0.783972978591919:	lidar;	51
0.7839779853820801:	lidar;	11	4	7024
0.7870359420776367:	lidar;	52
0.7880740165710449:	lidar;	12	4	7104
0.7952070236206055:	lidar;	53
0.7952308654785156:	lidar;	13	4	7248
0.8020319938659668:	lidar;	55
0.8030078411102295:	lidar;	14	4	7544
0.8100240230560303:	lidar;	37
0.8100309371948242:	lidar;	15	4	7408
0.8170249462127686:	lidar;	32
0.8170318603515625:	lidar;	16	4	7112
0.8240358829498291:	lidar;	29
0.8240489959716797:	lidar;	17	4	7256
0.8310389518737793:	lidar;	25
0.8310458660125732:	lidar;	18	4	7144
0.849470853805542:	lidar;	23
0.8494868278503418:	lidar;	19	4	7240
0.8494939804077148:	lidar;	20
0.8495488166809082:	lidar;	20	4	7120
0.8530797958374023:	lidar;	19
0.8530919551849365:	lidar;	21	4	7248
0.861029863357544:	lidar;	18
0.8610379695892334:	lidar;	22	4	7160
0.8670289516448975:	lidar;	20
0.8680269718170166:	lidar;	23	4	7264
0.8740589618682861:	lidar;	18
0.8750557899475098:	lidar;	24	4	7168
0.8820109367370605:	lidar;	18
0.8820199966430664:	lidar;	25	4	7248
0.8890249729156494:	lidar;	471
0.8890318870544434:	lidar;	26	4	7408
0.8970248699188232:	lidar;	402
0.897040843963623:	lidar;	27	4	7504
0.9155018329620361:	lidar;	373
0.9155168533325195:	lidar;	28	4	7752
0.915524959564209:	lidar;	543
0.9155299663543701:	lidar;	29	4	7672
0.9211528301239014:	lidar;	331
0.9211750030517578:	lidar;	30	4	7632
0.9270648956298828:	lidar;	324
0.927081823348999:	lidar;	31	4	7640
0.936011791229248:	lidar;	331
0.9360189437866211:	lidar;	32	4	7632
0.9430258274078369:	lidar;	343
0.9430429935455322:	lidar;	33	4	7736
0.951030969619751:	lidar;	366
0.9510369300842285:	lidar;	34	4	7672
0.9580249786376953:	lidar;	399
0.9580309391021729:	lidar;	35	4	7592
0.9650259017944336:	lidar;	1
0.9660289287567139:	lidar;	36	4	7520
0.981456995010376:	lidar;	557
0.9814748764038086:	lidar;	37	4	7504
0.981482982635498:	lidar;	709
0.981489896774292:	lidar;	0	5	7432
0.989022970199585:	lidar;	951
0.9890358448028564:	lidar;	1	5	7384
0.9950399398803711:	lidar;	908
0.9950518608093262:	lidar;	2	5	7464
1.003091812133789:	lidar;	895
1.0031099319458008:	lidar;	3	5	7496
1.0100269317626953:	lidar;	337
1.010037899017334:	lidar;	4	5	7224
1.0311238765716553:	lidar;	88
1.03951096534729:	lidar;	5	5	21440
1.0424628257751465:	lidar;	73
1.0424737930297852:	lidar;	6	5	7400
1.0468978881835938:	lidar;	66
1.0469110012054443:	lidar;	7	5	7112
1.0531799793243408:	lidar;	60
1.0532028675079346:	lidar;	8	5	7256
1.0601539611816406:	lidar;	54
1.060180902481079:	lidar;	9	5	7136
1.068051815032959:	lidar;	51
1.0680649280548096:	lidar;	10	5	7368
1.0750408172607422:	lidar;	50
1.0750489234924316:	lidar;	11	5	7000
1.0820348262786865:	lidar;	52
1.0820419788360596:	lidar;	12	5	7152
1.0892338752746582:	lidar;	53
1.089257001876831:	lidar;	13	5	7272
1.0960218906402588:	lidar;	56
1.1204469203948975:	lidar;	14	5	7560
1.120466947555542:	lidar;	37
1.120473861694336:	lidar;	15	5	7352
1.1243019104003906:	lidar;	29
1.1243150234222412:	lidar;	16	5	7152
1.1243219375610352:	lidar;	29
1.1243278980255127:	lidar;	17	5	7320
1.1260809898376465:	lidar;	27
1.126093864440918:	lidar;	18	5	7152
1.1330268383026123:	lidar;	23
1.1330339908599854:	lidar;	19	5	7152
1.140056848526001:	lidar;	22
1.1400728225708008:	lidar;	20	5	7136
1.1470208168029785:	lidar;	20
1.147028923034668:	lidar;	21	5	7248
1.155012845993042:	lidar;	19
1.155019998550415:	lidar;	22	5	7160
1.161024808883667:	lidar;	20
1.1620218753814697:	lidar;	23	5	7088
1.1690199375152588:	lidar;	22
1.170022964477539:	lidar;	24	5	7256
1.1906030178070068:	lidar;	24
1.1906189918518066:	lidar;	25	5	7168
1.190626859664917:	lidar;	461
1.1906318664550781:	lidar;	26	5	7424
1.1910369396209717:	lidar;	402
1.1910479068756104:	lidar;	27	5	7432
1.1980400085449219:	lidar;	369
1.199070930480957:	lidar;	28	5	7760
1.2060267925262451:	lidar;	543
1.206037998199463:	lidar;	29	5	7512
1.213054895401001:	lidar;	331
1.2140159606933594:	lidar;	30	5	7680
1.2210187911987305:	lidar;	327
1.221024990081787:	lidar;	31	5	7608
1.2310678958892822:	lidar;	334
1.2310819625854492:	lidar;	32	5	7512
1.2359988689422607:	lidar;	342
1.2370009422302246:	lidar;	33	5	7656
1.2536869049072266:	lidar;	363
1.2537059783935547:	lidar;	34	5	7520
1.2598729133605957:	lidar;	399
1.2598869800567627:	lidar;	35	5	7752
1.2599380016326904:	lidar;	461
1.2599458694458008:	lidar;	36	5	7384
1.2660408020019531:	lidar;	542
1.2670140266418457:	lidar;	37	5	7352
1.274411916732788:	lidar;	714
1.2744967937469482:	lidar;	0	6	7384
1.2810249328613281:	lidar;	960
1.2810349464416504:	lidar;	1	6	7408
1.2880239486694336:	lidar;	907
1.289017915725708:	lidar;	2	6	7360
1.2960259914398193:	lidar;	896
1.2960419654846191:	lidar;	3	6	7488
1.3030238151550293:	lidar;	328
1.303030014038086:	lidar;	4	6	7136
1.3281018733978271:	lidar;	84
1.328122854232788:	lidar;	5	6	21480
1.3320457935333252:	lidar;	74
1.3320558071136475:	lidar;	6	6	7392
1.3390188217163086:	lidar;	66
1.3390297889709473:	lidar;	7	6	7128
1.3470268249511719:	lidar;	61
1.3470349311828613:	lidar;	8	6	7232
1.3550219535827637:	lidar;	55
1.3550398349761963:	lidar;	9	6	7136
1.3610270023345947:	lidar;	53
1.3610329627990723:	lidar;	10	6	7216
1.368086814880371:	lidar;	53
1.368107795715332:	lidar;	11	6	6896
1.3750569820404053:	lidar;	51
1.3750698566436768:	lidar;	12	6	7248
1.3913679122924805:	lidar;	55
1.391385793685913:	lidar;	13	6	7152
1.3913938999176025:	lidar;	56
1.39139986038208:	lidar;	14	6	7504
1.397087812423706:	lidar;	38
1.397101879119873:	lidar;	15	6	7280
1.4040420055389404:	lidar;	33
1.4040570259094238:	lidar;	16	6	7112
1.4120960235595703:	lidar;	28
1.4130887985229492:	lidar;	17	6	7248
1.4180150032043457:	lidar;	25
1.418025016784668:	lidar;	18	6	7104
1.4250760078430176:	lidar;	22
1.4260280132293701:	lidar;	19	6	7104
1.4330189228057861:	lidar;	20
1.4330248832702637:	lidar;	20	6	7120
1.4400198459625244:	lidar;	18
1.4400358200073242:	lidar;	21	6	7136
1.460547924041748:	lidar;	20
1.4605638980865479:	lidar;	22	6	7104
1.4605720043182373:	lidar;	20
1.4605779647827148:	lidar;	23	6	7144
