0.0006880760192871094:	lidar;	329
0.0007500648498535156:	lidar;	21	14	7096
0.0007691383361816406:	lidar;	334
0.0007810592651367188:	lidar;	22	14	7168
0.0007951259613037109:	lidar;	354
0.0008060932159423828:	lidar;	23	14	7200
0.0008189678192138672:	lidar;	380
0.0008289813995361328:	lidar;	24	14	7200
0.0008411407470703125:	lidar;	421
0.0008549690246582031:	lidar;	25	14	7664
0.0008671283721923828:	lidar;	489
0.0008771419525146484:	lidar;	26	14	8008
0.0008881092071533203:	lidar;	613
0.0008981227874755859:	lidar;	27	14	8264
0.0009090900421142578:	lidar;	991
0.0009200572967529297:	lidar;	28	14	8248
0.0009319782257080078:	lidar;	938
0.0009450912475585938:	lidar;	29	14	8360
0.0009560585021972656:	lidar;	909
0.0009660720825195312:	lidar;	30	14	8208
0.0009779930114746094:	lidar;	652
0.0009889602661132812:	lidar;	31	14	8240
0.0010001659393310547:	lidar;	214
0.0010111331939697266:	lidar;	32	14	8144
0.0010230541229248047:	lidar;	126
0.0010330677032470703:	lidar;	33	14	8168
0.008951187133789062:	lidar;	92
0.008970975875854492:	lidar;	34	14	8072
0.01589202880859375:	lidar;	78
0.01591205596923828:	lidar;	35	14	7952
0.0238649845123291:	lidar;	67
0.023878097534179688:	lidar;	36	14	7888
0.03086400032043457:	lidar;	60
0.031855106353759766:	lidar;	37	14	7728
0.0388951301574707:	lidar;	53
0.03890514373779297:	lidar;	0	15	7768
0.0468449592590332:	lidar;	50
0.04685211181640625:	lidar;	1	15	7760
0.07906413078308105:	lidar;	50
0.07908105850219727:	lidar;	2	15	7784
0.07908797264099121:	lidar;	49
0.07909297943115234:	lidar;	3	15	7520
0.10623311996459961:	lidar;	24
0.10625815391540527:	lidar;	4	15	22160
0.10627603530883789:	lidar;	22
0.10628104209899902:	lidar;	5	15	7528
0.10628700256347656:	lidar;	17
0.1062920093536377:	lidar;	6	15	7056
0.10629796981811523:	lidar;	17
0.10630202293395996:	lidar;	7	15	7168
0.11388611793518066:	lidar;	10
0.11389613151550293:	lidar;	8	15	7248
0.12093400955200195:	lidar;	14
0.12095499038696289:	lidar;	9	15	7328
0.12793302536010742:	lidar;	14
0.1279599666595459:	lidar;	10	15	6920
0.1349020004272461:	lidar;	14
0.13491511344909668:	lidar;	11	15	7176
0.14185714721679688:	lidar;	14
0.14186501502990723:	lidar;	12	15	7048
0.1498579978942871:	lidar;	13
0.14986515045166016:	lidar;	13	15	7528
0.16546297073364258:	lidar;	13
0.16547799110412598:	lidar;	14	15	7592
0.16964507102966309:	lidar;	15
