0.41174888610839844:	lidar;	63
0.411761999130249:	lidar;	7	4
0.41771507263183594:	lidar;	55
0.4177260398864746:	lidar;	8	4
0.4317970275878906:	lidar;	52
0.431812047958374:	lidar;	9	4
0.43181896209716797:	lidar;	43
0.4318239688873291:	lidar;	10	4
0.4377880096435547:	lidar;	44
0.4378058910369873:	lidar;	11	4
0.44171595573425293:	lidar;	45
0.4417228698730469:	lidar;	12	4
0.4466869831085205:	lidar;	42
0.4466989040374756:	lidar;	13	4
0.45268893241882324:	lidar;	43
0.4526970386505127:	lidar;	14	4
0.46076488494873047:	lidar;	50
0.46077895164489746:	lidar;	15	4
0.46570897102355957:	lidar;	52
0.46571803092956543:	lidar;	16	4
0.47879791259765625:	lidar;	1
0.4788188934326172:	lidar;	17	4
0.4995088577270508:	lidar;	1
0.4995279312133789:	lidar;	18	4
0.49961400032043457:	lidar;	527
0.49962592124938965:	lidar;	19	4
0.4996340274810791:	lidar;	454
0.49963998794555664:	lidar;	20	4
0.5017459392547607:	lidar;	395
0.5017590522766113:	lidar;	21	4
0.5067059993743896:	lidar;	404
0.5067179203033447:	lidar;	22	4
0.510688066482544:	lidar;	539
0.5106959342956543:	lidar;	23	4
0.5167360305786133:	lidar;	326
0.5167489051818848:	lidar;	24	4
0.5287339687347412:	lidar;	348
0.528749942779541:	lidar;	25	4
0.5337140560150146:	lidar;	379
0.5337209701538086:	lidar;	26	4
0.5377390384674072:	lidar;	414
0.5377490520477295:	lidar;	27	4
0.5427420139312744:	lidar;	471
0.5437650680541992:	lidar;	28	4
0.5561420917510986:	lidar;	976
0.5561580657958984:	lidar;	29	4
0.5645389556884766:	lidar;	907
0.5645530223846436:	lidar;	30	4
0.567781925201416:	lidar;	913
0.5678110122680664:	lidar;	31	4
0.5727620124816895:	lidar;	139
0.5727739334106445:	lidar;	32	4
0.5778188705444336:	lidar;	98
0.5778360366821289:	lidar;	33	4
0.5817360877990723:	lidar;	83
0.5817480087280273:	lidar;	34	4
0.5857150554656982:	lidar;	73
0.5857260227203369:	lidar;	35	4
0.5906860828399658:	lidar;	63
0.5906929969787598:	lidar;	36	4
0.5957379341125488:	lidar;	56
0.5966989994049072:	lidar;	37	4
0.6037139892578125:	lidar;	53
0.603726863861084:	lidar;	0	5
0.6077148914337158:	lidar;	47
0.6077258586883545:	lidar;	1	5
0.6117348670959473:	lidar;	43
0.6126918792724609:	lidar;	2	5
0.6295318603515625:	lidar;	44
0.6295509338378906:	lidar;	3	5
0.6296069622039795:	lidar;	45
0.6296138763427734:	lidar;	4	5
0.6296210289001465:	lidar;	43
0.6296250820159912:	lidar;	5	5
0.6307270526885986:	lidar;	45
0.6307380199432373:	lidar;	6	5
0.6347219944000244:	lidar;	44
0.6347329616546631:	lidar;	7	5
0.6397590637207031:	lidar;	51
0.6397709846496582:	lidar;	8	5
0.6437289714813232:	lidar;	54
0.6447370052337646:	lidar;	9	5
0.6486749649047852:	lidar;	50
0.6486849784851074:	lidar;	10	5
0.6578269004821777:	lidar;	2624
0.6578469276428223:	lidar;	11	5
0.66678786277771:	lidar;	1
0.6677300930023193:	lidar;	12	5
0.6717190742492676:	lidar;	530
0.672692060470581:	lidar;	13	5
0.6767759323120117:	lidar;	453
0.6767959594726562:	lidar;	14	5
0.6950850486755371:	lidar;	391
0.6951000690460205:	lidar;	15	5
0.6951079368591309:	lidar;	402
0.695112943649292:	lidar;	16	5
0.6951520442962646:	lidar;	537
0.6951580047607422:	lidar;	17	5
0.6951639652252197:	lidar;	327
0.6951699256896973:	lidar;	18	5
0.7089049816131592:	lidar;	347
0.7089259624481201:	lidar;	19	5
0.7137758731842041:	lidar;	382
0.7137939929962158:	lidar;	20	5
0.7237470149993896:	lidar;	475
0.7237570285797119:	lidar;	21	5
0.7317728996276855:	lidar;	972
0.7327179908752441:	lidar;	22	5
0.7396888732910156:	lidar;	907
