0.0005259513854980469:	lidar;	901
0.0005590915679931641:	lidar;	32	5	7320
0.0005738735198974609:	lidar;	276
0.0005860328674316406:	lidar;	33	5	7424
0.0005979537963867188:	lidar;	141
0.0006079673767089844:	lidar;	34	5	7528
0.0006198883056640625:	lidar;	96
0.0006299018859863281:	lidar;	35	5	7400
0.0006411075592041016:	lidar;	82
0.0006520748138427734:	lidar;	36	5	7288
0.0006630420684814453:	lidar;	67
0.0006730556488037109:	lidar;	37	5	7304
0.0006840229034423828:	lidar;	61
0.0006940364837646484:	lidar;	0	6	7280
0.0007059574127197266:	lidar;	51
0.0007150173187255859:	lidar;	1	6	7104
0.0007259845733642578:	lidar;	50
0.0007369518280029297:	lidar;	2	6	7296
0.0007479190826416016:	lidar;	48
0.0007569789886474609:	lidar;	3	6	7288
0.0007679462432861328:	lidar;	48
0.0007770061492919922:	lidar;	4	6	7176
0.0007879734039306641:	lidar;	49
0.0007979869842529297:	lidar;	5	6	21000
0.003200054168701172:	lidar;	35
0.0032210350036621094:	lidar;	6	6	7296
0.010185003280639648:	lidar;	28
0.010206937789916992:	lidar;	7	6	6856
0.01706695556640625:	lidar;	25
0.017075061798095703:	lidar;	8	6	6872
0.024121999740600586:	lidar;	25
0.024133920669555664:	lidar;	9	6	6944
0.031080007553100586:	lidar;	22
0.03108692169189453:	lidar;	10	6	6920
0.03920102119445801:	lidar;	19
0.03922605514526367:	lidar;	11	6	6808
0.04407310485839844:	lidar;	19
0.04507088661193848:	lidar;	12	6	6952
0.10675787925720215:	lidar;	15
0.10677409172058105:	lidar;	13	6	6960
0.10678505897521973:	lidar;	18
0.10679507255554199:	lidar;	14	6	7248
0.10680103302001953:	lidar;	19
0.10680603981018066:	lidar;	15	6	7200
0.1068110466003418:	lidar;	19
0.10681796073913574:	lidar;	16	6	7000
0.10682296752929688:	lidar;	25
0.10682892799377441:	lidar;	17	6	7032
0.10687804222106934:	lidar;	35
0.10688495635986328:	lidar;	18	6	6984
0.10689997673034668:	lidar;	369
0.10690498352050781:	lidar;	19	6	6992
0.10690999031066895:	lidar;	542
0.10691404342651367:	lidar;	20	6	7112
0.10810494422912598:	lidar;	333
0.10811495780944824:	lidar;	21	6	7072
0.11507010459899902:	lidar;	330
0.11507701873779297:	lidar;	22	6	6928
0.12314987182617188:	lidar;	335
0.1231698989868164:	lidar;	23	6	7040
0.12912201881408691:	lidar;	347
0.12914109230041504:	lidar;	24	6	7088
0.13710308074951172:	lidar;	374
0.1371159553527832:	lidar;	25	6	7064
0.14415597915649414:	lidar;	407
0.14417099952697754:	lidar;	26	6	7448
0.15107107162475586:	lidar;	473
0.1510789394378662:	lidar;	27	6	7552
0.1751539707183838:	lidar;	563
0.1751708984375:	lidar;	28	6	7640
0.17517805099487305:	lidar;	730
0.17518401145935059:	lidar;	29	6	7712
0.17518997192382812:	lidar;	954
0.17519497871398926:	lidar;	30	6	7640
0.1821579933166504:	lidar;	911
0.18217992782592773:	lidar;	31	6	7472
0.18909096717834473:	lidar;	895
0.18910503387451172:	lidar;	32	6	7536
0.19851207733154297:	lidar;	226
0.19905805587768555:	lidar;	33	6	7520
0.20412588119506836:	lidar;	140
0.20512008666992188:	lidar;	34	6	7504
0.21314787864685059:	lidar;	94
0.2131659984588623:	lidar;	35	6	7576
0.21908187866210938:	lidar;	80
0.22038793563842773:	lidar;	36	6	7392
0.23776602745056152:	lidar;	66
0.23778009414672852:	lidar;	37	6	7352
0.2564358711242676:	lidar;	59
0.25646305084228516:	lidar;	0	7	7248
0.25667500495910645:	lidar;	51
0.25669193267822266:	lidar;	1	7	7320
0.2567009925842285:	lidar;	49
0.25670790672302246:	lidar;	2	7	7288
0.2567160129547119:	lidar;	48
0.25672388076782227:	lidar;	3	7	7472
0.264132022857666:	lidar;	47
0.264146089553833:	lidar;	4	7	7200
0.28409695625305176:	lidar;	47
0.2841050624847412:	lidar;	5	7	21232
0.2920870780944824:	lidar;	35
0.29209399223327637:	lidar;	6	7	7288
0.29908204078674316:	lidar;	25
0.2990880012512207:	lidar;	7	7	6976
0.30608487129211426:	lidar;	24
0.30610108375549316:	lidar;	8	7	7056
0.3264760971069336:	lidar;	24
0.326495885848999:	lidar;	9	7	6928
0.3265039920806885:	lidar;	19
0.3265089988708496:	lidar;	10	7	7048
0.32805299758911133:	lidar;	19
0.3280611038208008:	lidar;	11	7	6928
0.3341670036315918:	lidar;	17
0.33418798446655273:	lidar;	12	7	6992
0.3411369323730469:	lidar;	14
0.3411550521850586:	lidar;	13	7	7072
0.3480679988861084:	lidar;	18
0.34807705879211426:	lidar;	14	7	7256
0.35509395599365234:	lidar;	17
0.3551030158996582:	lidar;	15	7	7368
0.3650829792022705:	lidar;	20
0.3650979995727539:	lidar;	16	7	7056
0.36909008026123047:	lidar;	22
0.37006402015686035:	lidar;	17	7	7104
0.37607789039611816:	lidar;	33
0.37609410285949707:	lidar;	18	7	6960
0.3847990036010742:	lidar;	372
0.38481593132019043:	lidar;	19	7	7048
0.39315199851989746:	lidar;	547
0.393186092376709:	lidar;	20	7	7112
0.3981790542602539:	lidar;	333
0.39820098876953125:	lidar;	21	7	7056
0.4051530361175537:	lidar;	331
0.4051699638366699:	lidar;	22	7	7056
0.41210293769836426:	lidar;	334
0.41211390495300293:	lidar;	23	7	7056
0.41907787322998047:	lidar;	345
0.4190859794616699:	lidar;	24	7	7048
0.4270920753479004:	lidar;	375
0.42709898948669434:	lidar;	25	7	7080
0.4330790042877197:	lidar;	407
0.43308496475219727:	lidar;	26	7	7472
0.45300889015197754:	lidar;	481
