0.0005161762237548828:	lidar;	423
0.0005512237548828125:	lidar;	20	1
0.0005671977996826172:	lidar;	478
0.0005772113800048828:	lidar;	21	1
0.0005891323089599609:	lidar;	977
0.0005991458892822266:	lidar;	22	1
0.0006101131439208984:	lidar;	907
0.0006191730499267578:	lidar;	23	1
0.0006301403045654297:	lidar;	280
0.0006392002105712891:	lidar;	24	1
0.0006511211395263672:	lidar;	127
0.0006601810455322266:	lidar;	25	1
0.0006711483001708984:	lidar;	94
0.00067901611328125:	lidar;	26	1
0.0006902217864990234:	lidar;	78
0.0006990432739257812:	lidar;	27	1
0.0007100105285644531:	lidar;	66
0.0007190704345703125:	lidar;	28	1
0.0007312297821044922:	lidar;	55
0.0007390975952148438:	lidar;	29	1
0.0007500648498535156:	lidar;	19
0.000759124755859375:	lidar;	30	1
0.0007700920104980469:	lidar;	19
0.0007791519165039062:	lidar;	31	1
0.0007901191711425781:	lidar;	20
0.0007982254028320312:	lidar;	32	1
0.0008101463317871094:	lidar;	51
0.0008192062377929688:	lidar;	33	1
0.0008301734924316406:	lidar;	45
0.0008389949798583984:	lidar;	34	1
0.0008502006530761719:	lidar;	29
0.0008580684661865234:	lidar;	35	1
0.0008690357208251953:	lidar;	22
0.0008780956268310547:	lidar;	36	1
0.0008890628814697266:	lidar;	24
0.0008971691131591797:	lidar;	37	1
0.00392603874206543:	lidar;	20
0.003939151763916016:	lidar;	0	2
0.007918119430541992:	lidar;	18
0.007937192916870117:	lidar;	1	2
0.011845111846923828:	lidar;	20
0.012875080108642578:	lidar;	2	2
0.01783013343811035:	lidar;	17
0.017838001251220703:	lidar;	3	2
0.024903059005737305:	lidar;	19
0.024917125701904297:	lidar;	4	2
0.030958175659179688:	lidar;	22
0.030973196029663086:	lidar;	5	2
0.037824153900146484:	lidar;	393
0.03882312774658203:	lidar;	6	2
0.04889416694641113:	lidar;	388
0.04982900619506836:	lidar;	7	2
0.08360409736633301:	lidar;	340
0.0836191177368164:	lidar;	8	2
0.08362603187561035:	lidar;	360
0.08363103866577148:	lidar;	9	2
0.08363699913024902:	lidar;	425
0.08364105224609375:	lidar;	10	2
0.08364701271057129:	lidar;	483
0.08365201950073242:	lidar;	11	2
0.1102910041809082:	lidar;	979
0.11030912399291992:	lidar;	12	2
0.11038899421691895:	lidar;	906
0.1103971004486084:	lidar;	13	2
0.11040401458740234:	lidar;	277
0.11040902137756348:	lidar;	14	2
0.11041522026062012:	lidar;	127
0.11042022705078125:	lidar;	15	2
0.11042618751525879:	lidar;	94
0.11043119430541992:	lidar;	16	2
0.11182713508605957:	lidar;	77
0.11183714866638184:	lidar;	17	2
0.1159510612487793:	lidar;	67
0.11596322059631348:	lidar;	18	2
0.1197810173034668:	lidar;	55
0.11978816986083984:	lidar;	19	2
0.12385320663452148:	lidar;	15
0.12386608123779297:	lidar;	20	2
0.12782621383666992:	lidar;	18
0.12783408164978027:	lidar;	21	2
0.13187408447265625:	lidar;	22
0.13188600540161133:	lidar;	22	2
0.13688015937805176:	lidar;	20
0.13689708709716797:	lidar;	23	2
0.13982510566711426:	lidar;	39
0.1398310661315918:	lidar;	24	2
0.1448972225189209:	lidar;	51
0.14490818977355957:	lidar;	25	2
0.14988207817077637:	lidar;	43
0.1499011516571045:	lidar;	26	2
0.15784406661987305:	lidar;	23
0.1578512191772461:	lidar;	27	2
0.1690831184387207:	lidar;	20
0.16909503936767578:	lidar;	28	2
0.16910219192504883:	lidar;	25
0.1723461151123047:	lidar;	29	2
0.17372822761535645:	lidar;	19
0.17373919486999512:	lidar;	30	2
0.17771100997924805:	lidar;	18
0.17772722244262695:	lidar;	31	2
0.17986822128295898:	lidar;	19
0.17987918853759766:	lidar;	32	2
0.18385100364685059:	lidar;	19
0.18386101722717285:	lidar;	33	2
0.18882107734680176:	lidar;	17
0.18883013725280762:	lidar;	34	2
0.19692516326904297:	lidar;	22
0.1969470977783203:	lidar;	35	2
0.20087599754333496:	lidar;	25
0.20088601112365723:	lidar;	36	2
0.20595407485961914:	lidar;	391
0.20597100257873535:	lidar;	37	2
0.21388721466064453:	lidar;	545
0.2138991355895996:	lidar;	0	3
0.22593307495117188:	lidar;	340
0.22595500946044922:	lidar;	1	3
0.2426621913909912:	lidar;	353
0.2426760196685791:	lidar;	2	3
0.24268412590026855:	lidar;	378
0.2426891326904297:	lidar;	3	3
0.24269604682922363:	lidar;	420
0.24270009994506836:	lidar;	4	3
0.24388408660888672:	lidar;	489
0.2438950538635254:	lidar;	5	3
0.2508261203765869:	lidar;	991
0.25183916091918945:	lidar;	6	3
0.2588510513305664:	lidar;	909
0.25886106491088867:	lidar;	7	3
0.2668421268463135:	lidar;	285
0.26685118675231934:	lidar;	8	3
0.27086615562438965:	lidar;	133
0.2708752155303955:	lidar;	9	3
0.27582502365112305:	lidar;	90
0.2758340835571289:	lidar;	10	3
0.28287220001220703:	lidar;	67
0.2828822135925293:	lidar;	11	3
0.287844181060791:	lidar;	53
0.28785014152526855:	lidar;	12	3
0.3041210174560547:	lidar;	19
0.3041350841522217:	lidar;	13	3
0.30414319038391113:	lidar;	19
0.30414819717407227:	lidar;	14	3
0.3078920841217041:	lidar;	33
0.3079071044921875:	lidar;	15	3
0.31183314323425293:	lidar;	52
0.3118410110473633:	lidar;	16	3
0.3188190460205078:	lidar;	37
0.318831205368042:	lidar;	17	3
0.3248472213745117:	lidar;	24
0.3248560428619385:	lidar;	18	3
0.3308122158050537:	lidar;	25
0.33081817626953125:	lidar;	19	3
0.33796215057373047:	lidar;	22
0.3380122184753418:	lidar;	20	3
0.3419041633605957:	lidar;	22
0.3419160842895508:	lidar;	21	3
0.34586405754089355:	lidar;	19
0.34587717056274414:	lidar;	22	3
0.3498380184173584:	lidar;	22
0.34984707832336426:	lidar;	23	3
0.3548002243041992:	lidar;	18
0.3548099994659424:	lidar;	24	3
0.37200403213500977:	lidar;	20
0.3720231056213379:	lidar;	25	3
0.37203216552734375:	lidar;	22
0.3720390796661377:	lidar;	26	3
0.37210917472839355:	lidar;	394
0.3721160888671875:	lidar;	27	3
0.3799450397491455:	lidar;	546
0.37996816635131836:	lidar;	28	3
0.39186811447143555:	lidar;	340
0.3918890953063965:	lidar;	29	3
0.3968842029571533:	lidar;	357
0.3968970775604248:	lidar;	30	3
0.39983201026916504:	lidar;	382
0.3998391628265381:	lidar;	31	3
0.4048600196838379:	lidar;	424
0.40487122535705566:	lidar;	32	3
0.40982818603515625:	lidar;	477
0.4098351001739502:	lidar;	33	3
0.4169189929962158:	lidar;	989
0.4169430732727051:	lidar;	34	3
0.431779146194458:	lidar;	910
0.4317920207977295:	lidar;	35	3
0.43699002265930176:	lidar;	280
0.4370090961456299:	lidar;	36	3
0.43706202507019043:	lidar;	132
0.4370701313018799:	lidar;	37	3
0.439838171005249:	lidar;	95
0.44089317321777344:	lidar;	0	4
0.4448280334472656:	lidar;	80
0.4448361396789551:	lidar;	1	4
0.44886207580566406:	lidar;	67
0.44887304306030273:	lidar;	2	4
0.45282912254333496:	lidar;	57
0.4528350830078125:	lidar;	3	4
0.4569051265716553:	lidar;	19
0.45791006088256836:	lidar;	4	4
0.46298718452453613:	lidar;	20
0.46300721168518066:	lidar;	5	4
0.4688260555267334:	lidar;	23
0.46883416175842285:	lidar;	6	4
0.4749181270599365:	lidar;	50
0.47493600845336914:	lidar;	7	4
0.48189210891723633:	lidar;	49
0.4819040298461914:	lidar;	8	4
0.4858560562133789:	lidar;	33
0.48586606979370117:	lidar;	9	4
0.49344921112060547:	lidar;	25
0.49346303939819336:	lidar;	10	4
0.5018210411071777:	lidar;	22
0.5018341541290283:	lidar;	11	4
0.5018410682678223:	lidar;	25
0.5018460750579834:	lidar;	12	4
0.5068650245666504:	lidar;	19
0.5068771839141846:	lidar;	13	4
0.5119061470031738:	lidar;	18
0.51192307472229:	lidar;	14	4
0.5158660411834717:	lidar;	22
0.5158801078796387:	lidar;	15	4
0.5218660831451416:	lidar;	20
0.5218760967254639:	lidar;	16	4
0.5278561115264893:	lidar;	22
0.5278692245483398:	lidar;	17	4
0.532804012298584:	lidar;	28
0.532811164855957:	lidar;	18	4
0.5408420562744141:	lidar;	420
0.5408551692962646:	lidar;	19	4
0.5669870376586914:	lidar;	338
0.5670020580291748:	lidar;	20	4
0.5670511722564697:	lidar;	354
0.5670580863952637:	lidar;	21	4
0.5670650005340576:	lidar;	382
0.5670690536499023:	lidar;	22	4
0.5688910484313965:	lidar;	420
0.5689001083374023:	lidar;	23	4
0.5738379955291748:	lidar;	472
0.5738441944122314:	lidar;	24	4
0.5818731784820557:	lidar;	990
0.5818891525268555:	lidar;	25	4
0.5888590812683105:	lidar;	909
0.5888650417327881:	lidar;	26	4
0.5969281196594238:	lidar;	276
0.5969481468200684:	lidar;	27	4
0.6008291244506836:	lidar;	133
0.6008381843566895:	lidar;	28	4
0.604816198348999:	lidar;	94
0.604823112487793:	lidar;	29	4
0.6078081130981445:	lidar;	79
0.6088089942932129:	lidar;	30	4
0.6128971576690674:	lidar;	67
0.6129121780395508:	lidar;	31	4
0.6168351173400879:	lidar;	57
0.6168410778045654:	lidar;	32	4
0.62552809715271:	lidar;	20
0.6255412101745605:	lidar;	33	4
0.6342852115631104:	lidar;	18
0.634350061416626:	lidar;	34	4
0.634397029876709:	lidar;	23
0.6344051361083984:	lidar;	35	4
0.6378970146179199:	lidar;	45
0.6379101276397705:	lidar;	36	4
0.644888162612915:	lidar;	48
0.6458580493927002:	lidar;	37	4
0.6510100364685059:	lidar;	32
0.651029109954834:	lidar;	0	5
0.6579141616821289:	lidar;	19
0.6579270362854004:	lidar;	1	5
0.6618931293487549:	lidar;	25
0.6619110107421875:	lidar;	2	5
0.6659162044525146:	lidar;	20
0.6668481826782227:	lidar;	3	5
0.670922040939331:	lidar;	18
0.6709392070770264:	lidar;	4	5
0.6748502254486084:	lidar;	19
0.6748621463775635:	lidar;	5	5
0.6788852214813232:	lidar;	20
0.6798322200775146:	lidar;	6	5
0.6828582286834717:	lidar;	18
0.6828711032867432:	lidar;	7	5
0.7142930030822754:	lidar;	19
0.7143700122833252:	lidar;	8	5
0.7144010066986084:	lidar;	22
0.7144269943237305:	lidar;	9	5
0.714601993560791:	lidar;	24
0.7146220207214355:	lidar;	10	5
0.7146360874176025:	lidar;	393
0.7146430015563965:	lidar;	11	5
0.7146530151367188:	lidar;	544
0.7146601676940918:	lidar;	12	5
0.7209310531616211:	lidar;	345
0.7218480110168457:	lidar;	13	5
0.7278170585632324:	lidar;	382
0.7278261184692383:	lidar;	14	5
0.7328681945800781:	lidar;	441
0.7328770160675049:	lidar;	15	5
0.7398362159729004:	lidar;	601
0.7398421764373779:	lidar;	16	5
0.748833179473877:	lidar;	926
0.7488391399383545:	lidar;	17	5
0.7590391635894775:	lidar;	283
0.7590591907501221:	lidar;	18	5
0.7648720741271973:	lidar;	108
0.7648839950561523:	lidar;	19	5
0.7810640335083008:	lidar;	78
0.7810811996459961:	lidar;	20	5
0.7811532020568848:	lidar;	60
0.7811601161956787:	lidar;	21	5
0.7828471660614014:	lidar;	20
0.7838270664215088:	lidar;	22	5
0.7918281555175781:	lidar;	20
0.7918341159820557:	lidar;	23	5
0.7988860607147217:	lidar;	35
0.7988982200622559:	lidar;	24	5
0.8028430938720703:	lidar;	52
0.8028531074523926:	lidar;	25	5
0.806833028793335:	lidar;	47
0.806840181350708:	lidar;	26	5
0.8118271827697754:	lidar;	32
0.8118431568145752:	lidar;	27	5
0.8198370933532715:	lidar;	19
0.8198511600494385:	lidar;	28	5
0.8248281478881836:	lidar;	24
0.8248331546783447:	lidar;	29	5
0.8419589996337891:	lidar;	19
0.841973066329956:	lidar;	30	5
0.8419811725616455:	lidar;	19
0.8419861793518066:	lidar;	31	5
0.845893144607544:	lidar;	19
0.8459081649780273:	lidar;	32	5
0.8488750457763672:	lidar;	22
0.8488810062408447:	lidar;	33	5
0.8529140949249268:	lidar;	20
0.8529331684112549:	lidar;	34	5
0.8569350242614746:	lidar;	23
0.8569550514221191:	lidar;	35	5
0.8608291149139404:	lidar;	392
0.8608381748199463:	lidar;	36	5
0.8688549995422363:	lidar;	543
0.8688721656799316:	lidar;	37	5
0.8798050880432129:	lidar;	339
0.879817008972168:	lidar;	0	6
0.8847661018371582:	lidar;	356
0.8847830295562744:	lidar;	1	6
0.8877742290496826:	lidar;	383
0.8877801895141602:	lidar;	2	6
0.8919711112976074:	lidar;	424
0.8919901847839355:	lidar;	3	6
0.9070191383361816:	lidar;	540
0.9070332050323486:	lidar;	4	6
