0.0002989768981933594:	lidar;	377
0.0003230571746826172:	lidar;	24	5	7616
0.00033211708068847656:	lidar;	477
0.0003390312194824219:	lidar;	25	5	7504
0.0003459453582763672:	lidar;	330
0.00035309791564941406:	lidar;	26	5	7536
0.0003600120544433594:	lidar;	326
0.00036597251892089844:	lidar;	27	5	7576
0.0003731250762939453:	lidar;	325
0.0003790855407714844:	lidar;	28	5	7416
0.0003859996795654297:	lidar;	337
0.00039196014404296875:	lidar;	29	5	7608
0.0003979206085205078:	lidar;	355
0.00040411949157714844:	lidar;	30	5	7496
0.00041103363037109375:	lidar;	385
0.0004169940948486328:	lidar;	31	5	7672
0.0004241466522216797:	lidar;	433
0.00043010711669921875:	lidar;	32	5	7360
0.00043702125549316406:	lidar;	462
0.0004429817199707031:	lidar;	33	5	7424
0.0004489421844482422:	lidar;	661
0.0004551410675048828:	lidar;	34	5	7256
0.0004611015319824219:	lidar;	964
0.00046706199645996094:	lidar;	35	5	7392
0.00047397613525390625:	lidar;	913
0.00047898292541503906:	lidar;	36	5	7384
0.0032651424407958984:	lidar;	896
0.0032799243927001953:	lidar;	37	5	7488
0.01129293441772461:	lidar;	434
0.011306047439575195:	lidar;	0	6	7120
0.03229403495788574:	lidar;	93
0.03231096267700195:	lidar;	1	6	21232
0.03923797607421875:	lidar;	79
0.040266990661621094:	lidar;	2	6	7408
0.046523094177246094:	lidar;	68
0.046560049057006836:	lidar;	3	6	7200
0.0686500072479248:	lidar;	62
0.06866598129272461:	lidar;	4	6	7128
0.06867313385009766:	lidar;	57
0.0686790943145752:	lidar;	5	6	7248
0.06868505477905273:	lidar;	53
0.06869006156921387:	lidar;	6	6	7248
0.11274409294128418:	lidar;	52
0.11276006698608398:	lidar;	7	6	7128
0.11276793479919434:	lidar;	50
0.11277294158935547:	lidar;	8	6	7112
0.11277914047241211:	lidar;	54
0.11278414726257324:	lidar;	9	6	7152
0.11279010772705078:	lidar;	52
0.1127939224243164:	lidar;	10	6	7464
0.11280012130737305:	lidar;	42
0.11280512809753418:	lidar;	11	6	7504
0.11281013488769531:	lidar;	33
0.11281514167785645:	lidar;	12	6	7256
0.11928796768188477:	lidar;	29
0.11930108070373535:	lidar;	13	6	7168
0.12627696990966797:	lidar;	27
0.12629199028015137:	lidar;	14	6	7248
0.13325214385986328:	lidar;	23
0.13423705101013184:	lidar;	15	6	7144
0.14024996757507324:	lidar;	20
0.14026594161987305:	lidar;	16	6	7192
0.14728212356567383:	lidar;	19
