1.4896478652954102:	lidar;	22
1.489670991897583:	lidar;	21	1
1.5777688026428223:	lidar;	19
1.577786922454834:	lidar;	22	1
2.1765589714050293:	lidar;	12
2.1765799522399902:	lidar;	23	1
2.2432548999786377:	lidar;	74
2.2433037757873535:	lidar;	24	1
2.2675318717956543:	lidar;	50
2.2675487995147705:	lidar;	25	1
2.3475358486175537:	lidar;	52
2.3475539684295654:	lidar;	26	1
2.391697883605957:	lidar;	49
2.391725778579712:	lidar;	27	1
2.727515935897827:	lidar;	20
2.7285609245300293:	lidar;	28	1
2.756532907485962:	lidar;	17
2.756549835205078:	lidar;	29	1
2.7725908756256104:	lidar;	25
2.772615909576416:	lidar;	30	1
2.786482810974121:	lidar;	23
2.7864937782287598:	lidar;	31	1
2.798487901687622:	lidar;	33
2.7985007762908936:	lidar;	32	1
2.818938970565796:	lidar;	27
2.818957805633545:	lidar;	33	1
2.8304738998413086:	lidar;	22
2.830488920211792:	lidar;	34	1
2.851472854614258:	lidar;	22
2.851484775543213:	lidar;	35	1
2.8762619495391846:	lidar;	20
2.8762779235839844:	lidar;	36	1
2.8885648250579834:	lidar;	19
2.88859486579895:	lidar;	37	1
2.9046099185943604:	lidar;	18
2.904634952545166:	lidar;	0	2
2.9205729961395264:	lidar;	17
2.921496868133545:	lidar;	1	2
2.939128875732422:	lidar;	18
2.939142942428589:	lidar;	2	2
2.952564001083374:	lidar;	18
2.9525818824768066:	lidar;	3	2
2.9676849842071533:	lidar;	18
2.9677209854125977:	lidar;	4	2
2.9814717769622803:	lidar;	15
2.9814817905426025:	lidar;	5	2
2.996492862701416:	lidar;	17
2.996501922607422:	lidar;	6	2
3.013746976852417:	lidar;	17
3.0137648582458496:	lidar;	7	2
3.021556854248047:	lidar;	17
3.021575927734375:	lidar;	8	2
3.034493923187256:	lidar;	29
3.0345089435577393:	lidar;	9	2
3.0474729537963867:	lidar;	334
3.04748797416687:	lidar;	10	2
3.058480978012085:	lidar;	334
3.0584919452667236:	lidar;	11	2
3.0895578861236572:	lidar;	376
3.0895869731903076:	lidar;	12	2
3.1005308628082275:	lidar;	417
3.1005468368530273:	lidar;	13	2
3.1116528511047363:	lidar;	462
3.1116747856140137:	lidar;	14	2
3.1204819679260254:	lidar;	573
3.120490789413452:	lidar;	15	2
3.139854907989502:	lidar;	757
3.1398727893829346:	lidar;	16	2
3.146331787109375:	lidar;	1152
3.1463468074798584:	lidar;	17	2
3.1495208740234375:	lidar;	914
3.1495308876037598:	lidar;	18	2
3.159658908843994:	lidar;	903
3.1596717834472656:	lidar;	19	2
3.168534994125366:	lidar;	275
3.1685760021209717:	lidar;	20	2
3.179473876953125:	lidar;	140
3.1794819831848145:	lidar;	21	2
3.1894848346710205:	lidar;	95
3.189497947692871:	lidar;	22	2
3.210909843444824:	lidar;	77
3.2109267711639404:	lidar;	23	2
3.2109339237213135:	lidar;	64
3.2109389305114746:	lidar;	24	2
3.2165849208831787:	lidar;	57
3.216603994369507:	lidar;	25	2
3.2255067825317383:	lidar;	51
3.2255327701568604:	lidar;	26	2
3.2354648113250732:	lidar;	49
3.235470771789551:	lidar;	27	2
3.244579792022705:	lidar;	47
3.244598865509033:	lidar;	28	2
3.2555007934570312:	lidar;	15
3.2564828395843506:	lidar;	29	2
3.2753829956054688:	lidar;	20
3.275399923324585:	lidar;	30	2
3.2884857654571533:	lidar;	22
3.2884938716888428:	lidar;	31	2
3.3106558322906494:	lidar;	18
3.3106818199157715:	lidar;	32	2
3.3544979095458984:	lidar;	39
3.3545138835906982:	lidar;	33	2
3.385645866394043:	lidar;	32
3.385668992996216:	lidar;	34	2
3.4188039302825928:	lidar;	25
3.4188218116760254:	lidar;	35	2
3.441617965698242:	lidar;	23
3.4416439533233643:	lidar;	36	2
3.4604389667510986:	lidar;	23
3.4604477882385254:	lidar;	37	2
3.483276844024658:	lidar;	23
3.48329496383667:	lidar;	0	3
3.4934279918670654:	lidar;	20
3.4934399127960205:	lidar;	1	3
3.508488893508911:	lidar;	18
3.5085017681121826:	lidar;	2	3
