0.0005259513854980469:	lidar;	19
0.0005550384521484375:	lidar;	19	54
0.0005710124969482422:	lidar;	18
0.0005810260772705078:	lidar;	20	54
0.0005919933319091797:	lidar;	18
0.0006020069122314453:	lidar;	21	54
0.0006129741668701172:	lidar;	19
0.0006220340728759766:	lidar;	22	54
0.0006330013275146484:	lidar;	18
0.0006420612335205078:	lidar;	23	54
0.0006539821624755859:	lidar;	18
0.0006620883941650391:	lidar;	24	54
0.0006730556488037109:	lidar;	22
0.0006818771362304688:	lidar;	25	54
0.0006918907165527344:	lidar;	29
0.0007009506225585938:	lidar;	26	54
0.0007119178771972656:	lidar;	431
0.0007219314575195312:	lidar;	27	54
0.0007328987121582031:	lidar;	335
0.0007410049438476562:	lidar;	28	54
0.0007519721984863281:	lidar;	351
0.0007610321044921875:	lidar;	29	54
0.0007839202880859375:	lidar;	376
0.0007929801940917969:	lidar;	30	54
0.0008039474487304688:	lidar;	414
0.0008120536804199219:	lidar;	31	54
0.000823974609375:	lidar;	472
0.0008320808410644531:	lidar;	32	54
0.0022950172424316406:	lidar;	978
0.0023338794708251953:	lidar;	33	54
0.011030912399291992:	lidar;	910
0.011059999465942383:	lidar;	34	54
0.019939899444580078:	lidar;	1
0.019952058792114258:	lidar;	35	54
0.02694106101989746:	lidar;	126
0.02695298194885254:	lidar;	36	54
0.03290987014770508:	lidar;	90
0.032917022705078125:	lidar;	37	54
0.03799009323120117:	lidar;	75
0.03800606727600098:	lidar;	0	55
0.04292893409729004:	lidar;	65
0.042942047119140625:	lidar;	1	55
0.04796290397644043:	lidar;	56
0.0479738712310791:	lidar;	2	55
0.0827798843383789:	lidar;	52
0.0827949047088623:	lidar;	3	55
0.08280205726623535:	lidar;	18
0.08280706405639648:	lidar;	4	55
0.08281302452087402:	lidar;	20
0.08281707763671875:	lidar;	5	55
0.08282303810119629:	lidar;	20
0.08282709121704102:	lidar;	6	55
0.08283305168151855:	lidar;	18
0.08283686637878418:	lidar;	7	55
0.08284306526184082:	lidar;	42
0.08284687995910645:	lidar;	8	55
0.11207389831542969:	lidar;	20
0.112091064453125:	lidar;	9	55
0.11209797859191895:	lidar;	30
0.11210298538208008:	lidar;	10	55
0.11210894584655762:	lidar;	25
0.11211395263671875:	lidar;	11	55
0.11211895942687988:	lidar;	19
0.11212301254272461:	lidar;	12	55
0.11212897300720215:	lidar;	19
0.11213302612304688:	lidar;	13	55
0.11213803291320801:	lidar;	19
0.11214208602905273:	lidar;	14	55
0.11995100975036621:	lidar;	17
0.1199650764465332:	lidar;	15	55
0.12291097640991211:	lidar;	18
0.12292289733886719:	lidar;	16	55
0.13090109825134277:	lidar;	19
0.13091397285461426:	lidar;	17	55
0.1399240493774414:	lidar;	18
0.1399369239807129:	lidar;	18	55
0.1469569206237793:	lidar;	17
0.1469740867614746:	lidar;	19	55
0.15093207359313965:	lidar;	19
0.15094399452209473:	lidar;	20	55
0.15795302391052246:	lidar;	29
0.15796494483947754:	lidar;	21	55
0.1763899326324463:	lidar;	433
0.1764049530029297:	lidar;	22	55
0.1764540672302246:	lidar;	335
0.17646098136901855:	lidar;	23	55
0.18796300888061523:	lidar;	352
0.18797898292541504:	lidar;	24	55
0.1949329376220703:	lidar;	384
0.1949479579925537:	lidar;	25	55
0.1989760398864746:	lidar;	416
