1.5622079372406006:	lidar;	89
1.5622150897979736:	lidar;	12	17
1.5839941501617432:	lidar;	73
1.5840120315551758:	lidar;	13	17
1.592221975326538:	lidar;	63
1.5922319889068604:	lidar;	14	17
1.6083869934082031:	lidar;	54
1.6084070205688477:	lidar;	15	17
1.6231989860534668:	lidar;	51
1.6232049465179443:	lidar;	16	17
1.6490719318389893:	lidar;	49
1.6490869522094727:	lidar;	17	17
1.6553151607513428:	lidar;	48
1.6553690433502197:	lidar;	18	17
1.6732299327850342:	lidar;	25
1.6732449531555176:	lidar;	19	17
1.6971700191497803:	lidar;	20
1.6971800327301025:	lidar;	20	17
1.730402946472168:	lidar;	18
1.7304301261901855:	lidar;	21	17
1.7698791027069092:	lidar;	38
1.7698941230773926:	lidar;	22	17
1.801279067993164:	lidar;	32
1.801300048828125:	lidar;	23	17
1.8357751369476318:	lidar;	23
1.8357911109924316:	lidar;	24	17
1.8543310165405273:	lidar;	25
1.854391098022461:	lidar;	25	17
1.8783040046691895:	lidar;	20
1.8783299922943115:	lidar;	26	17
1.9098539352416992:	lidar;	19
1.909872055053711:	lidar;	27	17
1.925220012664795:	lidar;	20
1.92523193359375:	lidar;	28	17
1.9482629299163818:	lidar;	18
1.94828200340271:	lidar;	29	17
1.9712820053100586:	lidar;	18
1.9743540287017822:	lidar;	30	17
1.9863591194152832:	lidar;	18
1.9863779544830322:	lidar;	31	17
2.003282070159912:	lidar;	19
2.003293991088867:	lidar;	32	17
2.0211710929870605:	lidar;	19
2.022171974182129:	lidar;	33	17
2.039344072341919:	lidar;	20
2.039361000061035:	lidar;	34	17
2.0552029609680176:	lidar;	29
2.05521297454834:	lidar;	35	17
2.07427716255188:	lidar;	413
2.07430100440979:	lidar;	36	17
2.117201089859009:	lidar;	333
2.1172189712524414:	lidar;	37	17
2.1322340965270996:	lidar;	341
2.1322519779205322:	lidar;	0	18
2.150376081466675:	lidar;	359
2.150395154953003:	lidar;	1	18
2.170459032058716:	lidar;	381
2.1704771518707275:	lidar;	2	18
2.1772091388702393:	lidar;	425
2.177216053009033:	lidar;	3	18
2.1932380199432373:	lidar;	484
2.193253993988037:	lidar;	4	18
2.2061901092529297:	lidar;	614
2.206202983856201:	lidar;	5	18
2.2201809883117676:	lidar;	997
2.220196008682251:	lidar;	6	18
2.2352540493011475:	lidar;	943
2.23527193069458:	lidar;	7	18
2.2521660327911377:	lidar;	910
2.2521860599517822:	lidar;	8	18
2.269217014312744:	lidar;	576
2.2692270278930664:	lidar;	9	18
2.281161069869995:	lidar;	201
2.2811689376831055:	lidar;	10	18
2.2986159324645996:	lidar;	114
2.298633098602295:	lidar;	11	18
2.311275005340576:	lidar;	87
2.3112950325012207:	lidar;	12	18
2.3261940479278564:	lidar;	73
2.3262009620666504:	lidar;	13	18
2.341374158859253:	lidar;	61
2.3413920402526855:	lidar;	14	18
2.3605000972747803:	lidar;	53
2.36051607131958:	lidar;	15	18
2.373755931854248:	lidar;	51
2.3738019466400146:	lidar;	16	18
2.388214111328125:	lidar;	49
2.388227939605713:	lidar;	17	18
2.4051640033721924:	lidar;	48
2.40516996383667:	lidar;	18	18
2.4234299659729004:	lidar;	23
2.423444986343384:	lidar;	19	18
2.447256088256836:	lidar;	20
2.447275161743164:	lidar;	20	18
2.4837429523468018:	lidar;	19
2.483757972717285:	lidar;	21	18
2.516371011734009:	lidar;	40
2.5163979530334473:	lidar;	22	18
2.555778980255127:	lidar;	34
2.5557971000671387:	lidar;	23	18
2.5761899948120117:	lidar;	23
2.576207160949707:	lidar;	24	18
2.6011221408843994:	lidar;	24
2.6011290550231934:	lidar;	25	18
2.625249147415161:	lidar;	18
2.625275135040283:	lidar;	26	18
2.6493611335754395:	lidar;	19
2.6493871212005615:	lidar;	27	18
2.684990167617798:	lidar;	19
2.6850061416625977:	lidar;	28	18
2.6962239742279053:	lidar;	18
2.6962461471557617:	lidar;	29	18
2.715283155441284:	lidar;	19
2.7153079509735107:	lidar;	30	18
2.744853973388672:	lidar;	19
2.744871139526367:	lidar;	31	18
2.7532119750976562:	lidar;	19
2.7540950775146484:	lidar;	32	18
2.771245002746582:	lidar;	18
2.772160053253174:	lidar;	33	18
2.7891311645507812:	lidar;	19
2.7891390323638916:	lidar;	34	18
2.815298080444336:	lidar;	34
2.8153159618377686:	lidar;	35	18
2.8241450786590576:	lidar;	412
2.8251090049743652:	lidar;	36	18
2.8826661109924316:	lidar;	333
2.8826820850372314:	lidar;	37	18
2.8841590881347656:	lidar;	342
2.884171962738037:	lidar;	0	19
2.899204969406128:	lidar;	356
2.8992249965667725:	lidar;	1	19
2.91414213180542:	lidar;	383
2.914149045944214:	lidar;	2	19
2.929119110107422:	lidar;	423
2.9291250705718994:	lidar;	3	19
2.947183132171631:	lidar;	487
