0.00037097930908203125:	lidar;	19
0.00039386749267578125:	lidar;	24	15
0.0004038810729980469:	lidar;	19
0.00041103363037109375:	lidar;	25	15
0.0004189014434814453:	lidar;	19
0.0004248619079589844:	lidar;	26	15
0.00043201446533203125:	lidar;	20
0.00044989585876464844:	lidar;	27	15
0.00045680999755859375:	lidar;	20
0.0004630088806152344:	lidar;	28	15
0.0004699230194091797:	lidar;	20
0.00047588348388671875:	lidar;	29	15
0.00048279762268066406:	lidar;	20
0.0004889965057373047:	lidar;	30	15
0.0004968643188476562:	lidar;	432
0.0005018711090087891:	lidar;	31	15
0.0005099773406982422:	lidar;	336
0.0005159378051757812:	lidar;	32	15
0.0005228519439697266:	lidar;	355
0.0005288124084472656:	lidar;	33	15
0.0005359649658203125:	lidar;	378
0.0005409717559814453:	lidar;	34	15
0.0005488395690917969:	lidar;	417
0.0005538463592529297:	lidar;	35	15
0.0005619525909423828:	lidar;	483
0.0005669593811035156:	lidar;	36	15
0.0005748271942138672:	lidar;	979
0.000579833984375:	lidar;	37	15
0.008292913436889648:	lidar;	906
0.008302927017211914:	lidar;	0	16
0.016302824020385742:	lidar;	229
0.016310930252075195:	lidar;	1	16
0.02228999137878418:	lidar;	125
0.02229595184326172:	lidar;	2	16
0.02733898162841797:	lidar;	93
0.027348995208740234:	lidar;	3	16
0.03230094909667969:	lidar;	77
0.03230786323547363:	lidar;	4	16
0.03743886947631836:	lidar;	66
0.03745889663696289:	lidar;	5	16
0.043332815170288086:	lidar;	55
0.04334592819213867:	lidar;	6	16
0.04828286170959473:	lidar;	53
0.04829096794128418:	lidar;	7	16
0.06903886795043945:	lidar;	20
0.06905198097229004:	lidar;	8	16
0.06905984878540039:	lidar;	22
0.06906485557556152:	lidar;	9	16
0.06907081604003906:	lidar;	22
0.06907486915588379:	lidar;	10	16
0.11536502838134766:	lidar;	19
0.11539292335510254:	lidar;	11	16
0.11539888381958008:	lidar;	47
0.11540484428405762:	lidar;	12	16
0.11541080474853516:	lidar;	23
0.11542701721191406:	lidar;	13	16
0.1154329776763916:	lidar;	32
0.11543703079223633:	lidar;	14	16
0.11544179916381836:	lidar;	25
0.11544680595397949:	lidar;	15	16
0.11545300483703613:	lidar;	20
0.11545681953430176:	lidar;	16	16
0.11546182632446289:	lidar;	20
0.11546587944030762:	lidar;	17	16
0.11547088623046875:	lidar;	22
0.11547493934631348:	lidar;	18	16
0.11547994613647461:	lidar;	20
0.11548399925231934:	lidar;	19	16
0.11941981315612793:	lidar;	18
0.11943292617797852:	lidar;	20	16
0.12430882453918457:	lidar;	20
0.12432193756103516:	lidar;	21	16
0.1294078826904297:	lidar;	18
0.12942981719970703:	lidar;	22	16
0.1354389190673828:	lidar;	20
0.13547086715698242:	lidar;	23	16
0.14043402671813965:	lidar;	18
0.1404588222503662:	lidar;	24	16
0.1453249454498291:	lidar;	20
0.1453409194946289:	lidar;	25	16
0.15123295783996582:	lidar;	27
0.15124201774597168:	lidar;	26	16
0.1593480110168457:	lidar;	436
0.15937280654907227:	lidar;	27	16
0.18635082244873047:	lidar;	336
0.18636584281921387:	lidar;	28	16
0.18637394905090332:	lidar;	351
0.18637895584106445:	lidar;	29	16
0.18824481964111328:	lidar;	377
0.18930602073669434:	lidar;	30	16
0.19524192810058594:	lidar;	422
0.1952500343322754:	lidar;	31	16
