0.0012769699096679688:	lidar;	458
0.0013499259948730469:	lidar;	24	4	7572
0.0013649463653564453:	lidar;	540
0.0013728141784667969:	lidar;	25	4	7544
0.00138092041015625:	lidar;	330
0.0013899803161621094:	lidar;	26	4	7776
0.001397848129272461:	lidar;	331
0.0014050006866455078:	lidar;	27	4	7768
0.0014128684997558594:	lidar;	338
0.0014209747314453125:	lidar;	28	4	7952
0.001428842544555664:	lidar;	357
0.001435995101928711:	lidar;	29	4	7904
0.0014438629150390625:	lidar;	388
0.0014507770538330078:	lidar;	30	4	7952
0.0014598369598388672:	lidar;	467
0.001466989517211914:	lidar;	31	4	7816
0.0014739036560058594:	lidar;	480
0.0014829635620117188:	lidar;	32	4	7720
0.0014908313751220703:	lidar;	712
0.0014979839324951172:	lidar;	33	4	7824
0.0015058517456054688:	lidar;	971
0.0015118122100830078:	lidar;	34	4	7768
0.001519918441772461:	lidar;	919
0.0015268325805664062:	lidar;	35	4	7792
0.0015349388122558594:	lidar;	902
0.0015408992767333984:	lidar;	36	4	7696
0.007381916046142578:	lidar;	303
0.0073947906494140625:	lidar;	37	4	7432
0.012363910675048828:	lidar;	189
0.012375831604003906:	lidar;	0	5	7584
0.020326852798461914:	lidar;	116
0.020340919494628906:	lidar;	1	5	7432
0.027367830276489258:	lidar;	91
0.027394771575927734:	lidar;	2	5	7712
0.0354008674621582:	lidar;	75
0.03541898727416992:	lidar;	3	5	7656
0.04234600067138672:	lidar;	65
0.042360782623291016:	lidar;	4	5	7408
0.07979989051818848:	lidar;	50
0.07981681823730469:	lidar;	5	5	22112
0.11191582679748535:	lidar;	50
0.11193180084228516:	lidar;	6	5	7656
0.11193990707397461:	lidar;	50
0.11194586753845215:	lidar;	7	5	7160
0.11198782920837402:	lidar;	52
0.11199498176574707:	lidar;	8	5	7232
0.11200189590454102:	lidar;	53
0.11200785636901855:	lidar;	9	5	7168
0.1120138168334961:	lidar;	34
0.11201882362365723:	lidar;	10	5	7464
0.11202478408813477:	lidar;	28
0.1120297908782959:	lidar;	11	5	7168
0.11632990837097168:	lidar;	25
0.11634397506713867:	lidar;	12	5	7360
0.12431097030639648:	lidar;	25
0.12432384490966797:	lidar;	13	5	7344
