3.1933629512786865:	imu;	yaw,	-3.8484511375427246|	accel_x,	0.12999999523162842|	accel_y,	-0.3100000023841858|	compass,	1.3066319227218628|	ang_vx,	-0.8587020635604858|	ang_vy,	-0.5445427298545837
3.5753562450408936:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.5916173458099365:	imu;	yaw,	-3.7066431045532227|	accel_x,	0.2800000011920929|	accel_y,	0.03999999910593033|	compass,	2.127631187438965|	ang_vx,	-0.6073746085166931|	ang_vy,	0.12566371262073517
3.6085965633392334:	servo;	25
3.6406500339508057:	servo;	24
3.65667724609375:	servo;	25
3.6647181510925293:	servo;	24
3.672617197036743:	servo;	25
3.6850991249084473:	servo;	24
3.690755844116211:	imu;	yaw,	-3.6739182472229004|	accel_x,	0.6200000047683716|	accel_y,	-0.03999999910593033|	compass,	2.2279818058013916|	ang_vx,	-0.5096361637115479|	ang_vy,	-0.2583087384700775
3.728712797164917:	servo;	25
3.731332302093506:	imu;	yaw,	-3.6597375869750977|	accel_x,	0.12999999523162842|	accel_y,	-0.03999999910593033|	compass,	2.435822010040283|	ang_vx,	-0.4956735074520111|	ang_vy,	-0.6352998614311218
3.7406139373779297:	servo;	24
3.7741575241088867:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.7909650802612305:	imu;	yaw,	-3.634648323059082|	accel_x,	0.03999999910593033|	accel_y,	-0.05000000074505806|	compass,	2.403392791748047|	ang_vx,	-0.09075712412595749|	ang_vy,	-0.04886922240257263
3.809243679046631:	servo;	25
3.8162119388580322:	servo;	24
3.8242015838623047:	servo;	25
3.8451647758483887:	servo;	24
3.8532869815826416:	servo;	25
3.864624261856079:	servo;	24
3.8727705478668213:	servo;	25
3.897169351577759:	servo;	24
3.9051313400268555:	servo;	25
3.974571943283081:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.090763568878174:	imu;	yaw,	-3.537564516067505|	accel_x,	0.11999999731779099|	accel_y,	-0.5400000214576721|	compass,	1.3521273136138916|	ang_vx,	0.23038345575332642|	ang_vy,	-0.020943952724337578
4.1305506229400635:	imu;	yaw,	-3.5222928524017334|	accel_x,	-0.3199999928474426|	accel_y,	-0.550000011920929|	compass,	1.2735164165496826|	ang_vx,	0.23038345575332642|	ang_vy,	-0.13962635397911072
4.174360990524292:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.195319652557373:	imu;	yaw,	-3.4939310550689697|	accel_x,	0.6499999761581421|	accel_y,	-0.3400000035762787|	compass,	1.175080418586731|	ang_vx,	0.25132742524147034|	ang_vy,	-0.7260569930076599
4.2883219718933105:	servo;	24
4.291165113449097:	imu;	yaw,	-3.459024429321289|	accel_x,	0.10000000149011612|	accel_y,	-0.46000000834465027|	compass,	1.0539630651474|	ang_vx,	0.23038345575332642|	ang_vy,	-0.7539822459220886
4.294726133346558:	servo;	25
4.37429141998291:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.436879634857178:	servo;	24
4.442781925201416:	servo;	25
4.484350204467773:	servo;	24
4.492573976516724:	servo;	25
4.553249835968018:	servo;	24
4.561201095581055:	servo;	25
4.575268268585205:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.63325309753418:	servo;	24
4.639043807983398:	servo;	25
4.661652088165283:	imu;	yaw,	-3.3226704597473145|	accel_x,	0.0|	accel_y,	-0.4399999976158142|	compass,	2.596142292022705|	ang_vx,	-0.0069813174195587635|	ang_vy,	-0.4328416585922241
4.665023326873779:	servo;	24
4.672979831695557:	servo;	25
4.760703802108765:	servo;	24
4.774603366851807:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.78929591178894:	servo;	25
4.793386697769165:	imu;	yaw,	-3.2724924087524414|	accel_x,	0.4099999964237213|	accel_y,	-0.3700000047683716|	compass,	3.431765079498291|	ang_vx,	0.7260569930076599|	ang_vy,	-0.6213372349739075
4.796613454818726:	servo;	24
4.802257537841797:	servo;	25
4.8122358322143555:	imu;	yaw,	-3.263765811920166|	accel_x,	0.44999998807907104|	accel_y,	-0.2199999988079071|	compass,	3.431765079498291|	ang_vx,	0.6841690540313721|	ang_vy,	-0.16057029366493225
4.848517417907715:	servo;	24
4.874560832977295:	servo;	22
4.880567312240601:	servo;	20
4.8850462436676025:	blue_led;	243
4.8895392417907715:	motors;	95
4.895153999328613:	servo;	15
4.899526834487915:	blue_led;	225
4.9038310050964355:	motors;	88
4.908207416534424:	servo;	13
4.912589073181152:	blue_led;	212
4.916921854019165:	motors;	83
4.9226062297821045:	servo;	12
4.926983594894409:	blue_led;	208
4.931299448013306:	motors;	81
4.935661554336548:	servo;	11
4.940004825592041:	blue_led;	200
4.944437265396118:	motors;	78
4.954493761062622:	blue_led;	197
4.95882248878479:	motors;	77
4.967596054077148:	blue_led;	196
4.976321697235107:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.991870164871216:	imu;	yaw,	-3.1983160972595215|	accel_x,	-0.029999999329447746|	accel_y,	0.1599999964237213|	compass,	1.244243860244751|	ang_vx,	0.9145525693893433|	ang_vy,	-0.8936086297035217
