3.3583483695983887:	imu;	yaw,	-1.517345666885376|	accel_x,	0.029999999329447746|	accel_y,	-0.8299999833106995|	compass,	3.3070778846740723|	ang_vx,	-0.04886922240257263|	ang_vy,	0.013962634839117527
3.360712766647339:	motors;	100
3.365163803100586:	servo;	-24
3.3818001747131348:	imu;	yaw,	-1.517345666885376|	accel_x,	-0.3199999928474426|	accel_y,	-1.2100000381469727|	compass,	3.261296033859253|	ang_vx,	0.1186823919415474|	ang_vy,	0.05585053935647011
3.403268337249756:	imu;	yaw,	-1.5162549018859863|	accel_x,	-0.8399999737739563|	accel_y,	-1.149999976158142|	compass,	3.261296033859253|	ang_vx,	-0.39095377922058105|	ang_vy,	-0.39793506264686584
3.423595905303955:	imu;	yaw,	-1.514073133468628|	accel_x,	-0.23999999463558197|	accel_y,	-1.0299999713897705|	compass,	3.3080384731292725|	ang_vx,	-0.9913470149040222|	ang_vy,	-0.6003932952880859
3.4310641288757324:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.456774950027466:	servo;	-22
3.4624013900756836:	servo;	-17
3.5209970474243164:	servo;	-16
3.526594877243042:	servo;	-17
3.5333080291748047:	servo;	-16
3.5790622234344482:	imu;	yaw,	-1.5031648874282837|	accel_x,	-0.3199999928474426|	accel_y,	-0.07000000029802322|	compass,	3.2255465984344482|	ang_vx,	-0.0069813174195587635|	ang_vy,	-0.3490658700466156
3.6011033058166504:	imu;	yaw,	-1.5053465366363525|	accel_x,	-0.1599999964237213|	accel_y,	-0.5799999833106995|	compass,	3.2255465984344482|	ang_vx,	0.10471976548433304|	ang_vy,	-0.07679449021816254
3.627166986465454:	servo;	-15
3.632821559906006:	servo;	-14
3.6461901664733887:	servo;	-13
3.65293288230896:	servo;	-12
3.660827159881592:	servo;	-11
3.7191057205200195:	imu;	yaw,	-1.514073133468628|	accel_x,	-0.49000000953674316|	accel_y,	-0.4399999976158142|	compass,	2.1229801177978516|	ang_vx,	0.2583087384700775|	ang_vy,	0.8726646900177002
3.7268447875976562:	servo;	-10
3.7328507900238037:	servo;	-11
3.8228328227996826:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.8369195461273193:	servo;	-10
3.8493449687957764:	servo;	-11
3.857323408126831:	servo;	-10
3.8785274028778076:	imu;	yaw,	-1.5315265655517578|	accel_x,	-0.47999998927116394|	accel_y,	0.1599999964237213|	compass,	1.5330686569213867|	ang_vx,	0.6003932952880859|	ang_vy,	0.30019664764404297
3.9008865356445312:	servo;	-11
3.9293277263641357:	servo;	-10
3.9609792232513428:	servo;	0
3.9986910820007324:	imu;	yaw,	-1.5391623973846436|	accel_x,	-0.25|	accel_y,	-0.550000011920929|	compass,	1.47337007522583|	ang_vx,	0.27925270795822144|	ang_vy,	-0.1186823919415474
4.022740602493286:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.058420181274414:	imu;	yaw,	-1.5446163415908813|	accel_x,	0.5|	accel_y,	0.5|	compass,	1.4253638982772827|	ang_vx,	0.46076691150665283|	ang_vy,	-0.05585053935647011
4.219104051589966:	imu;	yaw,	-1.5413438081741333|	accel_x,	0.3199999928474426|	accel_y,	0.1599999964237213|	compass,	1.5887624025344849|	ang_vx,	-0.1186823919415474|	ang_vy,	0.30717796087265015
4.226318120956421:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.240876197814941:	imu;	yaw,	-1.5369807481765747|	accel_x,	-0.05000000074505806|	accel_y,	0.3799999952316284|	compass,	1.665966272354126|	ang_vx,	0.3839724361896515|	ang_vy,	0.10471976548433304
4.378983736038208:	imu;	yaw,	-1.5271631479263306|	accel_x,	-0.27000001072883606|	accel_y,	0.33000001311302185|	compass,	1.5837533473968506|	ang_vx,	-0.3281219005584717|	ang_vy,	0.03490658849477768
4.398988246917725:	imu;	yaw,	-1.526072382926941|	accel_x,	-0.18000000715255737|	accel_y,	0.36000001430511475|	compass,	1.5837533473968506|	ang_vx,	0.37000980973243713|	ang_vy,	0.33510324358940125
4.421757459640503:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.438893795013428:	imu;	yaw,	-1.520618200302124|	accel_x,	0.0|	accel_y,	0.4300000071525574|	compass,	1.5558416843414307|	ang_vx,	-0.21642082929611206|	ang_vy,	0.4956735074520111
4.558921813964844:	imu;	yaw,	-1.495529055595398|	accel_x,	0.07000000029802322|	accel_y,	0.20000000298023224|	compass,	1.5267348289489746|	ang_vx,	0.6283185482025146|	ang_vy,	-0.8377581238746643
4.608781814575195:	imu;	yaw,	-1.4878932237625122|	accel_x,	0.3799999952316284|	accel_y,	-0.2199999988079071|	compass,	1.4856243133544922|	ang_vx,	-0.33510324358940125|	ang_vy,	-0.8587020635604858
4.822163820266724:	gps;	long,	0.0|	lat,	0.0|	fix,	False
