0.010890960693359375:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.013695478439331055:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.015978336334228516:	encoder;	counts,	0
0.0395510196685791:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.049199581146240234:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.09906220436096191:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.13664531707763672:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.3362243175506592:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.39885878562927246:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.46309876441955566:	blue_led;	57
0.46762919425964355:	motors;	22
0.47330713272094727:	blue_led;	63
0.47783946990966797:	motors;	24
0.48354244232177734:	blue_led;	73
0.48798513412475586:	motors;	28
0.49234533309936523:	blue_led;	102
0.4966390132904053:	motors;	40
0.5022721290588379:	blue_led;	112
0.5066721439361572:	motors;	44
0.5125417709350586:	blue_led;	122
0.5168876647949219:	motors;	47
0.5212650299072266:	blue_led;	126
0.5255765914916992:	motors;	49
0.5358405113220215:	blue_led;	148
0.5378327369689941:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.5402371883392334:	motors;	58
0.5459871292114258:	blue_led;	154
0.550323486328125:	motors;	60
0.5559508800506592:	blue_led;	210
0.5602657794952393:	motors;	82
0.5646288394927979:	blue_led;	225
0.5693221092224121:	motors;	88
0.5750455856323242:	blue_led;	235
0.5793848037719727:	motors;	92
0.5838062763214111:	blue_led;	254
0.5882112979888916:	motors;	99
0.592597246170044:	blue_led;	255
0.5968842506408691:	motors;	100
0.690131425857544:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.715785026550293:	blue_led;	250
0.7201812267303467:	motors;	98
0.7258563041687012:	blue_led;	224
0.7302901744842529:	motors;	88
0.7360107898712158:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7378571033477783:	blue_led;	193
0.7424261569976807:	motors;	75
0.7486279010772705:	blue_led;	156
0.7531073093414307:	motors;	61
0.7588338851928711:	blue_led;	124
0.7631547451019287:	motors;	48
0.7688350677490234:	blue_led;	101
0.7732055187225342:	motors;	39
0.7788419723510742:	blue_led;	67
0.7831845283508301:	motors;	26
0.7888035774230957:	blue_led;	0
0.7932195663452148:	motors;	0
0.9370694160461426:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.0388760566711426:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.136780023574829:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.169095516204834:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.1795589923858643:	blue_led;	51
1.1839687824249268:	motors;	20
1.1896939277648926:	blue_led;	152
1.194103479385376:	motors;	59
1.2001140117645264:	blue_led;	180
1.204423189163208:	motors;	70
1.208862543106079:	blue_led;	225
1.2131781578063965:	motors;	88
1.2190608978271484:	blue_led;	243
1.2234206199645996:	motors;	95
1.2278659343719482:	blue_led;	254
1.2322108745574951:	motors;	99
1.236750841140747:	blue_led;	255
1.2410469055175781:	motors;	100
1.3393502235412598:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.4440250396728516:	blue_led;	229
1.448714017868042:	motors;	89
1.4556028842926025:	blue_led;	202
1.4601991176605225:	motors;	79
1.4658112525939941:	blue_led;	176
1.4701454639434814:	motors;	69
1.4950840473175049:	blue_led;	151
1.4997518062591553:	motors;	59
1.505354881286621:	blue_led;	143
1.5097811222076416:	motors;	56
1.51535964012146:	blue_led;	88
1.5197563171386719:	motors;	34
1.5241632461547852:	blue_led;	78
1.5284721851348877:	motors;	30
1.5342168807983398:	blue_led;	64
1.5381314754486084:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.5389800071716309:	motors;	25
1.54380464553833:	blue_led;	52
1.548234224319458:	motors;	20
1.5554885864257812:	blue_led;	0
1.5598821640014648:	motors;	0
1.6551318168640137:	blue_led;	66
1.659592628479004:	motors;	-25
1.6652698516845703:	blue_led;	134
1.6696381568908691:	motors;	-52
1.6754112243652344:	blue_led;	153
1.6797502040863037:	motors;	-60
1.6841378211975098:	blue_led;	170
1.6884400844573975:	motors;	-66
1.694171667098999:	blue_led;	175
1.6985232830047607:	motors;	-68
1.7029025554656982:	blue_led;	194
1.7072372436523438:	motors;	-76
1.7129452228546143:	blue_led;	216
1.7173516750335693:	motors;	-84
1.7218172550201416:	blue_led;	217
1.7262141704559326:	motors;	-85
1.7325258255004883:	blue_led;	226
1.7370092868804932:	motors;	-88
1.7412734031677246:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.741816520690918:	blue_led;	227
1.7464525699615479:	motors;	-89
1.7504281997680664:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.7528371810913086:	blue_led;	226
1.7572376728057861:	motors;	-88
1.7702536582946777:	blue_led;	225
1.7802417278289795:	blue_led;	209
1.784752368927002:	motors;	-82
1.7890980243682861:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.789785623550415:	blue_led;	167
1.7941992282867432:	motors;	-65
1.7985944747924805:	blue_led;	55
1.8030223846435547:	motors;	21
1.808739185333252:	blue_led;	0
1.813061237335205:	motors;	0
1.9356701374053955:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.136204957962036:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.3358898162841797:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.4792520999908447:	imu;	yaw,	-6.282094478607178|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.5363457202911377:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.735492467880249:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.9363584518432617:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.008643627166748:	imu;	yaw,	-6.239552021026611|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.0486772060394287:	imu;	yaw,	-6.235188961029053|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.1359784603118896:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.279045581817627:	imu;	yaw,	-6.207918167114258|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.5286619663238525:	imu;	yaw,	-6.190464973449707|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.539808750152588:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.5887460708618164:	imu;	yaw,	-6.190464973449707|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.7362351417541504:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.9366302490234375:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.135700702667236:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.299540042877197:	imu;	yaw,	-6.230825424194336|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
4.3094494342803955:	imu;	yaw,	-6.233006954193115|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
4.319635391235352:	imu;	yaw,	-6.235188961029053|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
4.53755784034729:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.559845685958862:	imu;	yaw,	-0.020725784823298454|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
4.736119747161865:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.858548641204834:	imu;	yaw,	-0.03817908093333244|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
4.9367170333862305:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.048734903335571:	imu;	yaw,	-0.03817908093333244|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.135784864425659:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.359308242797852:	imu;	yaw,	-0.03817908093333244|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.53674578666687:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.629298210144043:	imu;	yaw,	-0.03708824887871742|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.736552715301514:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.936192512512207:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.137171983718872:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.2891716957092285:	imu;	yaw,	-6.103198051452637|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
6.336535692214966:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.369406700134277:	imu;	yaw,	-6.093380928039551|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
6.389459848403931:	imu;	yaw,	-6.092289924621582|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
6.536875009536743:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.736158609390259:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.93691611289978:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.958661317825317:	imu;	yaw,	-6.0911993980407715|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.078861236572266:	imu;	yaw,	-6.109743118286133|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.128833532333374:	imu;	yaw,	-6.120651721954346|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.138235807418823:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.538112163543701:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.738941192626953:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.7792136669158936:	imu;	yaw,	-0.07635816186666489|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.938707113265991:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.136794567108154:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.536853075027466:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.736659526824951:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.937016487121582:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.95944094657898:	imu;	yaw,	-0.04581489413976669|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.136680126190186:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.538317441940308:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.738099575042725:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.768960237503052:	imu;	yaw,	-6.154467582702637|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.819331645965576:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.879237413406372:	imu;	yaw,	-6.150104522705078|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.939743518829346:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.137181997299194:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.405817747116089:	blue_led;	56
10.410527229309082:	motors;	-22
10.417136669158936:	blue_led;	63
10.42178225517273:	motors;	-25
10.427779912948608:	blue_led;	79
10.432294845581055:	motors;	-31
10.436843156814575:	blue_led;	98
10.441198348999023:	motors;	-38
10.457500457763672:	blue_led;	131
