,servo_steering,gps,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat,long,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
0.016089916229248047,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11298036575317383,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.07000000029802322,-0.07000000029802322,-0.12999999523162842,0.0033333334140479565,-0.0011111111380159855,-0.0011111111380159855,175.125,-4.4375,1.875,0.04229736328125,0.0380859375,0.0184326171875,3.00177001953125
0.21797537803649902,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,-0.09000000357627869,-0.12999999523162842,-0.15000000596046448,0.0,0.0033333334140479565,-0.006666666828095913,175.125,-4.375,1.9375,0.04229736328125,0.0379638671875,0.0186767578125,3.00177001953125
0.32297515869140625,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.18000000715255737,0.10999999940395355,-0.10000000149011612,0.0,-0.004444444552063942,0.0033333334140479565,175.125,-4.4375,1.9375,0.04229736328125,0.0380859375,0.01898193359375,3.00177001953125
0.429232120513916,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,-0.03999999910593033,0.07000000029802322,-0.11999999731779099,0.002222222276031971,0.008888889104127884,-0.004444444552063942,175.125,-4.3125,1.9375,0.04229736328125,0.037353515625,0.0185546875,3.00177001953125
0.5347247123718262,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,-0.05000000074505806,-0.019999999552965164,0.03999999910593033,0.0033333334140479565,0.002222222276031971,0.006666666828095913,175.125,-4.3125,1.9375,0.04229736328125,0.03741455078125,0.01849365234375,3.00177001953125
0.6396484375,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.0,-0.019999999552965164,0.05000000074505806,-0.0033333334140479565,0.012222222052514553,-0.0011111111380159855,175.125,-4.3125,1.9375,0.04229736328125,0.037353515625,0.01849365234375,3.00177001953125
0.7487835884094238,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.019999999552965164,0.03999999910593033,-0.23000000417232513,0.0011111111380159855,-0.006666666828095913,0.0,175.125,-4.375,1.9375,0.042236328125,0.0374755859375,0.01849365234375,3.00177001953125
0.8558230400085449,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.0,0.03999999910593033,-0.03999999910593033,0.0,-0.002222222276031971,0.004444444552063942,175.125,-4.375,1.875,0.042236328125,0.03753662109375,0.01849365234375,3.00177001953125
0.9628520011901855,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.05000000074505806,-0.019999999552965164,-0.07999999821186066,0.0011111111380159855,0.0033333334140479565,0.0,175.125,-4.375,1.875,0.042236328125,0.0374755859375,0.01849365234375,3.00177001953125
1.0699970722198486,0,40,26.605098724365234,79,56.40520095825195,0.3518800139427185,13,0.05000000074505806,-0.019999999552965164,-0.07999999821186066,0.0011111111380159855,0.0033333334140479565,0.0,175.125,-4.375,1.875,0.042236328125,0.0374755859375,0.01849365234375,3.00177001953125
1.1763105392456055,0,40,26.605098724365234,79,56.40520095825195,0.3148399889469147,13,0.09000000357627869,0.03999999910593033,-0.07999999821186066,0.0011111111380159855,-0.006666666828095913,0.002222222276031971,175.125,-4.375,1.9375,0.042236328125,0.03741455078125,0.01849365234375,3.00177001953125
