,servo_steering,gps,,,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat_min,lat_sec,long_min,long_sec,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
165.0259497166,5,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,73,-0.7400000095,-3.2000000477,-0.0700000003,0.4911110997,-0.1544444412,0.1455555558,318.4375,-4.875,-1.8125,0.9341430664,3.9998168945,0.0455322266,0.3539428711
165.1270794868,82,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,74,-2.9600000381,0.0900000036,-3.1700000763,0.0511111096,0.3366666734,0.1411111057,317.9375,-5.0625,-1.625,0.9324951172,3.9973754883,0.0463867188,0.358215332
165.2324888706,90,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,75,-0.0900000036,-2.5499999523,14.6300001144,-0.0666666701,-0.4455555677,0.2366666645,316.875,-5,-1.875,0.9290771484,3.999206543,0.0469970703,0.3669433594
165.3362085819,90,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,75,-0.75,-1.0700000525,-8.2100000381,-0.4322222173,0.2422222197,0.1766666621,316.1875,-5.1875,-1.4375,0.9268188477,3.9946289063,0.0471191406,0.3724975586
165.4358012676,90,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,75,-0.9499999881,-0.75,6.6700000763,0.3366666734,-0.3466666639,0.2433333397,315.125,-5.1875,-1.625,0.9232788086,3.9959716797,0.0477905273,0.3811035156
165.5416829586,90,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,76,-0.8100000024,-1.1900000572,-7.2399997711,-0.8411111236,0.0388888903,0.3144444525,313,-5.3125,-1.5,0.9161376953,3.9936523438,0.0477905273,0.3979492188
165.6515300274,3,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,76,-0.4900000095,0.200000003,19.8899993896,0.0477777794,-0.0444444455,0.3411111236,312.3125,-5,-1.9375,0.9136962891,3.9979248047,0.0472412109,0.4036254883
165.7544078827,46,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,76,0.6299999952,-2.7599999905,2.0199999809,0.0199999996,0.4022222161,0.3377777636,309.9375,-5.4375,-1.625,0.905090332,3.9927368164,0.0492553711,0.4223632813
165.8609507084,90,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,-2.5,-0.1199999973,-2.6500000954,-0.3066666722,-0.2011111081,0.2888889015,308.625,-5.4375,-1.5,0.8996582031,3.9920654297,0.0482788086,0.4338378906
165.9613752365,90,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,5.6799998283,-0.7200000286,9.4600000381,0.4600000083,0.296666652,0.3700000048,306.1875,-5.1875,-1.75,0.8909301758,3.9930419922,0.047668457,0.4516601563
166.0702006817,3,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,-5.3499999046,-0.5,16.4099998474,-0.0588888898,-0.0044444446,0.2155555487,305,-5.5625,-1,0.8859863281,3.9854125977,0.0473632813,0.4610595703
166.177106142,3,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,-0.0599999987,-0.8899999857,-2.0499999523,0.1122222245,0.0911111087,0.2822222114,302.6875,-5.5625,-1.1875,0.8764648438,3.9860229492,0.0477905273,0.4789428711
166.2759196758,3,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,0.2300000042,0.3100000024,5.1100001335,-0.2044444382,0.0599999987,0.1866666675,301.625,-5.5625,-1.1875,0.8720703125,3.9855957031,0.0475463867,0.4868774414
166.3772187233,3,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,0.150000006,-0.1400000006,-7.9099998474,0.3188889027,-0.0466666669,0.1622222215,300.9375,-5.3125,-1.4375,0.8690795898,3.9879150391,0.0467529297,0.4923095703
166.480407238,0,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,77,0.5099999905,0.8799999952,1.5199999809,0.1700000018,-0.0255555548,0.1644444466,300.25,-5.5625,-1.375,0.866027832,3.9861450195,0.0482788086,0.4974365234
166.5872569084,-72,40,26.5939006805,79,56.364200592,8.8525590897,1.0499999523,340.6300048828,78,1.7699999809,-0.8199999928,12.9499998093,-0.25111112,0.1655555516,0.1522222161,299.5625,-5.8125,-1.25,0.8630981445,3.9839477539,0.0494995117,0.5023803711
166.6876273155,-84,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,78,2.2100000381,0.6499999762,-20.5100002289,0.6888889074,0.0366666652,0.175555557,299.375,-5.375,-1.6875,0.8622436523,3.9889526367,0.0481567383,0.5040893555
166.7887134552,-76,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,80,-0.8999999762,-2.1199998856,2.2400000095,-0.0833333358,-0.1944444478,0.0266666673,298.5625,-5.375,-1.25,0.8588256836,3.9854736328,0.0465087891,0.5099487305
166.8938264847,-66,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,0.5899999738,-1.3400000334,-6.75,-0.12555556,0.1311111152,-0.0588888898,298.6875,-5.4375,-1.3125,0.859375,3.9854125977,0.0470581055,0.5090332031
166.9947810173,-60,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,-1.6399999857,0.5699999928,-10.279999733,-0.0655555576,-0.12555556,-0.055555556,298.8125,-5.5625,-1.25,0.8598632813,3.9847412109,0.0474853516,0.5081176758
167.1028366089,-86,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,2.1300001144,-1.2400000095,-6.9000000954,-0.3666666746,0.2811111212,-0.1422222257,299.3125,-5.375,-1.25,0.862121582,3.9860229492,0.0462036133,0.5043945313
167.2062597275,-4,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,-1.7899999619,-1.4400000572,-0.2300000042,-0.6177777648,0.0411111116,-0.1700000018,299.75,-5.4375,-1.1875,0.8641357422,3.9852905273,0.046875,0.5008544922
167.3147695065,-4,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,0.1400000006,-1.3999999762,4.1500000954,-0.2533333302,0.1077777743,-0.0733333305,300.625,-5.6875,-1.25,0.8677368164,3.9851074219,0.0490112305,0.4943847656
167.4186649323,-4,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,4.2100000381,0.0199999996,15.3100004196,0.6722221971,0.1433333308,0.0922222212,301.125,-5.75,-1.25,0.8698120117,3.9848022461,0.0493774414,0.4906616211
