,servo_steering,gps,,encoder,imu,,,,
timestamp,position,lat,long,counts,accel_x,accel_y,gyro_z,yaw,compass
0.023682117462158203,-25,0,0,0,0,0,0,0,0
0.03089594841003418,-65,0,0,0,0,0,0,0,0
0.045783281326293945,-90,0,0,0,0,0,0,0,0
0.06032133102416992,-90,0,0,0,0,0,0,0,0
0.07523679733276367,-75,0,0,0,0,0,0,0,0
0.08989977836608887,-23,0,0,0,0,0,0,0,0
0.10471343994140625,-23,0,0,0,0,0,0,0,0
0.11952972412109375,-65,0,0,0,0,0,0,0,0
0.1345047950744629,-90,0,0,0,0,0,0,0,0
0.14931750297546387,-90,0,0,0,0,0,0,0,0
0.16398286819458008,-90,0,0,0,0,0,0,0,0
0.17871356010437012,-90,0,0,0,0,0,0,0,0
0.19361305236816406,-90,0,0,0,0,0,0,0,0
0.20836997032165527,-90,0,0,0,0,0,0,0,0
0.22298645973205566,-90,0,0,0,0,0,0,0,0
0.23777413368225098,-90,0,0,0,0,0,0,0,0
0.25266122817993164,-90,0,0,0,0,0,0,0,0
0.2673327922821045,-90,0,0,0,0,0,0,0,0
0.2821691036224365,-90,0,0,0,0,0,0,0,0
0.29633164405822754,-90,0,0,0,0,0,0,0,0
0.3110489845275879,-90,0,0,0,0,0,0,0,0
0.325852632522583,-90,0,0,0,0,0,0,0,0
0.340470552444458,-90,0,0,0,0,0,0,0,0
0.3551311492919922,-90,0,0,0,0,0,0,0,0
0.36975789070129395,-90,0,0,0,0,0,0,0,0
0.3841831684112549,-90,0,0,0,0,0,0,0,0
0.39908385276794434,-90,0,0,0,0,0,0,0,0
0.41374683380126953,-90,0,0,0,0,0,0,0,0
0.4285318851470947,-90,0,0,0,0,0,0,0,0
0.4430522918701172,-90,0,0,0,0,0,0,0,0
0.457517147064209,-90,0,0,0,0,0,0,0,0
0.47254467010498047,-90,0,0,0,0,0,0,0,0
0.4872434139251709,-90,0,0,0,0,0,0,0,0
0.5020027160644531,-90,0,0,0,0,0,0,0,0
0.5162506103515625,-90,0,0,0,0,0,0,0,0
0.5307033061981201,-90,0,0,0,0,0,0,0,0
0.5456516742706299,-90,0,0,0,0,0,0,0,0
0.560293436050415,-90,0,0,0,0,0,0,0,0
0.5750031471252441,-90,0,0,0,0,0,0,0,0
0.5955426692962646,-90,0,0,0,0,0,0,0,0
0.6055147647857666,-90,0,0,0,0,0,0,0,0
0.624779462814331,-90,0,0,0,0,0,0,0,0
0.6430149078369141,-90,0,0,0,0,0,0,0,0
0.6602604389190674,-90,0,0,0,0,0,0,0,0
0.677182674407959,-90,0,0,0,0,0,0,0,0
0.6936240196228027,-90,0,0,0,0,0,0,0,0
0.7098648548126221,-90,0,0,0,0,0,0,0,0
0.7257685661315918,-33,0,0,0,0,0,0,0,0
0.7413597106933594,-33,0,0,0,0,0,0,0,0
0.7566745281219482,-25,0,0,0,0,0,0,0,0
0.7714741230010986,-25,0,0,0,0,0,0,0,0
0.7861714363098145,-25,0,0,0,0,0,0,0,0
0.8009910583496094,-25,0,0,0,0,0,0,0,0
0.8154666423797607,-25,0,0,0,0,0,0,0,0
0.8296146392822266,-25,0,0,0,0,0,0,0,0
0.8440701961517334,-25,0,0,0,0,0,0,0,0
0.8586108684539795,-25,0,0,0,0,0,0,0,0
0.8731319904327393,-25,0,0,0,0,0,0,0,0
0.8871729373931885,-25,0,0,0,0,0,0,0,0
0.9016222953796387,-25,0,0,0,0,0,0,0,0
0.9162216186523438,-25,0,0,0,0,0,0,0,0
0.9307379722595215,-25,0,0,0,0,0,0,0,0
0.9455933570861816,-25,0,0,0,0,0,0,0,0
0.9604294300079346,-25,0,0,0,0,0,0,0,0
0.9751663208007812,-25,0,0,0,0,0,0,0,0
0.9898836612701416,-25,0,0,0,0,0,0,0,0
1.0047454833984375,-25,0,0,0,0,0,0,0,0
1.0191621780395508,-25,0,0,0,0,0,0,0,0
1.0339179039001465,-23,0,0,0,0,0,0,0,0
1.0528757572174072,-17,0,0,0,0,0,0,0,0
1.0674092769622803,3,0,0,0,0,0,0,0,0
1.0822551250457764,17,0,0,0,0,0,0,0,0
1.0968918800354004,17,0,0,0,0,0,0,0,0
1.1115450859069824,37,0,0,0,0,0,0,0,0
1.1257741451263428,49,0,0,0,0,0,0,0,0
1.1402697563171387,59,0,0,0,0,0,0,0,0
1.1547584533691406,59,0,0,0,0,0,0,0,0
1.1693158149719238,63,0,0,0,0,0,0,0,0
1.183774471282959,63,0,0,0,0,0,0,0,0
1.1983528137207031,63,0,0,0,0,0,0,0,0
1.212998628616333,63,0,0,0,0,0,0,0,0
1.2276020050048828,63,0,0,0,0,0,0,0,0
1.2424721717834473,63,0,0,0,0,0,0,0,0
1.2570085525512695,63,0,0,0,0,0,0,0,0
1.2716636657714844,63,0,0,0,0,0,0,0,0
1.2863457202911377,63,0,0,0,0,0,0,0,0
1.301048755645752,63,0,0,0,0,0,0,0,0
1.3159167766571045,63,0,0,0,0,0,0,0,0
1.330658197402954,63,0,0,0,0,0,0,0,0
1.3463656902313232,63,0,0,0,0,0,0,0,0
1.3610374927520752,63,0,0,0,0,0,0,0,0
1.3757274150848389,63,0,0,0,0,0,0,0,0
1.3904829025268555,63,0,0,0,0,0,0,0,0
1.405228614807129,63,0,0,0,0,0,0,0,0
1.4198329448699951,63,0,0,0,0,0,0,0,0
1.4345436096191406,63,0,0,0,0,0,0,0,0
1.4493029117584229,63,0,0,0,0,0,0,0,0
1.4639167785644531,63,0,0,0,0,0,0,0,0
1.4785566329956055,63,0,0,0,0,0,0,0,0
1.494163990020752,63,0,0,0,0,0,0,0,0
1.5089282989501953,63,0,0,0,0,0,0,0,0
1.5237083435058594,63,0,0,0,0,0,0,0,0
1.5384321212768555,63,0,0,0,0,0,0,0,0
1.5531730651855469,63,0,0,0,0,0,0,0,0
1.5680315494537354,63,0,0,0,0,0,0,0,0
1.5828044414520264,63,0,0,0,0,0,0,0,0
1.597533941268921,45,0,0,0,0,0,0,0,0
1.6123640537261963,37,0,0,0,0,0,0,0,0
1.6270365715026855,17,0,0,0,0,0,0,0,0
1.6421263217926025,-17,0,0,0,0,0,0,0,0
1.65635085105896,-36,0,0,0,0,0,0,0,0
1.6710402965545654,-90,0,0,0,0,0,0,0,0
1.6855313777923584,-90,0,0,0,0,0,0,0,0
1.6996018886566162,-90,0,0,0,0,0,0,0,0
1.7144811153411865,-90,0,0,0,0,0,0,0,0
1.7292499542236328,-90,0,0,0,0,0,0,0,0
1.743779182434082,-90,0,0,0,0,0,0,0,0
1.7584691047668457,-90,0,0,0,0,0,0,0,0
1.7729132175445557,-90,0,0,0,0,0,0,0,0
1.7874972820281982,-90,0,0,0,0,0,0,0,0
1.8021910190582275,-90,0,0,0,0,0,0,0,0
1.816817045211792,-90,0,0,0,0,0,0,0,0
1.831247091293335,-90,0,0,0,0,0,0,0,0
1.845911979675293,-90,0,0,0,0,0,0,0,0
1.8605165481567383,-90,0,0,0,0,0,0,0,0
1.8752379417419434,-90,0,0,0,0,0,0,0,0
1.8893489837646484,-90,0,0,0,0,0,0,0,0
1.9037046432495117,-90,0,0,0,0,0,0,0,0
1.9206137657165527,-90,0,0,0,0,0,0,0,0
1.9384872913360596,-90,0,0,0,0,0,0,0,0
1.9535775184631348,-90,0,0,0,0,0,0,0,0
1.968177318572998,-90,0,0,0,0,0,0,0,0
1.9827544689178467,-90,0,0,0,0,0,0,0,0
1.9977281093597412,-90,0,0,0,0,0,0,0,0
2.012470006942749,-90,0,0,0,0,0,0,0,0
2.027029514312744,-90,0,0,0,0,0,0,0,0
2.0414505004882812,-90,0,0,0,0,0,0,0,0
2.0559844970703125,-90,0,0,0,0,0,0,0,0
2.070721387863159,-90,0,0,0,0,0,0,0,0
2.08522629737854,-90,0,0,0,0,0,0,0,0
2.099536418914795,-90,0,0,0,0,0,0,0,0
2.114168882369995,-90,0,0,0,0,0,0,0,0
2.1287829875946045,-90,0,0,0,0,0,0,0,0
2.143611431121826,-90,0,0,0,0,0,0,0,0
2.1580090522766113,-90,0,0,0,0,0,0,0,0
2.1724700927734375,-90,0,0,0,0,0,0,0,0
2.1868069171905518,-90,0,0,0,0,0,0,0,0
2.2016444206237793,-90,0,0,0,0,0,0,0,0
2.2162365913391113,-90,0,0,0,0,0,0,0,0
2.2336883544921875,-90,0,0,0,0,0,0,0,0
2.2484288215637207,-90,0,0,0,0,0,0,0,0
2.2631189823150635,-90,0,0,0,0,0,0,0,0
2.2779486179351807,-90,0,0,0,0,0,0,0,0
2.292757034301758,-90,0,0,0,0,0,0,0,0
2.3075196743011475,-90,0,0,0,0,0,0,0,0
2.3221845626831055,-90,0,0,0,0,0,0,0,0
2.3369219303131104,-85,0,0,0,0,0,0,0,0
2.351553201675415,-29,0,0,0,0,0,0,0,0
2.3660879135131836,9,0,0,0,0,0,0,0,0
2.380542039871216,29,0,0,0,0,0,0,0,0
2.395132541656494,37,0,0,0,0,0,0,0,0
2.4099035263061523,43,0,0,0,0,0,0,0,0
2.4246864318847656,55,0,0,0,0,0,0,0,0
2.4393770694732666,55,0,0,0,0,0,0,0,0
2.454087257385254,55,0,0,0,0,0,0,0,0
2.4686708450317383,55,0,0,0,0,0,0,0,0
2.4835190773010254,57,0,0,0,0,0,0,0,0
2.498192310333252,57,0,0,0,0,0,0,0,0
2.5128085613250732,57,0,0,0,0,0,0,0,0
2.5270164012908936,57,0,0,0,0,0,0,0,0
2.543010711669922,57,0,0,0,0,0,0,0,0
2.5578296184539795,57,0,0,0,0,0,0,0,0
2.572678565979004,57,0,0,0,0,0,0,0,0
2.5873584747314453,55,0,0,0,0,0,0,0,0
2.6021275520324707,55,0,0,0,0,0,0,0,0
2.6168928146362305,55,0,0,0,0,0,0,0,0
2.6314008235931396,55,0,0,0,0,0,0,0,0
2.648719310760498,55,0,0,0,0,0,0,0,0
2.65950345993042,55,0,0,0,0,0,0,0,0
2.669736385345459,55,0,0,0,0,0,0,0,0
2.679731607437134,55,0,0,0,0,0,0,0,0
2.6984915733337402,55,0,0,0,0,0,0,0,0
2.7166128158569336,55,0,0,0,0,0,0,0,0
2.734772205352783,55,0,0,0,0,0,0,0,0
2.752204179763794,55,0,0,0,0,0,0,0,0
2.768989324569702,51,0,0,0,0,0,0,0,0
2.7851080894470215,39,0,0,0,0,0,0,0,0
2.8008573055267334,39,0,0,0,0,0,0,0,0
2.8165061473846436,37,0,0,0,0,0,0,0,0
