3.6148948669433594:	motors;	73
3.6189613342285156:	imu;	yaw,	-3.905174493789673
3.6208243370056152:	blue_led;	161
3.6251347064971924:	motors;	63
3.629518508911133:	blue_led;	98
3.6338083744049072:	motors;	38
3.639626979827881:	blue_led;	60
3.6406548023223877:	imu;	yaw,	-3.904083490371704
3.6439590454101562:	motors;	23
3.64833402633667:	blue_led;	0
3.6526567935943604:	motors;	0
3.658651828765869:	blue_led;	80
3.6633546352386475:	motors;	-31
3.671051263809204:	imu;	yaw,	-3.9029927253723145
3.6723690032958984:	blue_led;	170
3.6781139373779297:	motors;	-66
3.682875394821167:	blue_led;	229
3.6874454021453857:	motors;	-90
3.6905288696289062:	imu;	yaw,	-3.904083490371704
3.6922788619995117:	blue_led;	255
3.6970043182373047:	motors;	-100
3.705953359603882:	encoder;	counts,	6
3.728940963745117:	imu;	yaw,	-3.905174493789673
3.7384870052337646:	imu;	yaw,	-3.907356023788452
3.7493317127227783:	imu;	yaw,	-3.9095377922058105
3.7587459087371826:	imu;	yaw,	-3.9139010906219482
3.7688612937927246:	imu;	yaw,	-3.9171736240386963
3.7790112495422363:	imu;	yaw,	-3.921536922454834
3.7890970706939697:	imu;	yaw,	-3.9204461574554443
3.7993106842041016:	imu;	yaw,	-3.9193551540374756
3.8084604740142822:	imu;	yaw,	-3.9204461574554443
3.8386504650115967:	imu;	yaw,	-3.918264389038086
3.8485896587371826:	imu;	yaw,	-3.9171736240386963
3.86885404586792:	imu;	yaw,	-3.9160828590393066
3.9082515239715576:	imu;	yaw,	-3.9171736240386963
3.9177558422088623:	imu;	yaw,	-3.918264389038086
3.9289886951446533:	imu;	yaw,	-3.9193551540374756
3.9579505920410156:	imu;	yaw,	-3.9204461574554443
3.978738307952881:	imu;	yaw,	-3.921536922454834
3.9913856983184814:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.9979450702667236:	encoder;	counts,	5
4.004918813705444:	imu;	yaw,	-3.9226276874542236
4.011165380477905:	imu;	yaw,	-3.9237186908721924
4.029311180114746:	imu;	yaw,	-3.924808979034424
4.057716608047485:	imu;	yaw,	-3.9258999824523926
4.07990026473999:	imu;	yaw,	-3.9269907474517822
4.089621067047119:	imu;	yaw,	-3.928081512451172
4.099749326705933:	imu;	yaw,	-3.9291725158691406
4.118285655975342:	imu;	yaw,	-3.9302632808685303
4.129976749420166:	imu;	yaw,	-3.93135404586792
4.14994478225708:	imu;	yaw,	-3.9324450492858887
4.157320737838745:	encoder;	counts,	4
4.165018558502197:	imu;	yaw,	-3.9335358142852783
4.180230379104614:	imu;	yaw,	-3.934626579284668
4.191287517547607:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.198663711547852:	imu;	yaw,	-3.9357173442840576
4.218215465545654:	imu;	yaw,	-3.9368083477020264
4.229499816894531:	imu;	yaw,	-3.937899112701416
4.2396321296691895:	imu;	yaw,	-3.9389898777008057
