num, long, lat
0, -71.42083704471588, 42.42732027318888
1, -71.42078474164009, 42.42732819250417
2, -71.42072841525078, 42.427317303445385
3, -71.42056077718735, 42.42719059425887
4, -71.42077401280403, 42.42708962269253
5, -71.42104491591454, 42.427128229487096
6, -71.42104625701904, 42.42717673542611
7, -71.42104759812355, 42.4272212816635
8, -71.42099127173424, 42.42728265642766
9, -71.42086252570152, 42.4273123538726
