2.9960081577301025:	state;	x,	-71.42083943731194|	angle,	2.07008139435|	ang v,	0.0|	vx,	-0.377674807936|	y m,	-0.196431868351|	x m,	-0.333141830833|	y,	42.4273172780175|	vy,	0.764474710176
2.996641159057617:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
3.195563316345215:	state;	x,	-71.42083945537063|	angle,	2.0888651072|	ang v,	0.0|	vx,	-0.396639637897|	y m,	-0.197914485302|	x m,	-0.338904799894|	y,	42.42731722620449|	vy,	0.754769169925
3.195955753326416:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
3.39603853225708:	state;	x,	-71.4208394694615|	angle,	2.10356013289|	ang v,	0.0|	vx,	-0.412530985212|	y m,	-0.1990713437|	x m,	-0.342938902864|	y,	42.42731718993517|	vy,	0.746239979698
3.3965539932250977:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
3.597339630126953:	state;	x,	-71.42083947984388|	angle,	2.11581570905|	ang v,	0.0|	vx,	-0.42530201043|	y m,	-0.199923736536|	x m,	-0.345960316712|	y,	42.4273171627706|	vy,	0.73909699781
3.597738742828369:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
3.7958810329437256:	state;	x,	-71.4208395037028|	angle,	2.12655900672|	ang v,	0.0|	vx,	-0.43572461344|	y m,	-0.201882550832|	x m,	-0.347580617943|	y,	42.427317148202995|	vy,	0.733053428916
3.797983169555664:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
3.996269941329956:	state;	x,	-71.42083951236697|	angle,	2.13639092355|	ang v,	0.0|	vx,	-0.444532301685|	y m,	-0.202593878864|	x m,	-0.349495322593|	y,	42.42731713098849|	vy,	0.727783174965
3.9967756271362305:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
4.195749044418335:	state;	x,	-71.42083952535076|	angle,	2.14564729403|	ang v,	0.0|	vx,	-0.452285579149|	y m,	-0.203659846394|	x m,	-0.350904864147|	y,	42.427317118315756|	vy,	0.723014259438
4.196501970291138:	gps;	long,	-71.42091369628906|	lat,	42.42726135253906|	fix,	True
4.21293044090271:	motors;	0
4.217447519302368:	servo;	0
4.232391595840454:	blue_led;	0
