1.2951862812042236:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.3356695175170898:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.3762593269348145:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.4169483184814453:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.4573919773101807:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.4978342056274414:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.5382564067840576:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.5783843994140625:	stepper;	2
1.5826785564422607:	blue_led;	135
1.587343692779541:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.6274516582489014:	stepper;	4
1.631589651107788:	blue_led;	255
1.6359748840332031:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.6856801509857178:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.7345328330993652:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.7834033966064453:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.8321480751037598:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.880958080291748:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
