2.1616456508636475:	altitude;	altitude,	69.63184356689453
2.193315267562866:	altitude;	altitude,	69.63184356689453
2.2214746475219727:	altitude;	altitude,	69.63184356689453
2.2539403438568115:	altitude;	altitude,	69.63184356689453
2.2740280628204346:	servo;	-1
2.281498670578003:	servo;	-2
2.2867255210876465:	altitude;	altitude,	69.63184356689453
2.315002202987671:	altitude;	altitude,	69.63184356689453
2.344054937362671:	altitude;	altitude,	69.63184356689453
2.480421304702759:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
2.485121250152588:	imu;	yaw,	6.192646503448486
2.4916396141052246:	altitude;	altitude,	69.63184356689453
2.495473861694336:	imu;	yaw,	6.192646503448486
2.5070884227752686:	imu;	yaw,	6.141377925872803
2.511990785598755:	imu;	yaw,	6.141377925872803
2.5263006687164307:	imu;	yaw,	6.141377925872803
2.534820079803467:	altitude;	altitude,	69.56050109863281
2.543778896331787:	imu;	yaw,	6.141377925872803
2.562711477279663:	imu;	yaw,	6.141377925872803
2.568209648132324:	altitude;	altitude,	69.56050109863281
2.5729167461395264:	imu;	yaw,	6.141377925872803
2.5818111896514893:	imu;	yaw,	6.141377925872803
2.59328293800354:	imu;	yaw,	6.141377925872803
2.6039302349090576:	imu;	yaw,	6.141377925872803
2.6160647869110107:	altitude;	altitude,	69.56050109863281
2.623746156692505:	imu;	yaw,	6.141377925872803
2.6439647674560547:	imu;	yaw,	6.141377925872803
2.655189275741577:	altitude;	altitude,	69.56050109863281
2.6768436431884766:	altitude;	altitude,	69.56050109863281
2.6939821243286133:	servo;	-1
2.7017695903778076:	servo;	-2
2.7117695808410645:	altitude;	altitude,	69.56050109863281
2.716592311859131:	imu;	yaw,	6.141377925872803
2.7332324981689453:	imu;	yaw,	6.141377925872803
2.7435855865478516:	imu;	yaw,	6.141377925872803
2.7566514015197754:	altitude;	altitude,	69.56050109863281
2.765038251876831:	imu;	yaw,	6.141377925872803
2.7735588550567627:	servo;	-1
2.7808802127838135:	altitude;	altitude,	69.56050109863281
2.78169584274292:	servo;	-2
2.7855727672576904:	imu;	yaw,	6.141377925872803
2.7934398651123047:	imu;	yaw,	6.141377925872803
2.8057682514190674:	imu;	yaw,	6.141377925872803
2.8150298595428467:	imu;	yaw,	6.141377925872803
2.825690746307373:	altitude;	altitude,	69.56050109863281
2.830914258956909:	imu;	yaw,	6.141377925872803
2.83467435836792:	imu;	yaw,	6.141377925872803
2.845255136489868:	imu;	yaw,	6.141377925872803
2.864912271499634:	imu;	yaw,	6.141377925872803
2.873879909515381:	altitude;	altitude,	69.56050109863281
2.877575397491455:	imu;	yaw,	6.141377925872803
2.887934923171997:	imu;	yaw,	6.141377925872803
2.895880699157715:	imu;	yaw,	6.141377925872803
2.906167984008789:	imu;	yaw,	6.141377925872803
2.914398193359375:	imu;	yaw,	6.141377925872803
2.922440528869629:	altitude;	altitude,	69.56050109863281
2.926917552947998:	imu;	yaw,	6.141377925872803
2.955179214477539:	imu;	yaw,	6.141377925872803
2.96325421333313:	altitude;	altitude,	69.56050109863281
2.968128204345703:	imu;	yaw,	6.141377925872803
2.9890921115875244:	imu;	yaw,	6.141377925872803
2.996666431427002:	imu;	yaw,	6.141377925872803
3.0073604583740234:	altitude;	altitude,	69.56050109863281
3.013986587524414:	servo;	-1
3.015557050704956:	imu;	yaw,	6.141377925872803
3.0213582515716553:	servo;	-2
3.025721311569214:	imu;	yaw,	6.141377925872803
3.035585403442383:	imu;	yaw,	6.141377925872803
3.0512537956237793:	altitude;	altitude,	69.56050109863281
3.0550479888916016:	imu;	yaw,	6.141377925872803
3.0655243396759033:	imu;	yaw,	6.141377925872803
3.0756022930145264:	imu;	yaw,	6.141377925872803
3.087031841278076:	imu;	yaw,	6.141377925872803
3.0924854278564453:	altitude;	altitude,	69.56050109863281
3.0969815254211426:	imu;	yaw,	6.141377925872803
3.107691764831543:	imu;	yaw,	6.141377925872803
3.116150379180908:	imu;	yaw,	6.141377925872803
3.125706434249878:	imu;	yaw,	6.141377925872803
3.138932466506958:	altitude;	altitude,	69.46537780761719
3.1417922973632812:	servo;	-1
3.1532530784606934:	servo;	-2
3.156601667404175:	imu;	yaw,	6.137014389038086
3.168642997741699:	altitude;	altitude,	69.46537780761719
3.176950693130493:	imu;	yaw,	6.137014389038086
3.2062549591064453:	altitude;	altitude,	69.46537780761719
3.2170886993408203:	imu;	yaw,	6.137014389038086
3.2261173725128174:	imu;	yaw,	6.137014389038086
3.23893666267395:	altitude;	altitude,	69.46537780761719
3.2473199367523193:	imu;	yaw,	6.137014389038086
3.26912522315979:	altitude;	altitude,	69.46537780761719
3.299592971801758:	altitude;	altitude,	69.46537780761719
3.310340642929077:	imu;	yaw,	6.137014389038086
3.32686185836792:	altitude;	altitude,	69.46537780761719
3.332542657852173:	imu;	yaw,	6.137014389038086
3.3472676277160645:	imu;	yaw,	6.137014389038086
3.3661231994628906:	altitude;	altitude,	69.46537780761719
3.5769474506378174:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
3.5791139602661133:	imu;	yaw,	6.137014389038086
3.58910870552063:	imu;	yaw,	6.137014389038086
3.597557783126831:	imu;	yaw,	6.137014389038086
3.607846736907959:	imu;	yaw,	6.137014389038086
3.6217565536499023:	altitude;	altitude,	69.46537780761719
3.649620532989502:	imu;	yaw,	6.137014389038086
3.6578848361968994:	altitude;	altitude,	69.46537780761719
3.662881374359131:	imu;	yaw,	6.137014389038086
3.671882152557373:	imu;	yaw,	6.137014389038086
3.6802420616149902:	imu;	yaw,	6.137014389038086
3.699951410293579:	imu;	yaw,	6.137014389038086
3.7069809436798096:	altitude;	altitude,	69.46537780761719
3.7141764163970947:	imu;	yaw,	6.137014389038086
3.7305450439453125:	imu;	yaw,	6.137014389038086
3.7354352474212646:	altitude;	altitude,	69.46537780761719
3.75125789642334:	imu;	yaw,	6.137014389038086
3.7674143314361572:	altitude;	altitude,	69.46537780761719
3.7796804904937744:	imu;	yaw,	6.137014389038086
3.8023462295532227:	altitude;	altitude,	69.46537780761719
3.8156073093414307:	servo;	-1
3.8204662799835205:	imu;	yaw,	6.137014389038086
3.8222672939300537:	servo;	-2
3.8337395191192627:	altitude;	altitude,	69.46537780761719
3.862305164337158:	imu;	yaw,	6.137014389038086
3.8683362007141113:	altitude;	altitude,	69.46537780761719
3.8955585956573486:	altitude;	altitude,	69.46537780761719
3.915607452392578:	servo;	-1
3.9267897605895996:	altitude;	altitude,	69.46537780761719
3.9414799213409424:	servo;	-2
3.965311288833618:	altitude;	altitude,	69.46537780761719
3.9937915802001953:	altitude;	altitude,	69.46537780761719
4.027504205703735:	altitude;	altitude,	69.46537780761719
4.0554609298706055:	altitude;	altitude,	69.46537780761719
4.083378076553345:	altitude;	altitude,	69.46537780761719
4.114149808883667:	altitude;	altitude,	69.46537780761719
4.144513130187988:	altitude;	altitude,	69.46537780761719
4.1737048625946045:	altitude;	altitude,	69.46537780761719
4.2052764892578125:	altitude;	altitude,	69.46537780761719
4.233294248580933:	altitude;	altitude,	69.46537780761719
4.266430377960205:	altitude;	altitude,	69.46537780761719
4.290103197097778:	servo;	-1
4.295313358306885:	altitude;	altitude,	69.46537780761719
4.296984910964966:	servo;	-2
4.330592155456543:	altitude;	altitude,	69.46537780761719
4.365167856216431:	altitude;	altitude,	69.46537780761719
4.485815525054932:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
4.51605224609375:	altitude;	altitude,	69.57635498046875
4.534811496734619:	imu;	yaw,	6.141377925872803
4.542642593383789:	altitude;	altitude,	69.57635498046875
4.566995859146118:	imu;	yaw,	6.141377925872803
4.581313848495483:	altitude;	altitude,	69.57635498046875
4.585458517074585:	imu;	yaw,	6.141377925872803
4.5940611362457275:	servo;	-1
4.595053672790527:	imu;	yaw,	6.141377925872803
4.60232138633728:	servo;	-2
4.605271577835083:	imu;	yaw,	6.141377925872803
4.61608099937439:	imu;	yaw,	6.141377925872803
4.623385190963745:	altitude;	altitude,	69.57635498046875
4.628750801086426:	imu;	yaw,	6.141377925872803
4.6456499099731445:	imu;	yaw,	6.141377925872803
4.660712957382202:	altitude;	altitude,	69.57635498046875
4.682128667831421:	altitude;	altitude,	69.57635498046875
4.706129312515259:	imu;	yaw,	6.141377925872803
4.719233274459839:	altitude;	altitude,	69.57635498046875
4.725314617156982:	imu;	yaw,	6.141377925872803
4.737525224685669:	imu;	yaw,	6.141377925872803
4.743120431900024:	servo;	-1
4.750370740890503:	servo;	-2
4.754233360290527:	altitude;	altitude,	69.57635498046875
4.759692907333374:	imu;	yaw,	6.141377925872803
4.767776727676392:	imu;	yaw,	6.141377925872803
4.787331581115723:	altitude;	altitude,	69.57635498046875
4.792510509490967:	imu;	yaw,	6.141377925872803
4.797328472137451:	imu;	yaw,	6.141377925872803
4.806318044662476:	imu;	yaw,	6.141377925872803
4.816704988479614:	imu;	yaw,	6.141377925872803
4.826460599899292:	imu;	yaw,	6.141377925872803
4.836740016937256:	altitude;	altitude,	69.57635498046875
4.842365741729736:	imu;	yaw,	6.141377925872803
4.843007802963257:	servo;	-1
4.847347021102905:	imu;	yaw,	6.141377925872803
4.853898286819458:	servo;	-2
4.858094930648804:	imu;	yaw,	6.141377925872803
4.8666229248046875:	imu;	yaw,	6.141377925872803
4.882899761199951:	altitude;	altitude,	69.57635498046875
4.88834023475647:	imu;	yaw,	6.141377925872803
4.9076337814331055:	imu;	yaw,	6.141377925872803
4.9221274852752686:	altitude;	altitude,	69.57635498046875
4.938075304031372:	imu;	yaw,	6.141377925872803
4.953201532363892:	altitude;	altitude,	69.57635498046875
4.977458477020264:	altitude;	altitude,	69.57635498046875
4.99781608581543:	imu;	yaw,	6.141377925872803
5.008769512176514:	altitude;	altitude,	69.57635498046875
5.027661561965942:	imu;	yaw,	6.141377925872803
5.036870241165161:	altitude;	altitude,	69.57635498046875
5.048070430755615:	imu;	yaw,	6.141377925872803
5.057668924331665:	imu;	yaw,	6.141377925872803
5.068617820739746:	imu;	yaw,	6.141377925872803
5.082593679428101:	imu;	yaw,	6.141377925872803
5.08897590637207:	altitude;	altitude,	69.57635498046875
5.094099521636963:	imu;	yaw,	6.141377925872803
5.099971532821655:	imu;	yaw,	6.141377925872803
5.108929872512817:	imu;	yaw,	6.141377925872803
5.114155054092407:	servo;	-1
5.117193698883057:	imu;	yaw,	6.141377925872803
5.12252950668335:	servo;	-2
5.128263711929321:	imu;	yaw,	6.141377925872803
5.1381447315216064:	imu;	yaw,	6.141377925872803
5.148488998413086:	altitude;	altitude,	69.57635498046875
5.158414363861084:	imu;	yaw,	6.141377925872803
5.158848762512207:	imu;	yaw,	6.141377925872803
5.179214239120483:	imu;	yaw,	6.127196788787842
5.179624557495117:	imu;	yaw,	6.127196788787842
5.188730955123901:	imu;	yaw,	6.127196788787842
5.193700551986694:	altitude;	altitude,	69.65826416015625
5.199174880981445:	imu;	yaw,	6.127196788787842
5.210338592529297:	imu;	yaw,	6.127196788787842
5.2213640213012695:	imu;	yaw,	6.127196788787842
5.230141878128052:	imu;	yaw,	6.127196788787842
5.239274978637695:	altitude;	altitude,	69.65826416015625
5.243852376937866:	imu;	yaw,	6.127196788787842
5.25032901763916:	imu;	yaw,	6.127196788787842
5.260218381881714:	imu;	yaw,	6.127196788787842
5.268778324127197:	imu;	yaw,	6.127196788787842
5.280355453491211:	imu;	yaw,	6.127196788787842
5.287553071975708:	altitude;	altitude,	69.65826416015625
5.299401760101318:	imu;	yaw,	6.127196788787842
5.311032295227051:	imu;	yaw,	6.127196788787842
5.328800916671753:	altitude;	altitude,	69.65826416015625
5.338301181793213:	imu;	yaw,	6.127196788787842
5.362587213516235:	altitude;	altitude,	69.65826416015625
5.477468729019165:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
5.4826836585998535:	imu;	yaw,	6.127196788787842
5.4900524616241455:	imu;	yaw,	6.127196788787842
5.5211687088012695:	imu;	yaw,	6.127196788787842
5.5264551639556885:	altitude;	altitude,	69.65826416015625
5.553443431854248:	altitude;	altitude,	69.65826416015625
5.582653045654297:	altitude;	altitude,	69.65826416015625
5.6083619594573975:	altitude;	altitude,	69.65826416015625
5.633941173553467:	altitude;	altitude,	69.65826416015625
5.66402530670166:	altitude;	altitude,	69.65826416015625
5.687582731246948:	altitude;	altitude,	69.65826416015625
5.716656684875488:	altitude;	altitude,	69.65826416015625
5.744097948074341:	altitude;	altitude,	69.65826416015625
5.775310277938843:	altitude;	altitude,	69.65826416015625
5.804818153381348:	altitude;	altitude,	69.65826416015625
5.835550546646118:	altitude;	altitude,	69.65826416015625
5.867926597595215:	altitude;	altitude,	69.65826416015625
5.8936240673065186:	altitude;	altitude,	69.65826416015625
5.926572799682617:	altitude;	altitude,	69.65826416015625
5.942370414733887:	servo;	-1
5.949631214141846:	servo;	-2
5.967172145843506:	altitude;	altitude,	69.65826416015625
5.988288879394531:	altitude;	altitude,	69.65826416015625
6.0172200202941895:	altitude;	altitude,	69.65826416015625
6.044842720031738:	altitude;	altitude,	69.65826416015625
6.077343940734863:	altitude;	altitude,	69.65826416015625
6.1075005531311035:	altitude;	altitude,	69.65826416015625
6.13671612739563:	altitude;	altitude,	69.65826416015625
6.175783634185791:	altitude;	altitude,	69.65826416015625
6.182661056518555:	servo;	-1
6.190304279327393:	servo;	-2
6.207964181900024:	altitude;	altitude,	69.65826416015625
6.237370491027832:	altitude;	altitude,	69.65826416015625
6.2656495571136475:	servo;	-1
6.268777132034302:	altitude;	altitude,	69.65826416015625
6.2788097858428955:	servo;	-2
6.299915552139282:	altitude;	altitude,	69.65826416015625
6.329214334487915:	altitude;	altitude,	69.65826416015625
6.3589348793029785:	altitude;	altitude,	69.65826416015625
6.402263641357422:	servo;	-1
6.410853385925293:	servo;	-2
6.484427452087402:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
6.509551525115967:	altitude;	altitude,	69.65826416015625
6.539690732955933:	altitude;	altitude,	69.65826416015625
6.5730931758880615:	altitude;	altitude,	69.65826416015625
6.60185980796814:	altitude;	altitude,	69.6397705078125
6.632210969924927:	altitude;	altitude,	69.6397705078125
6.6627466678619385:	altitude;	altitude,	69.6397705078125
6.690713405609131:	altitude;	altitude,	69.6397705078125
6.722525596618652:	altitude;	altitude,	69.6397705078125
6.752014875411987:	altitude;	altitude,	69.6397705078125
6.782568454742432:	altitude;	altitude,	69.6397705078125
6.789940595626831:	servo;	-1
6.796565532684326:	servo;	-2
6.820463418960571:	altitude;	altitude,	69.6397705078125
6.849428415298462:	altitude;	altitude,	69.6397705078125
6.882365465164185:	altitude;	altitude,	69.6397705078125
6.89063024520874:	servo;	-1
6.897130966186523:	servo;	-2
6.919644355773926:	altitude;	altitude,	69.6397705078125
6.95412015914917:	altitude;	altitude,	69.6397705078125
6.984796524047852:	altitude;	altitude,	69.6397705078125
6.990393877029419:	servo;	-1
7.00234317779541:	servo;	-2
7.022413492202759:	altitude;	altitude,	69.6397705078125
7.052123069763184:	altitude;	altitude,	69.6397705078125
7.08597207069397:	altitude;	altitude,	69.6397705078125
7.114368677139282:	altitude;	altitude,	69.6397705078125
7.143704414367676:	altitude;	altitude,	69.6397705078125
7.175010681152344:	altitude;	altitude,	69.6397705078125
7.20272970199585:	altitude;	altitude,	69.6397705078125
7.2358598709106445:	altitude;	altitude,	69.6397705078125
7.265225648880005:	altitude;	altitude,	69.6397705078125
7.296091318130493:	altitude;	altitude,	69.6397705078125
7.326120376586914:	altitude;	altitude,	69.6397705078125
7.354665040969849:	altitude;	altitude,	69.6397705078125
7.481160879135132:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
7.499016761779785:	altitude;	altitude,	69.6397705078125
7.52817964553833:	altitude;	altitude,	69.6397705078125
7.5560362339019775:	altitude;	altitude,	69.6397705078125
7.562615871429443:	servo;	-1
7.57024359703064:	servo;	-2
7.589745044708252:	altitude;	altitude,	69.6397705078125
7.617129325866699:	altitude;	altitude,	69.6397705078125
7.645567417144775:	altitude;	altitude,	69.6397705078125
7.6558473110198975:	servo;	-1
7.662851810455322:	servo;	-2
7.688754320144653:	altitude;	altitude,	69.6397705078125
7.719097375869751:	altitude;	altitude,	69.6397705078125
7.746702432632446:	altitude;	altitude,	69.6397705078125
7.777846813201904:	altitude;	altitude,	69.6397705078125
7.806498050689697:	altitude;	altitude,	69.6397705078125
7.837909460067749:	altitude;	altitude,	69.6397705078125
7.869079351425171:	altitude;	altitude,	69.6397705078125
7.897475719451904:	altitude;	altitude,	69.6397705078125
7.928513288497925:	altitude;	altitude,	69.6397705078125
7.950290679931641:	servo;	-1
7.956175327301025:	altitude;	altitude,	69.6397705078125
7.956963062286377:	servo;	-2
7.989573240280151:	altitude;	altitude,	69.6397705078125
8.023566246032715:	altitude;	altitude,	69.6397705078125
8.052954912185669:	altitude;	altitude,	69.6397705078125
8.06624698638916:	servo;	-1
8.08013391494751:	servo;	-2
8.087281703948975:	altitude;	altitude,	69.6397705078125
8.114626407623291:	servo;	-1
8.121352434158325:	altitude;	altitude,	69.6397705078125
8.122086524963379:	servo;	-2
8.156192541122437:	altitude;	altitude,	69.6397705078125
8.188530206680298:	altitude;	altitude,	69.6397705078125
8.220837593078613:	altitude;	altitude,	69.61334991455078
