0.14684224128723145:	gps;	lat,	42.42747497558594|	long,	71.42101287841797|	altitude,	0.0|	found,	12
0.14722585678100586:	imu;	yaw,	2.9179725646972656
0.14758062362670898:	encoder;	counts,	0
0.14778876304626465:	altitude;	altitude,	69.56842803955078
0.148087739944458:	altitude;	altitude,	69.56842803955078
0.1484994888305664:	altitude;	altitude,	69.56842803955078
0.14868712425231934:	altitude;	altitude,	69.56842803955078
0.14887475967407227:	altitude;	altitude,	69.56842803955078
0.26064062118530273:	gps;	lat,	42.42747497558594|	long,	71.42101287841797|	altitude,	0.0|	found,	12
0.28584861755371094:	altitude;	altitude,	69.67940521240234
0.31574201583862305:	altitude;	altitude,	69.69261932373047
0.34685850143432617:	altitude;	altitude,	69.69261932373047
0.37754225730895996:	altitude;	altitude,	69.71640014648438
0.40668582916259766:	altitude;	altitude,	69.7903823852539
0.43782782554626465:	altitude;	altitude,	69.69525909423828
0.4680960178375244:	altitude;	altitude,	69.73489379882812
0.49660754203796387:	altitude;	altitude,	69.62391662597656
0.5306758880615234:	altitude;	altitude,	69.54729461669922
0.557852029800415:	altitude;	altitude,	69.54729461669922
0.5891885757446289:	altitude;	altitude,	69.73489379882812
0.618708610534668:	altitude;	altitude,	69.48387908935547
0.6470198631286621:	altitude;	altitude,	69.5948486328125
0.6783332824707031:	altitude;	altitude,	69.56050109863281
0.7073991298675537:	altitude;	altitude,	69.63184356689453
0.7399694919586182:	altitude;	altitude,	69.46273803710938
0.7705214023590088:	altitude;	altitude,	69.58956909179688
0.7991809844970703:	altitude;	altitude,	69.65033721923828
0.8304510116577148:	altitude;	altitude,	69.67940521240234
0.8617308139801025:	altitude;	altitude,	69.63713073730469
0.8903717994689941:	altitude;	altitude,	69.50501251220703
0.921234130859375:	altitude;	altitude,	69.42046356201172
0.9494750499725342:	altitude;	altitude,	69.52615356445312
0.980902910232544:	altitude;	altitude,	69.52615356445312
1.008739948272705:	altitude;	altitude,	69.5816421508789
1.041607141494751:	altitude;	altitude,	69.70582580566406
1.0715265274047852:	altitude;	altitude,	69.45745086669922
1.100816011428833:	altitude;	altitude,	69.73489379882812
1.1316330432891846:	altitude;	altitude,	69.88814544677734
1.2595720291137695:	gps;	lat,	42.42747497558594|	long,	71.42101287841797|	altitude,	0.0|	found,	12
1.279304027557373:	altitude;	altitude,	69.69261932373047
1.305722713470459:	altitude;	altitude,	69.5816421508789
1.3342792987823486:	altitude;	altitude,	69.5816421508789
1.3628506660461426:	altitude;	altitude,	69.44952392578125
1.3924453258514404:	altitude;	altitude,	69.6186294555664
1.423738956451416:	altitude;	altitude,	69.73489379882812
1.4519445896148682:	altitude;	altitude,	69.5816421508789
1.4843440055847168:	altitude;	altitude,	69.7216796875
1.5118355751037598:	altitude;	altitude,	69.7216796875
1.5443105697631836:	altitude;	altitude,	69.61070251464844
1.574514627456665:	altitude;	altitude,	69.4997329711914
1.6085281372070312:	altitude;	altitude,	69.70582580566406
1.636155366897583:	altitude;	altitude,	69.6186294555664
1.6634905338287354:	altitude;	altitude,	69.61070251464844
1.6951892375946045:	altitude;	altitude,	69.69261932373047
1.7253360748291016:	altitude;	altitude,	69.5340805053711
1.7527117729187012:	altitude;	altitude,	69.5340805053711
1.78517484664917:	altitude;	altitude,	69.42839050292969
1.8129775524139404:	altitude;	altitude,	69.6609115600586
1.8462011814117432:	altitude;	altitude,	69.52615356445312
1.875781536102295:	altitude;	altitude,	69.62391662597656
1.9048700332641602:	altitude;	altitude,	69.43631744384766
1.936042308807373:	altitude;	altitude,	69.4759521484375
1.9680256843566895:	altitude;	altitude,	69.53936767578125
1.996161937713623:	altitude;	altitude,	69.48387908935547
2.02666974067688:	altitude;	altitude,	69.64505767822266
2.0556654930114746:	altitude;	altitude,	69.73489379882812
2.086764335632324:	altitude;	altitude,	69.56050109863281
2.1148157119750977:	altitude;	altitude,	69.62391662597656
2.1484925746917725:	altitude;	altitude,	69.62391662597656
2.266575574874878:	gps;	lat,	42.42747497558594|	long,	71.42101287841797|	altitude,	0.0|	found,	12
2.2988407611846924:	altitude;	altitude,	69.55522155761719
2.3277947902679443:	altitude;	altitude,	69.930419921875
2.355349063873291:	altitude;	altitude,	69.930419921875
2.3903744220733643:	altitude;	altitude,	69.69261932373047
2.3966996669769287:	imu;	yaw,	2.916881561279297
2.416584014892578:	altitude;	altitude,	69.62391662597656
2.4258196353912354:	imu;	yaw,	2.9157907962799072
2.4359724521636963:	imu;	yaw,	2.913609027862549
2.4464614391326904:	imu;	yaw,	2.912518262863159
2.458786964416504:	imu;	yaw,	2.91033673286438
2.463087558746338:	altitude;	altitude,	69.52086639404297
2.4677574634552:	imu;	yaw,	2.909245729446411
2.4778177738189697:	imu;	yaw,	2.9081549644470215
2.487544298171997:	imu;	yaw,	2.905973196029663
2.4968345165252686:	imu;	yaw,	2.9048824310302734
2.507572650909424:	imu;	yaw,	2.902700901031494
2.513500928878784:	altitude;	altitude,	69.7216796875
2.518803358078003:	imu;	yaw,	2.9005191326141357
2.5277516841888428:	imu;	yaw,	2.8983373641967773
2.5375771522521973:	imu;	yaw,	2.8950650691986084
2.54813814163208:	imu;	yaw,	2.89288330078125
2.5574750900268555:	imu;	yaw,	2.8907015323638916
2.565054416656494:	altitude;	altitude,	69.6397705078125
2.5692412853240967:	imu;	yaw,	2.8874292373657227
2.577831983566284:	imu;	yaw,	2.8852474689483643
2.587818145751953:	imu;	yaw,	2.883065700531006
2.5986745357513428:	imu;	yaw,	2.879793405532837
2.60896897315979:	imu;	yaw,	2.8776116371154785
