3.7078614234924316:	state;	angle,	0.862076328817|	x,	-71.42084948546862|	vx,	-0.0540482685505|	ang v,	-0.0169593713355|	vy,	-0.0540482685505|	y,	42.42731487381637
3.740304946899414:	imu;	yaw,	0.010908308438956738
3.7518932819366455:	imu;	yaw,	0.011999139562249184
3.7756664752960205:	state;	angle,	0.900436540972|	x,	-71.42085022729954|	vx,	-0.0371897890553|	ang v,	-0.026408666004|	vy,	-0.0371897890553|	y,	42.42731624390523
3.86069655418396:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
3.8840017318725586:	state;	angle,	0.937262241729|	x,	-71.42085104671801|	vx,	-0.0258241063051|	ang v,	-0.0277562833708|	vy,	-0.0258241063051|	y,	42.42731775841836
4.042870998382568:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
4.109343528747559:	state;	angle,	0.972521696541|	x,	-71.42085188983536|	vx,	-0.0182719000162|	ang v,	-0.0279685747328|	vy,	-0.0182719000162|	y,	42.4273193167335
4.239781856536865:	gps;	long,	-71.4209213256836|	lat,	42.4275016784668
4.272765636444092:	imu;	yaw,	0.010908308438956738
4.3156726360321045:	state;	angle,	1.02245277151|	x,	-71.4208531221787|	vx,	-0.0110386429579|	ang v,	0.00046555292649|	vy,	-0.0110386429579|	y,	42.42732159331336
4.322693586349487:	imu;	yaw,	0.011999139562249184
4.361087083816528:	imu;	yaw,	0.010908308438956738
4.371929407119751:	imu;	yaw,	0.011999139562249184
4.405761480331421:	state;	angle,	1.05378005125|	x,	-71.42085394301233|	vx,	-0.00789738874552|	ang v,	-0.00933425927094|	vy,	-0.00789738874552|	y,	42.42732311014884
4.448930978775024:	imu;	yaw,	0.010908308438956738
4.449570178985596:	imu;	yaw,	0.009817477315664291
4.460621118545532:	imu;	yaw,	0.010908308438956738
4.496299505233765:	state;	angle,	1.08356506892|	x,	-71.42085471194636|	vx,	-0.00566929929203|	ang v,	0.00911175688114|	vy,	-0.00566929929203|	y,	42.427324530894104
4.654458284378052:	gps;	long,	-71.42092895507812|	lat,	42.42749786376953
4.702703237533569:	state;	angle,	1.23755811551|	x,	-71.42085574274977|	vx,	-0.00411960295265|	ang v,	0.0117058334166|	vy,	-0.00411960295265|	y,	42.427326215542784
4.840956211090088:	gps;	long,	-71.42092895507812|	lat,	42.42749786376953
4.87186861038208:	state;	angle,	1.38355693679|	x,	-71.42085679171564|	vx,	-0.00301625559541|	ang v,	0.0121539574606|	vy,	-0.00301625559541|	y,	42.42732792987438
5.0474982261657715:	gps;	long,	-71.42092895507812|	lat,	42.42749786376953
5.115324258804321:	state;	angle,	1.52181436112|	x,	-71.42085785745091|	vx,	-0.00223402315714|	ang v,	0.0122384348265|	vy,	-0.00223402315714|	y,	42.42732967161221
5.240870475769043:	gps;	long,	-71.42092895507812|	lat,	42.42749786376953
5.289628982543945:	state;	angle,	1.65260546896|	x,	-71.4208589385793|	vx,	-0.00166495962818|	ang v,	0.0122568223095|	vy,	-0.00166495962818|	y,	42.427331438507004
5.390460252761841:	servo;	0
5.409388303756714:	motors;	-100
5.488916397094727:	imu;	yaw,	0.009817477315664291
5.491731882095337:	imu;	yaw,	0.008726646192371845
5.500835418701172:	imu;	yaw,	0.007635816000401974
5.503315448760986:	servo;	1
