2.591482400894165:	motors;	-100
2.592849016189575:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
2.633167266845703:	imu;	yaw,	-6.1075615882873535
2.641016721725464:	state;	ang v,	-0.0698916721538|	vy,	-0.796740480247|	y,	42.42732233168918|	x,	-71.42084145486369|	vx,	-0.796740480247|	angle,	0.981171982399
2.6444225311279297:	imu;	yaw,	-6.108652591705322
2.7040255069732666:	state;	ang v,	-0.0550125091409|	vy,	-1.20218279082|	y,	42.42732397003737|	x,	-71.42084234830604|	vx,	-1.20218279082|	angle,	0.955750008566
2.7139089107513428:	motors;	0
2.7499005794525146:	imu;	yaw,	-6.109743118286133
2.757183790206909:	servo;	-2
2.771461009979248:	state;	ang v,	-0.021590900603|	vy,	-0.776236062915|	y,	42.42732581458364|	x,	-71.42084287321401|	vx,	-0.776236062915|	angle,	0.936747667434
2.8041179180145264:	servo;	0
2.8085501194000244:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
2.837386131286621:	imu;	yaw,	-6.108652591705322
2.8480262756347656:	imu;	yaw,	-6.109743118286133
2.848850965499878:	state;	ang v,	0.0129726742965|	vy,	-0.405851755689|	y,	42.42732898217645|	x,	-71.42084366794033|	vx,	-0.405851755689|	angle,	0.909521837832
2.872706890106201:	servo;	3
2.8799736499786377:	imu;	yaw,	-6.108652591705322
2.8895022869110107:	servo;	13
2.8946175575256348:	servo;	24
2.9066805839538574:	state;	ang v,	0.00189153505947|	vy,	-0.264659786629|	y,	42.42733120421612|	x,	-71.42084419691551|	vx,	-0.264659786629|	angle,	0.892265228819
2.9885520935058594:	imu;	yaw,	-6.109743118286133
2.994532346725464:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
3.0009243488311768:	imu;	yaw,	-6.11083459854126
3.0231919288635254:	state;	ang v,	-0.0185889386672|	vy,	-0.142096531881|	y,	42.42733468693432|	x,	-71.42084502426474|	vx,	-0.142096531881|	angle,	0.86775846995
3.0267422199249268:	imu;	yaw,	-6.11192512512207
3.056067943572998:	imu;	yaw,	-6.113016128540039
3.056687116622925:	imu;	yaw,	-6.11410665512085
3.063415050506592:	imu;	yaw,	-6.115197658538818
3.085716724395752:	imu;	yaw,	-6.116288185119629
3.0883381366729736:	state;	ang v,	-0.0606340888872|	vy,	-0.094217740279|	y,	42.427337069817916|	x,	-71.42084558950077|	vx,	-0.094217740279|	angle,	0.85234455978
3.099505662918091:	imu;	yaw,	-6.115197658538818
3.118183135986328:	imu;	yaw,	-6.11410665512085
3.132424831390381:	imu;	yaw,	-6.113016128540039
3.144136905670166:	state;	ang v,	0.0213165760981|	vy,	-0.0628126781681|	y,	42.427339365447395|	x,	-71.42084613475032|	vx,	-0.0628126781681|	angle,	0.837664467211
3.179302453994751:	imu;	yaw,	-6.11410665512085
3.185204029083252:	imu;	yaw,	-6.115197658538818
3.1956899166107178:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
3.203278064727783:	imu;	yaw,	-6.116288185119629
3.213449239730835:	imu;	yaw,	-6.117379188537598
3.231088161468506:	state;	ang v,	-0.0422897986433|	vy,	-0.034499843268|	y,	42.4273431354345|	x,	-71.42084702828099|	vx,	-0.034499843268|	angle,	0.816994337292
3.2608251571655273:	imu;	yaw,	-6.118469715118408
3.286911725997925:	imu;	yaw,	-6.119561195373535
3.29036808013916:	state;	ang v,	-0.0321740622971|	vy,	-0.0232595612161|	y,	42.42734569545216|	x,	-71.4208476346058|	vx,	-0.0232595612161|	angle,	0.804090249202
3.2926876544952393:	imu;	yaw,	-6.120651721954346
3.31296706199646:	imu;	yaw,	-6.1217427253723145
3.332514524459839:	imu;	yaw,	-6.122833251953125
3.3600199222564697:	imu;	yaw,	-6.123924255371094
3.3846001625061035:	imu;	yaw,	-6.125014781951904
3.390763521194458:	state;	ang v,	-0.0517631398029|	vy,	-0.0158336978879|	y,	42.427348058274895|	x,	-71.420848194525|	vx,	-0.0158336978879|	angle,	0.791863547185
3.393040895462036:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
3.420379638671875:	imu;	yaw,	-6.126106262207031
3.42458438873291:	imu;	yaw,	-6.127196788787842
3.4565160274505615:	imu;	yaw,	-6.126106262207031
3.4591097831726074:	state;	ang v,	-0.0506188617885|	vy,	-0.00893596851384|	y,	42.42735203913387|	x,	-71.4208491371748|	vx,	-0.00893596851384|	angle,	0.774742889929
3.5127742290496826:	imu;	yaw,	-6.125014781951904
3.561843156814575:	state;	ang v,	0.00909245379803|	vy,	-0.00615920072883|	y,	42.42735463915376|	x,	-71.42084975275927|	vx,	-0.00615920072883|	angle,	0.764106222602
3.5873725414276123:	imu;	yaw,	-6.123924255371094
3.5956084728240967:	imu;	yaw,	-6.122833251953125
3.623932123184204:	state;	ang v,	0.032745888999|	vy,	-0.00425711231481|	y,	42.42735712468933|	x,	-71.42085034128993|	vx,	-0.00425711231481|	angle,	0.754061293087
3.671910524368286:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
3.678657293319702:	imu;	yaw,	-6.123924255371094
3.699601650238037:	imu;	yaw,	-6.122833251953125
3.7276225090026855:	imu;	yaw,	-6.123924255371094
3.7297756671905518:	state;	ang v,	0.00183462843268|	vy,	-0.00247161869073|	y,	42.42736125715983|	x,	-71.42085131957518|	vx,	-0.00247161869073|	angle,	0.740045905313
3.7438361644744873:	imu;	yaw,	-6.122833251953125
3.7955057621002197:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
3.820915699005127:	state;	ang v,	0.000102665766208|	vy,	-0.00144555112221|	y,	42.42736567008269|	x,	-71.42085236414472|	vx,	-0.00144555112221|	angle,	0.727214554372
3.8941593170166016:	imu;	yaw,	-6.123924255371094
3.915860652923584:	state;	ang v,	-0.00938623637142|	vy,	-0.00101717195499|	y,	42.42736845121365|	x,	-71.42085302246967|	vx,	-0.00101717195499|	angle,	0.719275289129
3.954683780670166:	imu;	yaw,	-6.122833251953125
3.9812867641448975:	state;	ang v,	0.0128467733108|	vy,	-0.000718011832375|	y,	42.42737107751521|	x,	-71.42085364415536|	vx,	-0.000718011832375|	angle,	0.711798735062
3.982832908630371:	imu;	yaw,	-6.123924255371094
3.9955766201019287:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
4.054014682769775:	state;	ang v,	-0.0168320368204|	vy,	-0.000427502432359|	y,	42.427375437588104|	x,	-71.42085467621446|	vx,	-0.000427502432359|	angle,	0.701398381058
4.105496406555176:	imu;	yaw,	-6.125014781951904
4.118023157119751:	state;	ang v,	-0.0145051418642|	vy,	-0.000303641079543|	y,	42.42737836110188|	x,	-71.42085536822337|	vx,	-0.000303641079543|	angle,	0.694973925601
4.207385301589966:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
4.238733530044556:	state;	ang v,	-0.0141738287996|	vy,	-0.00021740212929|	y,	42.4273814935915|	x,	-71.42085610969139|	vx,	-0.00021740212929|	angle,	0.688930732178
4.275838375091553:	imu;	yaw,	-6.123924255371094
4.29283332824707:	imu;	yaw,	-6.125014781951904
4.308604955673218:	state;	ang v,	-0.00202326412508|	vy,	-0.000156098689054|	y,	42.42738441232491|	x,	-71.42085680057056|	vx,	-0.000156098689054|	angle,	0.683247640219
4.414797067642212:	imu;	yaw,	-6.126106262207031
4.424391984939575:	imu;	yaw,	-6.125014781951904
4.479415655136108:	imu;	yaw,	-6.126106262207031
4.506304979324341:	state;	ang v,	-0.00509355673903|	vy,	-0.000113477196737|	y,	42.42738682585826|	x,	-71.42085737187105|	vx,	-0.000113477196737|	angle,	0.677904398011
4.5355682373046875:	imu;	yaw,	-6.125014781951904
4.537538528442383:	motors;	-100
4.568392276763916:	state;	ang v,	-1.24163611923|	vy,	-0.546002342925|	y,	42.427388933856385|	x,	-71.42085813633653|	vx,	-0.546002342925|	angle,	0.529410623884
4.616617441177368:	encoder;	counts,	-1
4.6285130977630615:	state;	ang v,	-1.4827622506|	vy,	-0.0116205064575|	y,	42.42739086769784|	x,	-71.42085894545966|	vx,	-0.016364320364|	angle,	0.398954844524
4.635601758956909:	imu;	yaw,	-6.123924255371094
4.667601823806763:	imu;	yaw,	-6.122833251953125
4.6765782833099365:	imu;	yaw,	-6.1217427253723145
4.684960126876831:	imu;	yaw,	-6.119561195373535
4.692303895950317:	state;	ang v,	-1.42637443451|	vy,	-0.258380544543|	y,	42.427392614661706|	x,	-71.42085981923871|	vx,	-0.263124420343|	angle,	0.26757045723
4.696257829666138:	imu;	yaw,	-6.117379188537598
4.722193002700806:	imu;	yaw,	-6.116288185119629
4.7228920459747314:	imu;	yaw,	-6.115197658538818
4.72719931602478:	imu;	yaw,	-6.11410665512085
4.738251447677612:	imu;	yaw,	-6.11192512512207
4.7457873821258545:	imu;	yaw,	-6.11083459854126
4.756492853164673:	state;	ang v,	-1.34487057803|	vy,	-0.468518269024|	y,	42.42739420245199|	x,	-71.42086073431668|	vx,	-0.473262151816|	angle,	0.144560300241
4.759698152542114:	imu;	yaw,	-6.108652591705322
4.784319162368774:	imu;	yaw,	-6.1075615882873535
4.788047552108765:	imu;	yaw,	-6.106471061706543
4.788630485534668:	imu;	yaw,	-6.105380058288574
4.798595428466797:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
4.809403657913208:	imu;	yaw,	-6.102107524871826
4.818226337432861:	imu;	yaw,	-6.099925994873047
4.831463813781738:	state;	ang v,	-1.33898961889|	vy,	-0.7024136062|	y,	42.427398046165344|	x,	-71.42086224314788|	vx,	-0.707157490538|	angle,	0.0980048409974
4.833345651626587:	imu;	yaw,	-6.097744464874268
4.834097862243652:	imu;	yaw,	-6.096653461456299
4.843058824539185:	imu;	yaw,	-6.094471454620361
4.865652561187744:	imu;	yaw,	-6.093380928039551
4.870444059371948:	imu;	yaw,	-6.092289924621582
4.8751349449157715:	encoder;	counts,	-2
4.882142543792725:	imu;	yaw,	-6.090108394622803
4.889115333557129:	imu;	yaw,	-6.087926387786865
4.900077819824219:	state;	ang v,	-1.30678850292|	vy,	-0.007413261925|	y,	42.427402246484924|	x,	-71.42086388672779|	vx,	-0.197378588451|	angle,	0.0753873531962
4.90449595451355:	imu;	yaw,	-6.085744857788086
4.936013460159302:	imu;	yaw,	-6.083563327789307
4.936520338058472:	imu;	yaw,	-6.080291271209717
4.936940670013428:	imu;	yaw,	-6.0770182609558105
4.942652940750122:	imu;	yaw,	-6.074836730957031
4.957174777984619:	imu;	yaw,	-6.071564197540283
4.963191986083984:	state;	ang v,	-1.26218183387|	vy,	-0.332339638661|	y,	42.4274047046409|	x,	-71.42086510413324|	vx,	-0.522312378172|	angle,	0.0157401393135
4.964877128601074:	imu;	yaw,	-6.068291664123535
4.974715709686279:	imu;	yaw,	-6.066109657287598
4.994922161102295:	imu;	yaw,	-6.062837600708008
4.995619297027588:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
5.002947568893433:	imu;	yaw,	-6.057383060455322
5.014747858047485:	imu;	yaw,	-6.054111003875732
5.02737021446228:	imu;	yaw,	-6.050837993621826
5.0308051109313965:	encoder;	counts,	-3
5.04199743270874:	imu;	yaw,	-6.048656463623047
5.04810905456543:	state;	ang v,	-1.17723000251|	vy,	0.00674201506333|	y,	42.427410444846686|	x,	-71.42086716409268|	vx,	-0.356264976907|	angle,	0.0301006579684
5.04970383644104:	imu;	yaw,	-6.045384407043457
5.0545172691345215:	imu;	yaw,	-6.042111396789551
5.0813703536987305:	imu;	yaw,	-6.038839340209961
5.081995248794556:	imu;	yaw,	-6.035567283630371
5.085627794265747:	imu;	yaw,	-6.032294273376465
5.09372615814209:	imu;	yaw,	-6.029022216796875
5.107377767562866:	state;	ang v,	-1.15342184056|	vy,	-0.329115565382|	y,	42.4274130641269|	x,	-71.42086837206084|	vx,	-0.692130890707|	angle,	-0.0194281636689
5.110009431838989:	imu;	yaw,	-6.024658679962158
5.118422508239746:	imu;	yaw,	-6.02138614654541
5.139183759689331:	imu;	yaw,	-6.01811408996582
5.139785289764404:	imu;	yaw,	-6.0137505531311035
5.147403240203857:	imu;	yaw,	-6.010477542877197
5.154320240020752:	imu;	yaw,	-6.006114482879639
5.163994312286377:	imu;	yaw,	-6.001750946044922
5.16880989074707:	encoder;	counts,	-4
5.180621862411499:	state;	ang v,	-1.06193885975|	vy,	0.0333174903433|	y,	42.42741680540106|	x,	-71.42086990867548|	vx,	-0.376078095524|	angle,	-0.0317959968964
5.182886600494385:	imu;	yaw,	-5.996297359466553
5.1837358474731445:	imu;	yaw,	-5.991933822631836
5.208183526992798:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
5.2087671756744385:	imu;	yaw,	-5.982116222381592
5.2098894119262695:	servo;	22
5.213837146759033:	imu;	yaw,	-5.9766621589660645
5.219269752502441:	servo;	20
5.224942684173584:	imu;	yaw,	-5.972298622131348
5.227243423461914:	servo;	19
5.232583522796631:	imu;	yaw,	-5.96684455871582
5.235204696655273:	servo;	18
5.242257356643677:	servo;	17
5.2432780265808105:	imu;	yaw,	-5.961390495300293
