2.93365478515625:	altitude;	altitude,	74.12635040283203
2.962606906890869:	altitude;	altitude,	74.16069793701172
2.993518114089966:	altitude;	altitude,	74.16069793701172
2.994215965270996:	checkpoint;	num,	0|	lat,	42.42740249633789|	long,	-71.4210433959961
3.02331280708313:	altitude;	altitude,	74.09464263916016
3.055755138397217:	altitude;	altitude,	74.14749145507812
3.0861904621124268:	altitude;	altitude,	74.26639556884766
3.113037347793579:	altitude;	altitude,	73.99159240722656
3.1448771953582764:	altitude;	altitude,	74.01273345947266
3.1821227073669434:	altitude;	altitude,	74.25054168701172
3.2138357162475586:	altitude;	altitude,	74.08936309814453
3.2457175254821777:	altitude;	altitude,	74.03387451171875
3.2739171981811523:	altitude;	altitude,	74.03387451171875
3.3090713024139404:	altitude;	altitude,	74.26639556884766
3.336304187774658:	altitude;	altitude,	74.10521697998047
3.365895986557007:	altitude;	altitude,	74.40379333496094
3.395904779434204:	altitude;	altitude,	74.39057922363281
3.4248082637786865:	altitude;	altitude,	74.27432250976562
3.4572505950927734:	altitude;	altitude,	74.2161865234375
3.4871973991394043:	altitude;	altitude,	74.2161865234375
3.519871950149536:	altitude;	altitude,	74.05500793457031
3.550309896469116:	altitude;	altitude,	74.18183898925781
3.6859636306762695:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
3.691375732421875:	altitude;	altitude,	73.74850463867188
3.719134569168091:	altitude;	altitude,	73.80928039550781
3.750312566757202:	altitude;	altitude,	74.05500793457031
3.7771897315979004:	altitude;	altitude,	73.70623016357422
3.8083198070526123:	altitude;	altitude,	73.70623016357422
3.8385915756225586:	altitude;	altitude,	74.01273345947266
3.8673412799835205:	altitude;	altitude,	73.92818450927734
3.899221658706665:	altitude;	altitude,	73.99687957763672
3.931074857711792:	altitude;	altitude,	74.13692474365234
3.9602560997009277:	altitude;	altitude,	73.84626770019531
3.9904212951660156:	altitude;	altitude,	73.93611145019531
4.016468524932861:	altitude;	altitude,	73.93611145019531
4.044098138809204:	altitude;	altitude,	73.94139099121094
4.072345018386841:	altitude;	altitude,	73.85948181152344
4.100657224655151:	altitude;	altitude,	73.84626770019531
4.123316287994385:	altitude;	altitude,	73.84626770019531
4.157250165939331:	altitude;	altitude,	73.84626770019531
4.1772990226745605:	altitude;	altitude,	73.82513427734375
4.211704254150391:	altitude;	altitude,	73.81720733642578
4.216155767440796:	imu;	yaw,	3.789546489715576
4.240031480789185:	altitude;	altitude,	73.7828598022461
4.268622636795044:	imu;	yaw,	3.790637254714966
4.27487587928772:	altitude;	altitude,	73.90704345703125
4.306006908416748:	altitude;	altitude,	73.9493179321289
4.334031581878662:	altitude;	altitude,	73.9493179321289
4.363479852676392:	altitude;	altitude,	74.0074462890625
4.393619537353516:	altitude;	altitude,	74.01273345947266
4.42029881477356:	altitude;	altitude,	73.99951934814453
4.4486775398254395:	altitude;	altitude,	74.04708099365234
4.474136829376221:	altitude;	altitude,	74.04708099365234
4.490553379058838:	imu;	yaw,	3.789546489715576
4.510721683502197:	altitude;	altitude,	74.08143615722656
4.533114194869995:	altitude;	altitude,	73.93082427978516
4.53971266746521:	imu;	yaw,	3.7884554862976074
4.550878047943115:	imu;	yaw,	3.789546489715576
4.571323394775391:	altitude;	altitude,	73.9493179321289
4.692998886108398:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
4.700152158737183:	imu;	yaw,	3.790637254714966
4.721252679824829:	imu;	yaw,	3.7917280197143555
4.72627329826355:	altitude;	altitude,	73.71151733398438
4.7320427894592285:	imu;	yaw,	3.792818784713745
4.741065979003906:	imu;	yaw,	3.793909788131714
4.7508087158203125:	imu;	yaw,	3.7950005531311035
4.770568370819092:	altitude;	altitude,	73.85155487060547
4.774954080581665:	imu;	yaw,	3.796091318130493
4.781738758087158:	imu;	yaw,	3.797182321548462
4.791769742965698:	imu;	yaw,	3.799363851547241
4.801549673080444:	imu;	yaw,	3.8026363849639893
4.811732053756714:	imu;	yaw,	3.805908441543579
4.821895360946655:	imu;	yaw,	3.8080902099609375
4.825679302215576:	altitude;	altitude,	73.64810180664062
4.830697298049927:	imu;	yaw,	3.809180974960327
4.8415687084198:	imu;	yaw,	3.8080902099609375
4.852674722671509:	imu;	yaw,	3.805908441543579
4.861047029495239:	imu;	yaw,	3.803727149963379
4.8731348514556885:	imu;	yaw,	3.800454616546631
4.878138065338135:	altitude;	altitude,	73.74850463867188
4.896904468536377:	imu;	yaw,	3.797182321548462
4.897408485412598:	imu;	yaw,	3.796091318130493
4.902200937271118:	imu;	yaw,	3.7950005531311035
4.910888195037842:	imu;	yaw,	3.793909788131714
4.925563335418701:	altitude;	altitude,	73.70623016357422
4.9329588413238525:	imu;	yaw,	3.792818784713745
4.953410625457764:	imu;	yaw,	3.7917280197143555
4.964984178543091:	altitude;	altitude,	73.93082427978516
4.971906661987305:	imu;	yaw,	3.792818784713745
4.996018648147583:	altitude;	altitude,	73.88062286376953
5.026773929595947:	altitude;	altitude,	73.89911651611328
5.055291652679443:	altitude;	altitude,	73.79606628417969
5.073390960693359:	motors;	-100
5.078912019729614:	altitude;	altitude,	73.79606628417969
5.115250825881958:	altitude;	altitude,	73.99951934814453
5.13779616355896:	altitude;	altitude,	73.83041381835938
5.153667688369751:	imu;	yaw,	3.796091318130493
5.162679433822632:	imu;	yaw,	3.7982730865478516
5.172818183898926:	imu;	yaw,	3.8015456199645996
5.178865194320679:	altitude;	altitude,	73.77493286132812
5.184627056121826:	imu;	yaw,	3.803727149963379
5.213574647903442:	imu;	yaw,	3.8026363849639893
5.220006465911865:	altitude;	altitude,	73.98102569580078
5.225559234619141:	imu;	yaw,	3.8015456199645996
5.24615740776062:	servo;	-2
5.250253200531006:	altitude;	altitude,	73.80135345458984
5.250979423522949:	motors;	100
5.256953239440918:	servo;	-1
5.261676073074341:	servo;	0
5.267950773239136:	motors;	0
5.28792405128479:	altitude;	altitude,	73.76700592041016
5.291308641433716:	imu;	yaw,	3.8026363849639893
5.304816007614136:	imu;	yaw,	3.8015456199645996
5.314592361450195:	imu;	yaw,	3.800454616546631
5.324430465698242:	imu;	yaw,	3.797182321548462
5.3311779499053955:	altitude;	altitude,	73.83834075927734
5.3364293575286865:	imu;	yaw,	3.7917280197143555
5.340295076370239:	encoder;	counts,	1
5.345801591873169:	imu;	yaw,	3.786273956298828
5.367842197418213:	imu;	yaw,	3.7851829528808594
5.374252796173096:	imu;	yaw,	3.78300142288208
5.383492708206177:	altitude;	altitude,	73.9017562866211
5.388143539428711:	imu;	yaw,	3.7819104194641113
5.394826650619507:	imu;	yaw,	3.7808196544647217
5.414694547653198:	imu;	yaw,	3.779728889465332
5.424937963485718:	altitude;	altitude,	73.84626770019531
5.445456027984619:	imu;	yaw,	3.7786381244659424
5.455596208572388:	imu;	yaw,	3.7775471210479736
5.4626545906066895:	altitude;	altitude,	74.01273345947266
5.474852561950684:	imu;	yaw,	3.776456356048584
5.487085342407227:	imu;	yaw,	3.7775471210479736
5.494780540466309:	altitude;	altitude,	73.83834075927734
5.505590438842773:	imu;	yaw,	3.7786381244659424
5.52698278427124:	altitude;	altitude,	73.85155487060547
5.536747932434082:	imu;	yaw,	3.779728889465332
5.555207967758179:	imu;	yaw,	3.7808196544647217
5.568940877914429:	altitude;	altitude,	73.76700592041016
5.593222618103027:	servo;	-2
5.597949504852295:	motors;	-100
5.641122102737427:	servo;	0
5.687866687774658:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
5.6950225830078125:	imu;	yaw,	3.78300142288208
5.7223005294799805:	altitude;	altitude,	73.79606628417969
5.74600887298584:	altitude;	altitude,	73.79606628417969
5.7499635219573975:	imu;	yaw,	3.7819104194641113
5.78163743019104:	altitude;	altitude,	73.81192016601562
5.809560537338257:	altitude;	altitude,	73.86212158203125
5.8387861251831055:	altitude;	altitude,	73.72737121582031
5.868767023086548:	altitude;	altitude,	73.64281463623047
5.8990089893341064:	altitude;	altitude,	73.68508911132812
5.9280688762664795:	altitude;	altitude,	73.68508911132812
5.9605114459991455:	altitude;	altitude,	73.82777404785156
5.961382627487183:	servo;	3
5.96858811378479:	servo;	5
5.977115631103516:	servo;	4
5.985313653945923:	servo;	-3
5.99032998085022:	altitude;	altitude,	73.95724487304688
5.991127967834473:	motors;	100
5.996887445449829:	servo;	0
6.001579999923706:	motors;	-100
6.006219387054443:	motors;	0
6.031780481338501:	altitude;	altitude,	73.77228546142578
6.061440944671631:	altitude;	altitude,	73.87269592285156
6.088734149932861:	altitude;	altitude,	74.10785675048828
6.125280141830444:	altitude;	altitude,	73.66923522949219
6.152563095092773:	altitude;	altitude,	73.84098815917969
6.176885366439819:	motors;	-100
6.180005788803101:	altitude;	altitude,	73.84098815917969
6.213085889816284:	altitude;	altitude,	73.77493286132812
6.218035936355591:	servo;	-1
6.2418458461761475:	altitude;	altitude,	73.59261322021484
6.242573499679565:	servo;	0
6.2481911182403564:	imu;	yaw,	3.78300142288208
6.2597715854644775:	imu;	yaw,	3.786273956298828
6.2709174156188965:	imu;	yaw,	3.790637254714966
6.279910564422607:	imu;	yaw,	3.7950005531311035
6.290307521820068:	altitude;	altitude,	73.69830322265625
6.2961907386779785:	imu;	yaw,	3.797182321548462
6.299726963043213:	imu;	yaw,	3.7982730865478516
6.328142881393433:	altitude;	altitude,	73.78813934326172
6.332423210144043:	imu;	yaw,	3.797182321548462
6.339522361755371:	imu;	yaw,	3.796091318130493
6.349931001663208:	imu;	yaw,	3.7950005531311035
6.371377229690552:	altitude;	altitude,	73.8674087524414
6.392650365829468:	altitude;	altitude,	73.8674087524414
6.423800468444824:	altitude;	altitude,	73.8885498046875
6.438898324966431:	imu;	yaw,	3.793909788131714
6.449920892715454:	encoder;	counts,	0
6.460273742675781:	imu;	yaw,	3.792818784713745
6.471678018569946:	altitude;	altitude,	74.06293487548828
6.477423429489136:	imu;	yaw,	3.7917280197143555
6.480973243713379:	imu;	yaw,	3.790637254714966
6.501466512680054:	imu;	yaw,	3.789546489715576
6.51013708114624:	imu;	yaw,	3.7884554862976074
6.51993727684021:	altitude;	altitude,	73.83041381835938
6.524033308029175:	imu;	yaw,	3.7873647212982178
6.540470361709595:	imu;	yaw,	3.786273956298828
6.553208827972412:	altitude;	altitude,	73.58732604980469
6.5578484535217285:	motors;	0
6.560436487197876:	imu;	yaw,	3.7851829528808594
6.7533979415893555:	motors;	-100
6.763787031173706:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
6.768446922302246:	encoder;	counts,	-1
6.776030778884888:	imu;	yaw,	3.752458095550537
6.780701160430908:	imu;	yaw,	3.7513670921325684
6.79114294052124:	altitude;	altitude,	73.62960815429688
6.8233160972595215:	imu;	yaw,	3.752458095550537
6.828409433364868:	encoder;	counts,	-2
6.8327813148498535:	altitude;	altitude,	73.62960815429688
6.841780662536621:	imu;	yaw,	3.7546396255493164
6.852007150650024:	imu;	yaw,	3.760093927383423
6.862492084503174:	imu;	yaw,	3.76663875579834
6.8721699714660645:	imu;	yaw,	3.7688205242156982
6.881411790847778:	altitude;	altitude,	73.6586685180664
6.891189336776733:	imu;	yaw,	3.7710022926330566
6.912311315536499:	imu;	yaw,	3.769911289215088
6.920290946960449:	altitude;	altitude,	73.72208404541016
6.924498081207275:	imu;	yaw,	3.7688205242156982
6.933405160903931:	imu;	yaw,	3.76663875579834
6.943396329879761:	imu;	yaw,	3.76554799079895
6.95378851890564:	imu;	yaw,	3.7644572257995605
6.9663166999816895:	imu;	yaw,	3.762275457382202
6.970846891403198:	encoder;	counts,	-3
6.975924491882324:	altitude;	altitude,	73.925537109375
6.980207443237305:	imu;	yaw,	3.7611846923828125
6.994317054748535:	imu;	yaw,	3.760093927383423
7.013251304626465:	altitude;	altitude,	73.84098815917969
7.0236804485321045:	imu;	yaw,	3.759002923965454
7.041938066482544:	altitude;	altitude,	73.7828598022461
7.0476109981536865:	imu;	yaw,	3.7579121589660645
7.0634684562683105:	imu;	yaw,	3.756821393966675
7.073502063751221:	imu;	yaw,	3.755730628967285
7.078749895095825:	encoder;	counts,	-4
7.08982515335083:	altitude;	altitude,	73.90440368652344
7.093556880950928:	imu;	yaw,	3.7546396255493164
7.123302221298218:	imu;	yaw,	3.7535488605499268
7.129693984985352:	altitude;	altitude,	73.96781921386719
7.133325099945068:	imu;	yaw,	3.752458095550537
7.1435089111328125:	imu;	yaw,	3.7513670921325684
7.145421266555786:	servo;	2
7.1539692878723145:	servo;	4
