long, lat
-71.42083704471588, 42.42732027318888
-71.42081170307887, 42.42732248893011
-71.42080272604903, 42.427322640649486
-71.42078090263004, 42.427317599363036
-71.42075270060843, 42.42731081994615
-71.42072152214229, 42.427297118952815
-71.42068373869414, 42.427278107373894
-71.42063492822177, 42.42724835859378
-71.42060272513008, 42.42722746438343
-71.42058676913973, 42.42720962963207
-71.42057010064052, 42.42718802990139
-71.42056849487713, 42.42717036616501
-71.42057024159588, 42.42715812684747
-71.42058701035107, 42.42714704014341
-71.4206090552176, 42.427133657629405
-71.42062598577192, 42.427122244231484
-71.4206492343017, 42.42711314051573
-71.42067025526796, 42.427103193316164
-71.42070089562776, 42.4270963736144
-71.42073800913205, 42.4270892151302
-71.42076761374815, 42.42708842616707
-71.42079863619425, 42.42708426976268
-71.42082758725972, 42.42708560019893
-71.42086027326106, 42.42709039040709
-71.42088883135838, 42.42709205299723
-71.42091925334893, 42.427093092637726
-71.420955855228, 42.42709328487577
-71.42099018957894, 42.42709369574139
-71.42102615931103, 42.4270988591418
-71.42104730056168, 42.42710722858449
-71.42105919578806, 42.42712596728284
-71.42106058794381, 42.427149433032916
-71.42105701006945, 42.42716924111344
-71.4210540483242, 42.42719129748895
-71.42105049615579, 42.42721053496764
-71.42104539667008, 42.42723292894283
-71.42104013843807, 42.42725156247594
-71.42102519717562, 42.42727048877143
-71.42100421982875, 42.427281338847
-71.42097661679153, 42.42729243141373
-71.42094842544164, 42.42730233608111
-71.42091671300543, 42.42731056516502
-71.42088578683784, 42.42731789053561
-71.42086307014887, 42.427327027569675
-71.42082761976376, 42.427332901100336
