long, lat
-71.42083704471588, 42.42732027318888
-71.42084895608362, 42.42729981049113
-71.42086548122148, 42.42729531991843
-71.4208713578228, 42.42729406698913
-71.42086502499964, 42.427295628593036
-71.42085201905128, 42.42729738724355
-71.42083962701582, 42.42729940205916
-71.42082655187133, 42.42730270476867
-71.42081778170619, 42.427304187910885
-71.42080844717408, 42.42730510632223
-71.4207928886364, 42.4273070422369
-71.42078341053463, 42.42730835425837
-71.42077341828924, 42.427308396578965
-71.42076279929715, 42.427307925280466
-71.42074954200744, 42.42730447360721
-71.42073899320296, 42.42730250146901
-71.42072773402899, 42.427299441758684
-71.42071842908325, 42.427297019713464
-71.42070584164593, 42.427293207107375
-71.42069355519193, 42.427287716074076
-71.42068444288628, 42.42728278681433
-71.42067467054387, 42.4272771210598
-71.4206653023491, 42.427272175806394
-71.42065360451255, 42.42726525614358
-71.420637980874, 42.42725923700946
-71.42062484009368, 42.42725534621594
-71.42061747898418, 42.42725138316807
-71.42060831148967, 42.42724487800435
-71.42059891017058, 42.42723687048042
-71.42058599212987, 42.427227993597604
-71.4205762274684, 42.42722086873719
-71.4205703728307, 42.42721647951107
-71.42055762393905, 42.427210714391705
-71.42054413432115, 42.427208049366286
-71.42053434304468, 42.427205725302755
-71.4205256040812, 42.42720654662411
-71.42051791178376, 42.42720940941286
-71.42050787122166, 42.42721235735587
-71.42049761471375, 42.42721645226138
-71.42048957382426, 42.42722186474652
-71.42048269182825, 42.42722599951243
-71.42047464790876, 42.42723012827637
-71.42046326899973, 42.42723392895111
-71.42045244248689, 42.42723612014951
-71.4204438314393, 42.42723848922733
-71.42043638303036, 42.42724137417402
-71.42042232621509, 42.42724549443862
-71.42041264032402, 42.42724761553239
-71.42040016369056, 42.427249835150946
-71.4203900130123, 42.42725175742333
-71.42037673357416, 42.42725416275728
-71.42036575358196, 42.427256521205194
-71.42035080211842, 42.42725877622047
-71.4203415743559, 42.42725869079837
-71.42033073946848, 42.427260387672305
-71.42031599926672, 42.42726286693293
-71.42030420535929, 42.42726608370815
-71.42029470103218, 42.42726841896812
-71.42028208064956, 42.4272719464214
-71.42027176933212, 42.42727456908012
-71.42025784872642, 42.42727827521198
-71.4202444931714, 42.42728171002147
-71.42023300517045, 42.42728475337933
-71.42022555438969, 42.427286835667694
-71.42021416660545, 42.427288316147205
-71.42020088099923, 42.42729035825834
-71.42018853308073, 42.427290310898506
-71.42017741812069, 42.42729080954463
-71.42016829150722, 42.42729146187935
-71.42015312430073, 42.427292413392024
-71.42013959142182, 42.427294525394785
-71.42012412589514, 42.4272967139146
-71.42010953065382, 42.42729852195767
-71.42009841117307, 42.427298889704765
-71.42008301349686, 42.42730094295693
-71.42007007297728, 42.427300832778634
-71.42005378483931, 42.42730284895186
-71.4200422302516, 42.42730443846975
-71.42002870070056, 42.42730505555107
-71.42001377477247, 42.42730620421547
-71.42000222396568, 42.42730718341857
-71.41998848570314, 42.42730724763127
-71.41997500749159, 42.42730919680424
-71.41996082024957, 42.427309739860625
-71.41994635497383, 42.42731023370468
-71.41993182434928, 42.42731106489603
-71.41992144306245, 42.42731116417451
-71.41990880109708, 42.42731100118446
-71.41989642681403, 42.42730923449137
-71.4198867147408, 42.427307684821926
-71.41987289936289, 42.42730779693959
-71.41986297610836, 42.42730712558196
-71.41984719721034, 42.42730617451851
-71.41983735236956, 42.42730463925157
-71.41982406659886, 42.42730444419924
-71.41981452819199, 42.42730416763706
-71.41980416440754, 42.42730509677102
-71.41979144938387, 42.42730633675306
-71.41977849397225, 42.427307710120644
-71.41976947062756, 42.42730991229208
-71.41976049117996, 42.42731006436727
-71.41974786395748, 42.427309678753716
-71.41973699081994, 42.42730929836325
-71.41972672835725, 42.42730973925516
-71.41971379718082, 42.42730955741808
-71.41970126074784, 42.42731048821337
-71.41969142147757, 42.42731121705429
-71.41967717126911, 42.42731207923417
-71.41966716759973, 42.42731256957616
-71.4196565408544, 42.42731468740027
-71.41964700564775, 42.427316590981306
-71.41963822263692, 42.4273182634568
-71.41962716920283, 42.42732179259656
-71.41961607187605, 42.427324008439214
-71.41960498980819, 42.42732616669707
-71.41959529833875, 42.427328734726466
-71.41958786716117, 42.4273308799145
-71.41957902375903, 42.427335999071
-71.41956921706037, 42.42734063078743
-71.41956249494208, 42.42734323409421
-71.4195563889926, 42.42734546914634
-71.41954945540294, 42.427347552138336
-71.41954005584704, 42.42734889338105
-71.4195289877118, 42.42734831825563
-71.41951900919351, 42.42734734019653
-71.41951291189439, 42.42734577176634
-71.41950834561666, 42.42734552159258
-71.41950342236075, 42.42734347386262
-71.41949729047586, 42.42733995767319
-71.41949418274592, 42.42733616136135
-71.41949368862466, 42.4273323457444
-71.41949253006831, 42.427327807148615
-71.41949152505107, 42.4273243278202
-71.41949174458209, 42.42731911754532
-71.41949247542199, 42.4273145531908
-71.41949352420296, 42.4273093850583
-71.41949280674721, 42.427302360839285
-71.41948904445347, 42.42729796024212
-71.41948559007488, 42.42729255027205
-71.4194849659241, 42.42728683429284
-71.41948428668458, 42.4272806552726
-71.41947755612443, 42.42727640178198
-71.41946909523229, 42.42727539925602
-71.41946292629339, 42.42727467846623
-71.4194560201987, 42.42727403196262
-71.41944817643366, 42.42727166266265
-71.41944471266423, 42.42726760003875
-71.41943795943719, 42.42726403109968
-71.41943463145718, 42.42726093148822
-71.41942563409631, 42.427258357431725
-71.41941904112748, 42.42725345926289
-71.41941147484052, 42.4272498671397
-71.41940749919198, 42.42724670794252
-71.41940489249475, 42.42724459834727
-71.41940444494877, 42.42723971555279
