0.019076824188232422:	state;	x,	-71.42085350624828|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0
0.019859790802001953:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
0.020275115966796875:	state;	x,	-71.42085350624828|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0
0.02050161361694336:	yaw;	yaw,	-5.345070838928223
0.049078941345214844:	state;	x,	-71.42085350624828|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0
0.049457550048828125:	encoder;	counts,	0
0.11572265625:	state;	x,	-71.42085350218017|	y,	42.427301152244986|	vx,	0.0|	ang v,	0.0|	y m,	0.740830284116|	x m,	-1.24591556208|	angle,	0.938668914845|	vy,	0.0
0.11625504493713379:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
0.5221443176269531:	state;	x,	-71.42085349408629|	y,	42.42730116322174|	vx,	0.0|	ang v,	0.0|	y m,	0.741494791526|	x m,	-1.2446946579|	angle,	0.93888347594|	vy,	0.0
0.523120641708374:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
0.7518796920776367:	state;	x,	-71.42085348197065|	y,	42.4273011796527|	vx,	0.0|	ang v,	0.0|	y m,	0.74248948353|	x m,	-1.24286710323|	angle,	0.939001425446|	vy,	0.0
0.7525572776794434:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
0.9429736137390137:	state;	x,	-71.42085346583933|	y,	42.42730120152965|	vx,	0.0|	ang v,	0.0|	y m,	0.743813863392|	x m,	-1.24043381071|	angle,	0.939104555632|	vy,	0.0
0.9434101581573486:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
1.1424720287322998:	state;	x,	-71.42085344570036|	y,	42.427301228841685|	vx,	0.0|	ang v,	0.0|	y m,	0.745467270292|	x m,	-1.23739599449|	angle,	0.939212968144|	vy,	0.0
1.1431140899658203:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
1.3206202983856201:	state;	x,	-71.42085342156379|	y,	42.427301261575174|	vx,	0.0|	ang v,	0.0|	y m,	0.747448880125|	x m,	-1.23375516868|	angle,	0.939308570947|	vy,	0.0
1.3214619159698486:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
