0.9462985992431641:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9466948509216309:	yaw;	yaw,	-5.073453903198242
0.955996036529541:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9564471244812012:	yaw;	yaw,	-5.074544906616211
0.988914966583252:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9894149303436279:	yaw;	yaw,	-5.07563591003418
1.0277917385101318:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
1.0285875797271729:	yaw;	yaw,	-5.077817440032959
1.0447282791137695:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
1.045267105102539:	yaw;	yaw,	-5.078908443450928
1.1081628799438477:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.108811378479004:	yaw;	yaw,	-5.077817440032959
1.1383941173553467:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.1388041973114014:	yaw;	yaw,	-5.07672643661499
1.1565725803375244:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.1569788455963135:	yaw;	yaw,	-5.07563591003418
1.178847074508667:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.179368257522583:	yaw;	yaw,	-5.074544906616211
1.2026634216308594:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.2034380435943604:	yaw;	yaw,	-5.073453903198242
1.2196605205535889:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.2200391292572021:	yaw;	yaw,	-5.072363376617432
1.242159128189087:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.2433545589447021:	encoder;	counts,	1
1.2538917064666748:	servo;	-10
1.2641103267669678:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.2648253440856934:	yaw;	yaw,	-5.071272373199463
1.282344102859497:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.283024787902832:	yaw;	yaw,	-5.072363376617432
1.2996203899383545:	servo;	-11
1.3153586387634277:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.3157634735107422:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
1.3560194969177246:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.3573949337005615:	yaw;	yaw,	-5.073453903198242
1.3868813514709473:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.3873810768127441:	yaw;	yaw,	-5.072363376617432
1.4304633140563965:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.4310107231140137:	yaw;	yaw,	-5.073453903198242
1.457099437713623:	servo;	-12
1.4861600399017334:	servo;	-13
1.4937586784362793:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.4942631721496582:	encoder;	counts,	2
1.5074255466461182:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.5078177452087402:	yaw;	yaw,	-5.074544906616211
1.5745947360992432:	servo;	-14
1.5789518356323242:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.5795691013336182:	yaw;	yaw,	-5.07563591003418
1.6107070446014404:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.6111974716186523:	yaw;	yaw,	-5.07672643661499
1.6711688041687012:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.6719822883605957:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
1.7122383117675781:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.7129769325256348:	yaw;	yaw,	-5.077817440032959
1.7520020008087158:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.752380132675171:	encoder;	counts,	3
1.7894985675811768:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.7901890277862549:	yaw;	yaw,	-5.07672643661499
1.8171992301940918:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.8180856704711914:	yaw;	yaw,	-5.074544906616211
