2.1292147636413574:	state;	x,	-71.42085256085262|	x m,	-1.15646615226|	vy,	0.0|	angle,	4.31628377672|	vx,	0.0|	ang v,	0.0133847534607|	y m,	0.818113180076|	y,	42.427301956455864
2.1296210289001465:	yaw;	yaw,	-5.417065620422363
2.145010232925415:	state;	x,	-71.42085256085262|	x m,	-1.15646615226|	vy,	0.0|	angle,	4.31628377672|	vx,	0.0|	ang v,	0.0133847534607|	y m,	0.818113180076|	y,	42.427301956455864
2.146050214767456:	yaw;	yaw,	-5.415975093841553
2.2017593383789062:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.202268123626709:	yaw;	yaw,	-5.414884090423584
2.2180230617523193:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.218503713607788:	yaw;	yaw,	-5.415975093841553
2.233607530593872:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.234266996383667:	yaw;	yaw,	-5.417065620422363
2.2655413150787354:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.2664599418640137:	yaw;	yaw,	-5.418156623840332
2.285370349884033:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.285749912261963:	yaw;	yaw,	-5.417065620422363
2.3186395168304443:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.319012403488159:	yaw;	yaw,	-5.415975093841553
2.344454765319824:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.3449506759643555:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
2.3572638034820557:	state;	x,	-71.42085185106804|	x m,	-1.08884857364|	vy,	0.0|	angle,	4.31515956814|	vx,	0.0|	ang v,	0.0068384370846|	y m,	0.876386420215|	y,	42.42730256438377
2.357668161392212:	yaw;	yaw,	-5.417065620422363
2.396696090698242:	state;	x,	-71.42085135163939|	x m,	-1.04127053698|	vy,	0.0|	angle,	4.31624952661|	vx,	0.0|	ang v,	0.0447561021346|	y m,	0.917389461321|	y,	42.42730299214259
2.397106409072876:	yaw;	yaw,	-5.415975093841553
2.4162375926971436:	state;	x,	-71.42085135163939|	x m,	-1.04127053698|	vy,	0.0|	angle,	4.31624952661|	vx,	0.0|	ang v,	0.0447561021346|	y m,	0.917389461321|	y,	42.42730299214259
2.416670560836792:	yaw;	yaw,	-5.417065620422363
2.43979811668396:	state;	x,	-71.42085135163939|	x m,	-1.04127053698|	vy,	0.0|	angle,	4.31624952661|	vx,	0.0|	ang v,	0.0447561021346|	y m,	0.917389461321|	y,	42.42730299214259
2.4401731491088867:	yaw;	yaw,	-5.415975093841553
2.4589643478393555:	state;	x,	-71.42085135163939|	x m,	-1.04127053698|	vy,	0.0|	angle,	4.31624952661|	vx,	0.0|	ang v,	0.0447561021346|	y m,	0.917389461321|	y,	42.42730299214259
2.4595797061920166:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
2.4847044944763184:	blue_led;	51
2.489558219909668:	motors;	20
2.5106306076049805:	blue_led;	0
2.5268657207489014:	motors;	0
2.5423264503479004:	blue_led;	52
2.5495975017547607:	motors;	20
2.559866189956665:	blue_led;	53
2.576784133911133:	blue_led;	55
2.5861759185791016:	motors;	21
2.591282844543457:	state;	x,	-71.42085128632489|	x m,	-1.03405512958|	vy,	-0.0251081909296|	angle,	4.31626752169|	vx,	-0.0251081909296|	ang v,	0.0512099279258|	y m,	0.922751774447|	y,	42.427303057014
2.592041492462158:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
2.6000492572784424:	blue_led;	62
2.6086807250976562:	motors;	24
2.625929355621338:	blue_led;	65
2.6422231197357178:	motors;	25
2.6525301933288574:	blue_led;	67
2.6604950428009033:	motors;	26
2.6695659160614014:	blue_led;	70
2.6725401878356934:	state;	x,	-71.42085125739179|	x m,	-1.02996704338|	vy,	-0.0394115426142|	angle,	4.31735591893|	vx,	-0.0394115426142|	ang v,	0.0223708662504|	y m,	0.92512717786|	y,	42.42730309376866
2.672922134399414:	yaw;	yaw,	-5.414884090423584
2.6750097274780273:	motors;	27
2.6862599849700928:	blue_led;	71
2.6979408264160156:	motors;	28
2.716977834701538:	blue_led;	73
2.72519588470459:	state;	x,	-71.42085110661095|	x m,	-1.0142794638|	vy,	-0.0525726591928|	angle,	4.31737391232|	vx,	-0.0525726591928|	ang v,	0.0128601217895|	y m,	0.937506268898|	y,	42.427303234810644
2.7257564067840576:	yaw;	yaw,	-5.415975093841553
2.730722427368164:	state;	x,	-71.42085110661095|	x m,	-1.0142794638|	vy,	-0.0525726591928|	angle,	4.31737391232|	vx,	-0.0525726591928|	ang v,	0.0128601217895|	y m,	0.937506268898|	y,	42.427303234810644
2.7314794063568115:	yaw;	yaw,	-5.414884090423584
2.750722646713257:	blue_led;	74
2.7560782432556152:	motors;	29
2.761549472808838:	blue_led;	76
2.7630269527435303:	state;	x,	-71.4208507203652|	x m,	-0.976785402677|	vy,	-0.05705497967|	angle,	4.31733784909|	vx,	-0.05705497967|	ang v,	-0.0266632295762|	y m,	0.969217004385|	y,	42.427303571907686
2.763428211212158:	yaw;	yaw,	-5.413793087005615
2.7721846103668213:	motors;	30
2.773712396621704:	state;	x,	-71.4208507203652|	x m,	-0.976785402677|	vy,	-0.05705497967|	angle,	4.31733784909|	vx,	-0.05705497967|	ang v,	-0.0266632295762|	y m,	0.969217004385|	y,	42.427303571907686
2.774136781692505:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
2.7783203125:	blue_led;	78
2.799442768096924:	blue_led;	81
2.810605525970459:	motors;	31
2.8282949924468994:	motors;	32
2.829871416091919:	state;	x,	-71.4208507203652|	x m,	-0.976785402677|	vy,	-0.05705497967|	angle,	4.31733784909|	vx,	-0.05705497967|	ang v,	-0.0266632295762|	y m,	0.969217004385|	y,	42.427303571907686
2.830322504043579:	yaw;	yaw,	-5.414884090423584
2.8429107666015625:	blue_led;	82
2.8706676959991455:	blue_led;	84
2.877873420715332:	motors;	33
2.880131244659424:	state;	x,	-71.42085031338985|	x m,	-0.935569078525|	vy,	-0.0647437626039|	angle,	4.32172938895|	vx,	-0.0647437626039|	ang v,	0.052003029461|	y m,	1.00262963559|	y,	42.4273039424704
2.8810136318206787:	yaw;	yaw,	-5.413793087005615
2.899197816848755:	state;	x,	-71.42085031338985|	x m,	-0.935569078525|	vy,	-0.0647437626039|	angle,	4.32172938895|	vx,	-0.0647437626039|	ang v,	0.052003029461|	y m,	1.00262963559|	y,	42.4273039424704
2.8995578289031982:	yaw;	yaw,	-5.412702560424805
2.9186313152313232:	state;	x,	-71.42085031338985|	x m,	-0.935569078525|	vy,	-0.0647437626039|	angle,	4.32172938895|	vx,	-0.0647437626039|	ang v,	0.052003029461|	y m,	1.00262963559|	y,	42.4273039424704
2.9190664291381836:	yaw;	yaw,	-5.411611557006836
2.9357237815856934:	state;	x,	-71.42085031338985|	x m,	-0.935569078525|	vy,	-0.0647437626039|	angle,	4.32172938895|	vx,	-0.0647437626039|	ang v,	0.052003029461|	y m,	1.00262963559|	y,	42.4273039424704
2.9361677169799805:	yaw;	yaw,	-5.410520553588867
