0.033631086349487305:	state;	vy,	0.0|	x m,	-1.24652920569|	angle,	4.31386668446|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347
0.03591156005859375:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
0.036641836166381836:	state;	vy,	0.0|	x m,	-1.24652920569|	angle,	4.31386668446|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347
0.0371546745300293:	yaw;	yaw,	-5.122541427612305
0.043195486068725586:	state;	vy,	0.0|	x m,	-1.24652920569|	angle,	4.31386668446|	y,	42.42730114672791|	vx,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347
0.043500661849975586:	encoder;	counts,	0
0.25376462936401367:	state;	vy,	0.0|	x m,	-1.24628705044|	angle,	1.1612405042|	y,	42.42730114890506|	vx,	0.0|	ang v,	0.0|	x,	-71.42085349912924|	y m,	0.741080765456
0.25426173210144043:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
0.45061659812927246:	state;	vy,	0.0|	x m,	-1.2458052588|	angle,	1.16134263801|	y,	42.42730115323669|	vx,	0.0|	ang v,	0.0|	x,	-71.42085348496522|	y m,	0.742243630071
0.4512321949005127:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
0.6459593772888184:	state;	vy,	0.0|	x m,	-1.24508407153|	angle,	1.16144370354|	y,	42.42730115972065|	vx,	0.0|	ang v,	0.0|	x,	-71.4208534637633|	y m,	0.743984306123
0.6464426517486572:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
0.8515822887420654:	state;	vy,	0.0|	x m,	-1.24412384877|	angle,	1.16155128526|	y,	42.4273011683537|	vx,	0.0|	ang v,	0.0|	x,	-71.42085343553406|	y m,	0.746301924341
0.8520808219909668:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
1.0430479049682617:	state;	vy,	0.0|	x m,	-1.24292506964|	angle,	1.16164850295|	y,	42.42730117913153|	vx,	0.0|	ang v,	0.0|	x,	-71.42085340029158|	y m,	0.749195328311
1.0436408519744873:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
1.2711338996887207:	state;	vy,	0.0|	x m,	-1.24148833165|	angle,	1.16175175067|	y,	42.42730119204878|	vx,	0.0|	ang v,	0.0|	x,	-71.42085335805344|	y m,	0.752663075883
1.271632432937622:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
1.4524962902069092:	state;	vy,	0.0|	x m,	-1.23981434996|	angle,	1.16185903419|	y,	42.42730120709901|	vx,	0.0|	ang v,	0.0|	x,	-71.42085330884065|	y m,	0.75670344092
1.4529259204864502:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
1.6899442672729492:	state;	vy,	0.0|	x m,	-1.23790395652|	angle,	1.16196059723|	y,	42.42730122427474|	vx,	0.0|	ang v,	0.0|	x,	-71.42085325267767|	y m,	0.761314415392
1.690659999847412:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
1.9227631092071533:	state;	vy,	0.0|	x m,	-1.23575809908|	angle,	1.16206492814|	y,	42.427301243567456|	vx,	0.0|	ang v,	0.0|	x,	-71.42085318959239|	y m,	0.766493711803
1.9233217239379883:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
2.062070846557617:	state;	vy,	0.0|	x m,	-1.23337784003|	angle,	1.16216719772|	y,	42.42730126496759|	vx,	0.0|	ang v,	0.0|	x,	-71.420853119616|	y m,	0.77223876595
2.062483787536621:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
2.250124931335449:	state;	vy,	0.0|	x m,	-1.23076435511|	angle,	1.16226445439|	y,	42.42730128846459|	vx,	0.0|	ang v,	0.0|	x,	-71.42085304278311|	y m,	0.778546740005
2.2506608963012695:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
2.4394431114196777:	state;	vy,	0.0|	x m,	-1.22791893204|	angle,	1.16236300986|	y,	42.42730131404687|	vx,	0.0|	ang v,	0.0|	x,	-71.42085295913154|	y m,	0.78541452592
2.4398720264434814:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
2.631513833999634:	state;	vy,	0.0|	x m,	-1.22484296895|	angle,	1.16246840741|	y,	42.42730134170186|	vx,	0.0|	ang v,	0.0|	x,	-71.4208528687024|	y m,	0.79283874913
2.631998062133789:	gps;	long,	-71.42078399658203|	lat,	42.42732620239258|	fix,	True
3.057830333709717:	state;	vy,	0.0|	x m,	-1.22198703525|	angle,	1.16493543864|	y,	42.42730136737863|	vx,	0.0|	ang v,	0.0|	x,	-71.42085276162759|	y m,	0.801629580911
3.0584213733673096:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
3.2669222354888916:	state;	vy,	0.0|	x m,	-1.21893458261|	angle,	1.16515321808|	y,	42.427301394822244|	vx,	0.0|	ang v,	0.0|	x,	-71.42085264718489|	y m,	0.811025316429
3.2675819396972656:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
3.4615039825439453:	state;	vy,	0.0|	x m,	-1.2156870964|	angle,	1.16536305112|	y,	42.427301424019355|	vx,	0.0|	ang v,	0.0|	x,	-71.42085252542996|	y m,	0.821021383561
3.4620211124420166:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
3.7177276611328125:	state;	vy,	0.0|	x m,	-1.21224615105|	angle,	1.16559677862|	y,	42.42730145495577|	vx,	0.0|	ang v,	0.0|	x,	-71.42085239642188|	y m,	0.831612936063
3.7181549072265625:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
4.106929540634155:	state;	vy,	0.0|	x m,	-1.20861340822|	angle,	1.16603631475|	y,	42.42730148761658|	vx,	0.0|	ang v,	0.0|	x,	-71.4208522602229|	y m,	0.842794859221
4.107345819473267:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
4.261607646942139:	state;	vy,	0.0|	x m,	-1.20479061484|	angle,	1.1662295311|	y,	42.42730152198608|	vx,	0.0|	ang v,	0.0|	x,	-71.42085211689853|	y m,	0.854561775781
4.262024164199829:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
4.44758939743042:	state;	vy,	0.0|	x m,	-1.20077960113|	angle,	1.16643736915|	y,	42.42730155804781|	vx,	0.0|	ang v,	0.0|	x,	-71.4208519665174|	y m,	0.86690805214
4.448000907897949:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
4.645939826965332:	state;	vy,	0.0|	x m,	-1.19658227853|	angle,	1.16665751989|	y,	42.42730159578458|	vx,	0.0|	ang v,	0.0|	x,	-71.42085180915117|	y m,	0.879827804791
4.6463494300842285:	gps;	long,	-71.4207763671875|	lat,	42.42732238769531|	fix,	True
