0.015929222106933594:	state;	y,	42.42730114672791|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	vx,	0.0
0.016699790954589844:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
0.0492856502532959:	state;	y,	42.42730114672791|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	vx,	0.0
0.04975605010986328:	yaw;	yaw,	-5.274167060852051
0.05030679702758789:	state;	y,	42.42730114672791|	x m,	-1.24652920569|	angle,	4.31386668446|	vy,	0.0|	ang v,	0.0|	x,	-71.42085350624828|	y m,	0.740496293347|	vx,	0.0
0.050583839416503906:	encoder;	counts,	0
0.4639463424682617:	state;	y,	42.42730115287954|	x m,	-1.245844984|	angle,	1.00974099422|	vy,	0.0|	ang v,	0.0|	x,	-71.42085350387345|	y m,	0.740691266411|	vx,	0.0
0.4644320011138916:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
0.6349136829376221:	state;	y,	42.42730116511878|	x m,	-1.24448365782|	angle,	1.00983197677|	vy,	0.0|	ang v,	0.0|	x,	-71.42085349914849|	y m,	0.741079184454|	vx,	0.0
0.6354036331176758:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
0.872410774230957:	state;	y,	42.42730118343953|	x m,	-1.24244590737|	angle,	1.00994884799|	vy,	0.0|	ang v,	0.0|	x,	-71.42085349207578|	y m,	0.74165985364|	vx,	0.0
0.8729209899902344:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
1.008413553237915:	state;	y,	42.427301207832656|	x m,	-1.23973275029|	angle,	1.0100364367|	vy,	0.0|	ang v,	0.0|	x,	-71.42085348265883|	y m,	0.742432983988|	vx,	0.0
1.0088281631469727:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
1.2312839031219482:	state;	y,	42.42730123828598|	x m,	-1.23634554034|	angle,	1.01014456616|	vy,	0.0|	ang v,	0.0|	x,	-71.42085347090236|	y m,	0.743398189733|	vx,	0.0
1.2321255207061768:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
1.3885395526885986:	state;	y,	42.42730127478432|	x m,	-1.23228596581|	angle,	1.0102473367|	vy,	0.0|	ang v,	0.0|	x,	-71.4208534568122|	y m,	0.744554989791|	vx,	0.0
1.3895800113677979:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
1.5834810733795166:	state;	y,	42.42730131730949|	x m,	-1.22755604742|	angle,	1.01035201957|	vy,	0.0|	ang v,	0.0|	x,	-71.42085344039538|	y m,	0.745902808342|	vx,	0.0
1.5841000080108643:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
1.783881425857544:	state;	y,	42.42730136584038|	x m,	-1.22215813591|	angle,	1.01045731266|	vy,	0.0|	ang v,	0.0|	x,	-71.42085342166007|	y m,	0.747440975531|	vx,	0.0
1.7850995063781738:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.0711891651153564:	state;	y,	42.42730142035291|	x m,	-1.21609490917|	angle,	1.01057429503|	vy,	0.0|	ang v,	0.0|	x,	-71.42085340061554|	y m,	0.749168728276|	vx,	0.0
2.0718276500701904:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.1246705055236816:	blue_led;	51
2.133720874786377:	motors;	20
2.141911506652832:	blue_led;	53
2.161566972732544:	blue_led;	56
2.1683104038238525:	motors;	22
2.1957411766052246:	blue_led;	57
2.2102901935577393:	state;	y,	42.427301645938655|	x m,	-1.19100383847|	angle,	1.01066847905|	vy,	0.00100866622328|	ang v,	0.0|	x,	-71.42085315357488|	y m,	0.769450741751|	vx,	0.00100866622328
2.210780143737793:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.2452752590179443:	state;	y,	42.427301812949864|	x m,	-1.17242779893|	angle,	4.31625854737|	vy,	-0.000724361486056|	ang v,	0.0436333767007|	x,	-71.42085305391313|	y m,	0.777632958439|	vx,	-0.000724361486056
2.245917320251465:	yaw;	yaw,	-5.273076057434082
2.266103982925415:	state;	y,	42.427301812949864|	x m,	-1.17242779893|	angle,	4.31625854737|	vy,	-0.000724361486056|	ang v,	0.0436333767007|	x,	-71.42085305391313|	y m,	0.777632958439|	vx,	-0.000724361486056
2.266611099243164:	yaw;	yaw,	-5.271985054016113
2.29895281791687:	state;	y,	42.42730186719882|	x m,	-1.16639388774|	angle,	4.31735388084|	vy,	-0.000739533624617|	ang v,	0.0435695621597|	x,	-71.42085304948021|	y m,	0.777996900162|	vx,	-0.000739533624617
2.2994282245635986:	yaw;	yaw,	-5.270894527435303
2.3430144786834717:	state;	y,	42.427301967912584|	x m,	-1.15519186818|	angle,	4.31954994678|	vy,	-0.000735821057907|	ang v,	0.033191749007|	x,	-71.42085305815773|	y m,	0.777284475574|	vx,	-0.000735821057907
2.3434958457946777:	yaw;	yaw,	-5.269803524017334
2.366621732711792:	state;	y,	42.427301967912584|	x m,	-1.15519186818|	angle,	4.31954994678|	vy,	-0.000735821057907|	ang v,	0.033191749007|	x,	-71.42085305815773|	y m,	0.777284475574|	vx,	-0.000735821057907
2.36700439453125:	yaw;	yaw,	-5.268712520599365
2.387009382247925:	blue_led;	55
2.3960063457489014:	motors;	21
2.4007341861724854:	blue_led;	51
2.4018185138702393:	state;	y,	42.427302088235415|	x m,	-1.14180880542|	angle,	4.31956141614|	vy,	-0.000702641403935|	ang v,	0.0344293179234|	x,	-71.42085304916682|	y m,	0.778022627152|	vx,	-0.000702641403935
2.4022216796875:	yaw;	yaw,	-5.269803524017334
2.406805992126465:	motors;	20
2.4174325466156006:	state;	y,	42.427302088235415|	x m,	-1.14180880542|	angle,	4.31956141614|	vy,	-0.000702641403935|	ang v,	0.0344293179234|	x,	-71.42085304916682|	y m,	0.778022627152|	vx,	-0.000702641403935
2.417940139770508:	yaw;	yaw,	-5.268712520599365
2.4223222732543945:	blue_led;	0
2.432448625564575:	motors;	0
2.4437525272369385:	state;	y,	42.42730218161254|	x m,	-1.13142281292|	angle,	4.31952195388|	vy,	-0.00066747412802|	ang v,	0.0490942101111|	x,	-71.42085302635914|	y m,	0.779895135072|	vx,	-0.00066747412802
2.4443869590759277:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.485267400741577:	state;	y,	42.427302289802846|	x m,	-1.11938920403|	angle,	4.32061563721|	vy,	-6.54449309691e-06|	ang v,	0.0297086052132|	x,	-71.42085298473756|	y m,	0.783312261386|	vx,	-6.54449309691e-06
2.4860992431640625:	yaw;	yaw,	-5.267621994018555
2.5490167140960693:	state;	y,	42.42730239968119|	x m,	-1.10716784327|	angle,	4.31953164911|	vy,	-6.41678652363e-08|	ang v,	-0.00925530099541|	x,	-71.4208529424666|	y m,	0.7867827027|	vx,	-6.41678652363e-08
2.549664258956909:	yaw;	yaw,	-5.268712520599365
2.5902557373046875:	state;	y,	42.42730272554724|	x m,	-1.07092296593|	angle,	4.31737649143|	vy,	-0.018632552333|	ang v,	-0.0228573112792|	x,	-71.42085281710361|	y m,	0.797074987025|	vx,	-0.00772131062362
2.5908403396606445:	encoder;	counts,	1
2.631232500076294:	state;	y,	42.42730272554724|	x m,	-1.07092296593|	angle,	4.31737649143|	vy,	-0.018632552333|	ang v,	-0.0228573112792|	x,	-71.42085281710361|	y m,	0.797074987025|	vx,	-0.00772131062362
2.6316659450531006:	yaw;	yaw,	-5.269803524017334
2.653575897216797:	state;	y,	42.42730272554724|	x m,	-1.07092296593|	angle,	4.31737649143|	vy,	-0.018632552333|	ang v,	-0.0228573112792|	x,	-71.42085281710361|	y m,	0.797074987025|	vx,	-0.00772131062362
2.6541247367858887:	yaw;	yaw,	-5.270894527435303
2.7087790966033936:	state;	y,	42.42730286543179|	x m,	-1.05536412412|	angle,	4.31734241981|	vy,	-0.018640415398|	ang v,	-0.0253938745421|	x,	-71.42085276328905|	y m,	0.801493156859|	vx,	-0.00772456905384
2.709249973297119:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.784576654434204:	state;	y,	42.427303001907035|	x m,	-1.0401844875|	angle,	4.31843876632|	vy,	-0.018643150602|	ang v,	-0.00255677380562|	x,	-71.42085271078605|	y m,	0.80580364561|	vx,	-0.00772570251406
2.7851758003234863:	yaw;	yaw,	-5.269803524017334
2.8508291244506836:	state;	y,	42.42730315223343|	x m,	-1.02346423839|	angle,	4.31843972472|	vy,	-0.0186443794945|	ang v,	0.0058873913958|	x,	-71.42085265295442|	y m,	0.810551614714|	vx,	-0.0077262117634
