2.0881502628326416:	imu;	yaw,	-4.555309295654297
2.096693992614746:	imu;	yaw,	-4.554218769073486
2.1071603298187256:	imu;	yaw,	-4.552036762237549
2.111016273498535:	servo;	-6
2.1153838634490967:	altitude;	altitude,	74.32188415527344
2.146949052810669:	altitude;	altitude,	74.32188415527344
2.152170419692993:	imu;	yaw,	-4.554218769073486
2.155789613723755:	encoder;	counts,	7
2.1610910892486572:	imu;	yaw,	-4.555309295654297
2.166872501373291:	imu;	yaw,	-4.558581829071045
2.176645040512085:	imu;	yaw,	-4.561854362487793
2.1863367557525635:	imu;	yaw,	-4.562945365905762
2.196864128112793:	imu;	yaw,	-4.564035892486572
2.207425832748413:	imu;	yaw,	-4.565126895904541
2.2120361328125:	altitude;	altitude,	74.22147369384766
2.217034101486206:	imu;	yaw,	-4.56621789932251
2.221327066421509:	encoder;	counts,	8
2.227348804473877:	imu;	yaw,	-4.56730842590332
2.246699094772339:	imu;	yaw,	-4.568399429321289
2.2616798877716064:	altitude;	altitude,	74.04972839355469
2.2674503326416016:	imu;	yaw,	-4.569490432739258
2.2866287231445312:	encoder;	counts,	9
2.2982866764068604:	imu;	yaw,	-4.570580959320068
2.3035378456115723:	altitude;	altitude,	74.28752899169922
2.3248910903930664:	altitude;	altitude,	74.28752899169922
2.3288655281066895:	imu;	yaw,	-4.571671962738037
2.337282419204712:	imu;	yaw,	-4.572762489318848
2.359067440032959:	encoder;	counts,	10
2.367478370666504:	altitude;	altitude,	74.03651428222656
2.37125825881958:	imu;	yaw,	-4.571671962738037
2.4051406383514404:	altitude;	altitude,	74.13956451416016
2.4096267223358154:	imu;	yaw,	-4.573853492736816
2.418336868286133:	encoder;	counts,	11
2.422279119491577:	imu;	yaw,	-4.574944496154785
2.428891658782959:	imu;	yaw,	-4.573853492736816
2.437934160232544:	imu;	yaw,	-4.572762489318848
2.4484081268310547:	imu;	yaw,	-4.573853492736816
2.462022304534912:	altitude;	altitude,	74.10521697998047
2.4692962169647217:	imu;	yaw,	-4.572762489318848
2.477785587310791:	encoder;	counts,	12
2.483289957046509:	checkpoint;	num,	0|	long,	-71.42086791992188|	lat,	42.42729187011719
2.4843804836273193:	imu;	yaw,	-4.569490432739258
2.487767457962036:	imu;	yaw,	-4.56621789932251
2.50011944770813:	imu;	yaw,	-4.565126895904541
2.508779525756836:	imu;	yaw,	-4.56621789932251
2.516281843185425:	altitude;	altitude,	73.83306121826172
2.5202267169952393:	imu;	yaw,	-4.564035892486572
2.5291764736175537:	imu;	yaw,	-4.562945365905762
2.535078287124634:	encoder;	counts,	13
2.5567731857299805:	altitude;	altitude,	74.28752899169922
2.5593881607055664:	servo;	-5
2.56158185005188:	imu;	yaw,	-4.564035892486572
2.56600284576416:	servo;	-4
2.5679726600646973:	imu;	yaw,	-4.56730842590332
2.5782830715179443:	imu;	yaw,	-4.569490432739258
2.583719253540039:	servo;	-3
2.5894553661346436:	imu;	yaw,	-4.570580959320068
2.595508098602295:	encoder;	counts,	14
2.601466178894043:	imu;	yaw,	-4.571671962738037
2.6089093685150146:	imu;	yaw,	-4.572762489318848
2.726224660873413:	gps;	found,	12|	long,	-71.42086791992188|	lat,	42.42729187011719|	altitude,	89.80000305175781
2.7291994094848633:	encoder;	counts,	16
2.737128734588623:	imu;	yaw,	-4.574944496154785
2.7437524795532227:	altitude;	altitude,	74.01537322998047
2.7594258785247803:	servo;	-2
2.772402286529541:	altitude;	altitude,	74.25318145751953
2.779179096221924:	encoder;	counts,	17
2.782057762145996:	imu;	yaw,	-4.576035022735596
2.787475347518921:	servo;	0
2.7899491786956787:	imu;	yaw,	-4.574944496154785
2.809580087661743:	imu;	yaw,	-4.573853492736816
2.8234846591949463:	altitude;	altitude,	74.32188415527344
2.82774019241333:	imu;	yaw,	-4.572762489318848
2.8319973945617676:	encoder;	counts,	18
2.8395538330078125:	imu;	yaw,	-4.570580959320068
2.852092981338501:	imu;	yaw,	-4.56621789932251
2.8545007705688477:	imu;	yaw,	-4.561854362487793
2.860023260116577:	imu;	yaw,	-4.560763359069824
2.870713233947754:	imu;	yaw,	-4.559672832489014
2.879455804824829:	altitude;	altitude,	74.38001251220703
2.8840227127075195:	imu;	yaw,	-4.557490825653076
2.8880627155303955:	encoder;	counts,	19
2.9006195068359375:	imu;	yaw,	-4.556400299072266
2.9209821224212646:	altitude;	altitude,	74.1554183959961
2.925816535949707:	imu;	yaw,	-4.559672832489014
2.9321014881134033:	imu;	yaw,	-4.560763359069824
2.941115379333496:	imu;	yaw,	-4.561854362487793
2.9451870918273926:	encoder;	counts,	20
2.9508635997772217:	imu;	yaw,	-4.565126895904541
2.9617602825164795:	imu;	yaw,	-4.56621789932251
2.9720335006713867:	imu;	yaw,	-4.565126895904541
2.979339599609375:	altitude;	altitude,	74.26903533935547
2.982966661453247:	imu;	yaw,	-4.564035892486572
2.991851329803467:	imu;	yaw,	-4.562945365905762
3.001039743423462:	imu;	yaw,	-4.560763359069824
3.006901264190674:	encoder;	counts,	21
3.01008939743042:	imu;	yaw,	-4.559672832489014
3.021043539047241:	imu;	yaw,	-4.558581829071045
3.0301804542541504:	altitude;	altitude,	74.39321899414062
3.05204701423645:	imu;	yaw,	-4.557490825653076
3.061786651611328:	imu;	yaw,	-4.556400299072266
3.066149950027466:	encoder;	counts,	22
3.0731236934661865:	imu;	yaw,	-4.555309295654297
3.082054376602173:	altitude;	altitude,	74.22411346435547
3.0850727558135986:	imu;	yaw,	-4.554218769073486
3.09100604057312:	imu;	yaw,	-4.553127765655518
3.1023898124694824:	imu;	yaw,	-4.552036762237549
3.1134116649627686:	imu;	yaw,	-4.550946235656738
3.118135452270508:	encoder;	counts,	23
3.1242196559906006:	imu;	yaw,	-4.552036762237549
3.1330716609954834:	altitude;	altitude,	74.25318145751953
3.1416175365448:	imu;	yaw,	-4.5498552322387695
3.151181936264038:	imu;	yaw,	-4.548764228820801
3.1613833904266357:	imu;	yaw,	-4.54767370223999
3.1710002422332764:	encoder;	counts,	24
3.1759276390075684:	imu;	yaw,	-4.545491695404053
3.1833860874176025:	imu;	yaw,	-4.542219161987305
3.1957664489746094:	altitude;	altitude,	74.32188415527344
3.201754570007324:	imu;	yaw,	-4.538947105407715
3.2078967094421387:	imu;	yaw,	-4.535674571990967
3.2126336097717285:	imu;	yaw,	-4.533492565155029
3.223271369934082:	imu;	yaw,	-4.532402038574219
3.2305245399475098:	encoder;	counts,	25
3.2428619861602783:	imu;	yaw,	-4.533492565155029
3.2478644847869873:	altitude;	altitude,	74.01537322998047
3.2531869411468506:	imu;	yaw,	-4.534583568572998
3.263079881668091:	imu;	yaw,	-4.535674571990967
3.273287057876587:	imu;	yaw,	-4.536765098571777
3.282566785812378:	imu;	yaw,	-4.538947105407715
3.2874844074249268:	encoder;	counts,	26
3.2929913997650146:	imu;	yaw,	-4.540037631988525
3.294739246368408:	servo;	-1
3.2972512245178223:	altitude;	altitude,	74.16862487792969
3.300698757171631:	servo;	-2
3.304854154586792:	imu;	yaw,	-4.541128635406494
3.3073415756225586:	servo;	-3
3.3144309520721436:	imu;	yaw,	-4.542219161987305
3.3155953884124756:	servo;	-4
3.322763204574585:	servo;	-6
3.3253557682037354:	imu;	yaw,	-4.541128635406494
3.3290741443634033:	servo;	-7
3.3330867290496826:	imu;	yaw,	-4.540037631988525
3.335242986679077:	servo;	-8
3.341226577758789:	servo;	-9
3.344517946243286:	encoder;	counts,	27
3.3522918224334717:	imu;	yaw,	-4.538947105407715
3.358264923095703:	imu;	yaw,	-4.536765098571777
3.36271595954895:	imu;	yaw,	-4.534583568572998
3.3726866245269775:	altitude;	altitude,	74.0074462890625
3.384922504425049:	imu;	yaw,	-4.532402038574219
3.3924031257629395:	imu;	yaw,	-4.53131103515625
3.40252947807312:	imu;	yaw,	-4.532402038574219
3.408384084701538:	encoder;	counts,	28
3.418083667755127:	altitude;	altitude,	73.97309875488281
3.4235033988952637:	imu;	yaw,	-4.53131103515625
3.4333276748657227:	imu;	yaw,	-4.530220031738281
3.443180561065674:	imu;	yaw,	-4.529129505157471
3.4535160064697266:	imu;	yaw,	-4.526947975158691
3.465278148651123:	encoder;	counts,	29
3.4714765548706055:	altitude;	altitude,	74.05765533447266
3.476925849914551:	imu;	yaw,	-4.530220031738281
3.485387086868286:	imu;	yaw,	-4.529129505157471
3.493190288543701:	imu;	yaw,	-4.526947975158691
3.5164060592651367:	encoder;	counts,	30
