8.000306606292725:	imu;	yaw,	0.008726646192371845
8.039710283279419:	altitude;	altitude,	-11.816248893737793
8.043355703353882:	servo;	-1
8.05523133277893:	servo;	-2
8.065064430236816:	altitude;	altitude,	-11.795110702514648
8.113295555114746:	servo;	-1
8.11459231376648:	altitude;	altitude,	-11.684135437011719
8.121329545974731:	imu;	yaw,	0.009817477315664291
8.122040271759033:	servo;	-2
8.151145458221436:	imu;	yaw,	0.008726646192371845
8.186049699783325:	altitude;	altitude,	-11.75283432006836
8.20461130142212:	servo;	-6
8.214678525924683:	altitude;	altitude,	-12.117467880249023
8.216756105422974:	servo;	-9
8.241470575332642:	servo;	-14
8.253540754318237:	servo;	-19
8.259434700012207:	altitude;	altitude,	-11.668281555175781
8.262595891952515:	servo;	-21
8.271923065185547:	servo;	-23
8.280945777893066:	servo;	-24
8.294350624084473:	motors;	-100
8.338160991668701:	altitude;	altitude,	-11.552021026611328
8.339042663574219:	imu;	yaw,	0.007635816000401974
8.377801179885864:	imu;	yaw,	0.006544984877109528
8.378401041030884:	imu;	yaw,	0.005454154219478369
8.381180763244629:	altitude;	altitude,	-11.662997245788574
8.395406007766724:	imu;	yaw,	0.003272492438554764
8.407789707183838:	imu;	yaw,	0.0021816615480929613
8.437676191329956:	servo;	-23
8.443135738372803:	servo;	-19
8.449780941009521:	servo;	-12
8.459684133529663:	servo;	-5
8.468724727630615:	servo;	-3
8.501564264297485:	motors;	0
8.50638222694397:	servo;	-2
8.647829532623291:	gps;	lat,	42.427494049072266|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
8.67605972290039:	imu;	yaw,	0.003272492438554764
8.718262434005737:	altitude;	altitude,	-11.795110702514648
8.730343341827393:	imu;	yaw,	0.004363323096185923
8.743937730789185:	imu;	yaw,	0.005454154219478369
8.752341747283936:	imu;	yaw,	0.007635816000401974
8.778455257415771:	imu;	yaw,	0.008726646192371845
8.779588460922241:	imu;	yaw,	0.009817477315664291
8.786113739013672:	imu;	yaw,	0.010908308438956738
8.794779300689697:	altitude;	altitude,	-11.742265701293945
8.802767992019653:	imu;	yaw,	0.014180800877511501
8.838957071304321:	imu;	yaw,	0.015271632000803947
8.840247631072998:	imu;	yaw,	0.01636246219277382
8.841378688812256:	imu;	yaw,	0.01745329238474369
8.854144811630249:	imu;	yaw,	0.019634954631328583
8.867143154144287:	altitude;	altitude,	-11.715842247009277
8.893682479858398:	imu;	yaw,	0.020725784823298454
8.91832160949707:	altitude;	altitude,	-11.699989318847656
8.96281909942627:	altitude;	altitude,	-11.800395011901855
8.966283559799194:	imu;	yaw,	0.021816616877913475
9.00183892250061:	imu;	yaw,	0.022907447069883347
9.005730390548706:	imu;	yaw,	0.023998279124498367
9.015975713729858:	imu;	yaw,	0.02508910745382309
9.023678064346313:	imu;	yaw,	0.027270769700407982
9.035499334335327:	altitude;	altitude,	-11.784542083740234
9.063774108886719:	imu;	yaw,	0.03163409233093262
9.064252376556396:	imu;	yaw,	0.03272492438554764
9.067316770553589:	imu;	yaw,	0.03163409233093262
9.07441782951355:	imu;	yaw,	0.030543264001607895
9.08357048034668:	imu;	yaw,	0.029452431946992874
9.093757629394531:	imu;	yaw,	0.028361601755023003
9.120083808898926:	imu;	yaw,	0.027270769700407982
9.120518684387207:	imu;	yaw,	0.02617993950843811
9.133409261703491:	imu;	yaw,	0.02508910745382309
9.144718647003174:	altitude;	altitude,	-11.689419746398926
9.153363704681396:	imu;	yaw,	0.023998279124498367
9.182945966720581:	imu;	yaw,	0.022907447069883347
9.183658123016357:	imu;	yaw,	0.021816616877913475
9.187809467315674:	imu;	yaw,	0.01854412443935871
9.195581912994385:	imu;	yaw,	0.01636246219277382
9.203584671020508:	imu;	yaw,	0.015271632000803947
9.227850675582886:	altitude;	altitude,	-11.826818466186523
9.244379997253418:	imu;	yaw,	0.01636246219277382
9.271601676940918:	imu;	yaw,	0.01745329238474369
9.272112607955933:	imu;	yaw,	0.01854412443935871
9.276437282562256:	imu;	yaw,	0.019634954631328583
9.327842235565186:	altitude;	altitude,	-11.573160171508789
9.330201387405396:	altitude;	altitude,	-11.673565864562988
9.337611436843872:	imu;	yaw,	0.01854412443935871
9.38183307647705:	altitude;	altitude,	-11.689419746398926
9.40756344795227:	altitude;	altitude,	-11.800395011901855
9.530499458312988:	motors;	100
9.534205198287964:	gps;	lat,	42.427494049072266|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
9.5600106716156:	servo;	-1
9.584859132766724:	altitude;	altitude,	-11.810964584350586
9.588870763778687:	servo;	0
9.59823203086853:	imu;	yaw,	0.01745329238474369
9.647029161453247:	imu;	yaw,	0.015271632000803947
9.651348352432251:	imu;	yaw,	0.013089969754219055
9.653570652008057:	imu;	yaw,	0.014180800877511501
9.65935754776001:	imu;	yaw,	0.01636246219277382
9.669024229049683:	altitude;	altitude,	-12.038200378417969
9.676164150238037:	imu;	yaw,	0.015271632000803947
9.697789192199707:	imu;	yaw,	0.014180800877511501
9.70252251625061:	servo;	3
9.710375547409058:	servo;	4
9.717592000961304:	imu;	yaw,	0.015271632000803947
