2.891129493713379:	servo;	-20
2.8938467502593994:	imu;	yaw,	4.778929710388184
2.919550895690918:	encoder;	counts,	6
2.920017957687378:	imu;	yaw,	4.780020713806152
2.92372465133667:	servo;	-19
2.932379961013794:	servo;	-20
2.9390125274658203:	servo;	-19
2.942507266998291:	imu;	yaw,	4.783292770385742
2.9461891651153564:	servo;	-20
2.960014581680298:	imu;	yaw,	4.78547477722168
2.9609057903289795:	servo;	-19
2.98374080657959:	altitude;	altitude,	-24.03940773010254
2.9842820167541504:	imu;	yaw,	4.792019844055176
2.9924447536468506:	encoder;	counts,	7
3.0010018348693848:	imu;	yaw,	4.796382904052734
3.008434295654297:	imu;	yaw,	4.798564434051514
3.05893874168396:	servo;	-18
3.065260410308838:	servo;	-16
3.1226658821105957:	servo;	-15
3.1287949085235596:	servo;	-14
3.1547653675079346:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
3.155226945877075:	encoder;	counts,	9
3.157562255859375:	imu;	yaw,	4.85637903213501
3.1593985557556152:	servo;	-11
3.1651217937469482:	servo;	-9
3.171419858932495:	servo;	-8
3.1793107986450195:	imu;	yaw,	4.861833095550537
3.2150802612304688:	encoder;	counts,	10
3.2156076431274414:	imu;	yaw,	4.865105628967285
3.2248005867004395:	imu;	yaw,	4.869468688964844
3.2339062690734863:	imu;	yaw,	4.8738322257995605
3.2425243854522705:	imu;	yaw,	4.878195762634277
3.252596855163574:	imu;	yaw,	4.881467819213867
3.277132034301758:	imu;	yaw,	4.885831356048584
3.278047800064087:	imu;	yaw,	4.890194892883301
3.286283016204834:	encoder;	counts,	11
3.2984254360198975:	imu;	yaw,	4.894557476043701
3.3063602447509766:	imu;	yaw,	4.896739482879639
3.31723952293396:	imu;	yaw,	4.898921012878418
3.3275668621063232:	imu;	yaw,	4.902193546295166
3.3550360202789307:	altitude;	altitude,	-24.63656234741211
3.3554880619049072:	imu;	yaw,	4.908738613128662
3.3621225357055664:	encoder;	counts,	12
3.372805118560791:	imu;	yaw,	4.907647609710693
3.3800854682922363:	imu;	yaw,	4.906557083129883
3.389589309692383:	imu;	yaw,	4.905466079711914
3.418522834777832:	imu;	yaw,	4.904375076293945
3.4195713996887207:	imu;	yaw,	4.903284549713135
3.428701400756836:	encoder;	counts,	13
3.4416613578796387:	imu;	yaw,	4.904375076293945
3.4769582748413086:	altitude;	altitude,	-24.625991821289062
3.4779293537139893:	imu;	yaw,	4.905466079711914
3.485513210296631:	imu;	yaw,	4.907647609710693
3.4904870986938477:	imu;	yaw,	4.908738613128662
3.494107961654663:	servo;	-9
3.501997947692871:	encoder;	counts,	14
3.51535701751709:	servo;	-8
3.5199942588806152:	imu;	yaw,	4.9141926765441895
3.5422122478485107:	servo;	-11
3.5461225509643555:	imu;	yaw,	4.916374206542969
3.546558380126953:	imu;	yaw,	4.915283679962158
3.550926685333252:	servo;	-16
3.5526700019836426:	altitude;	altitude,	-24.652416229248047
3.555742025375366:	servo;	-18
3.559283971786499:	imu;	yaw,	4.916374206542969
3.5627803802490234:	servo;	-19
3.5954325199127197:	encoder;	counts,	15
3.596470594406128:	imu;	yaw,	4.9174652099609375
3.6087141036987305:	imu;	yaw,	4.918556213378906
3.60952091217041:	imu;	yaw,	4.9207377433776855
3.617335081100464:	servo;	-20
3.6192352771759033:	imu;	yaw,	4.921828746795654
3.629802703857422:	encoder;	counts,	16
3.6389245986938477:	imu;	yaw,	4.924010276794434
3.6507351398468018:	imu;	yaw,	4.926191806793213
3.678253412246704:	imu;	yaw,	4.927282810211182
3.6787524223327637:	imu;	yaw,	4.928373336791992
3.689518690109253:	imu;	yaw,	4.929464340209961
3.6905503273010254:	servo;	-19
3.6926522254943848:	encoder;	counts,	17
3.702873468399048:	servo;	-17
3.704432249069214:	imu;	yaw,	4.93164587020874
3.729888916015625:	servo;	-16
3.731494903564453:	imu;	yaw,	4.933827877044678
3.7344446182250977:	imu;	yaw,	4.940372943878174
3.740297317504883:	imu;	yaw,	4.942554473876953
3.753255605697632:	imu;	yaw,	4.9480085372924805
3.7543647289276123:	servo;	-15
3.762646198272705:	encoder;	counts,	18
3.763303518295288:	servo;	-14
3.7948198318481445:	servo;	-13
3.7960622310638428:	imu;	yaw,	4.957826137542725
3.796567440032959:	imu;	yaw,	4.960007667541504
3.799154281616211:	imu;	yaw,	4.961098670959473
3.8019721508026123:	servo;	-11
3.806866407394409:	altitude;	altitude,	-25.312984466552734
3.808847188949585:	servo;	-9
3.8200461864471436:	imu;	yaw,	4.967643737792969
3.8207616806030273:	servo;	-7
3.825713634490967:	checkpoint;	lat,	42.4273567199707|	num,	0|	long,	-71.42085266113281
3.8513267040252686:	servo;	-5
3.8562426567077637:	encoder;	counts,	19
3.8570668697357178:	imu;	yaw,	4.973097801208496
3.8641958236694336:	imu;	yaw,	4.975279331207275
3.872471809387207:	imu;	yaw,	4.976370334625244
3.8812265396118164:	imu;	yaw,	4.986187934875488
3.89404559135437:	imu;	yaw,	4.988369464874268
3.9249889850616455:	encoder;	counts,	20
3.925628423690796:	imu;	yaw,	4.993823528289795
3.9260380268096924:	imu;	yaw,	4.996005058288574
3.9323318004608154:	imu;	yaw,	4.997096061706543
3.9420583248138428:	imu;	yaw,	4.998187065124512
3.9503369331359863:	imu;	yaw,	5.000368595123291
3.98371958732605:	encoder;	counts,	21
3.984506130218506:	imu;	yaw,	5.004732131958008
3.9912257194519043:	altitude;	altitude,	-19.753639221191406
3.995871067047119:	imu;	yaw,	5.005822658538818
4.003369092941284:	imu;	yaw,	5.006913661956787
4.011112213134766:	imu;	yaw,	5.009095191955566
4.222628355026245:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
4.242733716964722:	encoder;	counts,	25
4.248559951782227:	imu;	yaw,	5.013458251953125
4.250979900360107:	servo;	-6
4.253568649291992:	imu;	yaw,	5.012367248535156
4.265157699584961:	servo;	-7
4.295218467712402:	imu;	yaw,	5.013458251953125
4.298168420791626:	encoder;	counts,	26
4.309186220169067:	imu;	yaw,	5.014549255371094
4.315061330795288:	altitude;	altitude,	-19.711362838745117
4.3244569301605225:	imu;	yaw,	5.015639781951904
4.351205825805664:	encoder;	counts,	27
4.3554487228393555:	imu;	yaw,	5.014549255371094
4.361386060714722:	imu;	yaw,	5.013458251953125
4.371647357940674:	imu;	yaw,	5.012367248535156
4.401257276535034:	altitude;	altitude,	-19.58453369140625
4.4016828536987305:	imu;	yaw,	5.011276721954346
4.411973237991333:	encoder;	counts,	28
4.420710325241089:	imu;	yaw,	5.009095191955566
4.43359112739563:	imu;	yaw,	5.010186195373535
4.461956977844238:	imu;	yaw,	5.008004188537598
4.4624574184417725:	imu;	yaw,	5.009095191955566
4.465074062347412:	encoder;	counts,	29
4.506115436553955:	servo;	-8
4.509636640548706:	altitude;	altitude,	-19.468273162841797
4.515825986862183:	imu;	yaw,	5.010186195373535
4.516354322433472:	imu;	yaw,	5.012367248535156
4.52594780921936:	encoder;	counts,	30
4.533719778060913:	imu;	yaw,	5.015639781951904
4.555329322814941:	imu;	yaw,	5.014549255371094
4.5782952308654785:	altitude;	altitude,	-19.568679809570312
4.584494113922119:	imu;	yaw,	5.013458251953125
4.595525026321411:	encoder;	counts,	31
4.628898620605469:	imu;	yaw,	5.011276721954346
4.629520654678345:	imu;	yaw,	5.009095191955566
4.633059024810791:	imu;	yaw,	5.011276721954346
4.64355206489563:	encoder;	counts,	32
4.653700590133667:	imu;	yaw,	5.015639781951904
4.662188529968262:	imu;	yaw,	5.016730785369873
4.682873725891113:	imu;	yaw,	5.017821788787842
