2.7850098609924316:	altitude;	altitude,	-26.45444679260254
2.8127856254577637:	altitude;	altitude,	-26.23777961730957
2.844046115875244:	altitude;	altitude,	-26.23777961730957
2.8742659091949463:	altitude;	altitude,	-26.28005599975586
2.9031946659088135:	altitude;	altitude,	-26.332901000976562
2.934688091278076:	altitude;	altitude,	-26.449161529541016
2.962531089782715:	altitude;	altitude,	-26.21135711669922
2.995175838470459:	altitude;	altitude,	-26.079242706298828
3.0259511470794678:	altitude;	altitude,	-26.19550323486328
3.0625903606414795:	altitude;	altitude,	-26.179649353027344
3.09549617767334:	altitude;	altitude,	-26.443878173828125
3.1257476806640625:	altitude;	altitude,	-26.443878173828125
3.1545276641845703:	altitude;	altitude,	-26.396316528320312
3.1855814456939697:	altitude;	altitude,	-26.290624618530273
3.214374303817749:	altitude;	altitude,	-26.449161529541016
3.2472617626190186:	altitude;	altitude,	-26.253633499145508
3.2770986557006836:	altitude;	altitude,	-26.264202117919922
3.3051228523254395:	altitude;	altitude,	-26.264202117919922
3.336521863937378:	altitude;	altitude,	-26.338186264038086
3.3654325008392334:	altitude;	altitude,	-26.406885147094727
3.401808023452759:	altitude;	altitude,	-26.32233238220215
3.432994842529297:	altitude;	altitude,	-26.449161529541016
3.4633617401123047:	altitude;	altitude,	-26.39103126525879
3.494544506072998:	altitude;	altitude,	-26.327617645263672
3.525956869125366:	altitude;	altitude,	-26.121519088745117
3.557239055633545:	altitude;	altitude,	-26.179649353027344
3.587198257446289:	altitude;	altitude,	-26.179649353027344
3.617591381072998:	altitude;	altitude,	-26.359325408935547
3.6491336822509766:	altitude;	altitude,	-26.364608764648438
3.680635929107666:	altitude;	altitude,	-26.681682586669922
3.7076680660247803:	altitude;	altitude,	-26.32233238220215
3.739224433898926:	altitude;	altitude,	-26.602413177490234
3.774463415145874:	altitude;	altitude,	-26.686965942382812
3.80574107170105:	altitude;	altitude,	-26.517860412597656
3.832090377807617:	altitude;	altitude,	-26.517860412597656
3.858543872833252:	altitude;	altitude,	-26.364608764648438
3.861485719680786:	servo;	-1
3.868734359741211:	servo;	-2
3.897623062133789:	altitude;	altitude,	-26.37517738342285
3.9289000034332275:	altitude;	altitude,	-26.37517738342285
3.9578347206115723:	altitude;	altitude,	-26.449161529541016
3.9903059005737305:	altitude;	altitude,	-26.34347152709961
4.019147872924805:	altitude;	altitude,	-26.433307647705078
4.050835371017456:	altitude;	altitude,	-26.41745376586914
4.081017017364502:	altitude;	altitude,	-26.41745376586914
4.1161439418792725:	altitude;	altitude,	-26.34347152709961
4.148752927780151:	altitude;	altitude,	-26.443878173828125
4.176227807998657:	altitude;	altitude,	-26.30119514465332
4.205408573150635:	altitude;	altitude,	-26.34347152709961
4.233882427215576:	altitude;	altitude,	-26.401599884033203
4.260064363479614:	altitude;	altitude,	-26.401599884033203
4.292044401168823:	altitude;	altitude,	-26.517860412597656
4.320743560791016:	altitude;	altitude,	-26.443878173828125
4.352451324462891:	altitude;	altitude,	-26.45444679260254
4.3831946849823:	altitude;	altitude,	-26.517860412597656
4.410742521286011:	altitude;	altitude,	-26.264202117919922
4.447639465332031:	altitude;	altitude,	-26.380462646484375
4.472343921661377:	altitude;	altitude,	-26.380462646484375
4.5040693283081055:	altitude;	altitude,	-26.41745376586914
4.5339319705963135:	altitude;	altitude,	-26.48086929321289
4.561375379562378:	altitude;	altitude,	-26.354040145874023
4.59284520149231:	altitude;	altitude,	-26.30119514465332
4.620830059051514:	altitude;	altitude,	-26.428024291992188
4.654313802719116:	altitude;	altitude,	-26.41745376586914
4.684828996658325:	altitude;	altitude,	-26.41745376586914
4.713723659515381:	altitude;	altitude,	-26.19550323486328
4.743974208831787:	altitude;	altitude,	-26.142658233642578
4.77250075340271:	altitude;	altitude,	-26.52314567565918
4.807622194290161:	altitude;	altitude,	-26.269487380981445
4.836582899093628:	altitude;	altitude,	-26.290624618530273
4.864100933074951:	altitude;	altitude,	-26.512577056884766
4.895702123641968:	altitude;	altitude,	-26.56542205810547
4.923006772994995:	altitude;	altitude,	-26.332901000976562
4.95475435256958:	altitude;	altitude,	-26.443878173828125
4.986066579818726:	altitude;	altitude,	-26.401599884033203
5.013403654098511:	altitude;	altitude,	-26.25891876220703
5.04518985748291:	altitude;	altitude,	-26.10038185119629
5.073672294616699:	altitude;	altitude,	-26.10038185119629
5.106604814529419:	altitude;	altitude,	-26.45444679260254
5.145460605621338:	altitude;	altitude,	-26.48086929321289
5.17583703994751:	altitude;	altitude,	-26.422739028930664
5.206778049468994:	altitude;	altitude,	-26.290624618530273
5.235856294631958:	altitude;	altitude,	-26.428024291992188
5.2646849155426025:	altitude;	altitude,	-26.332901000976562
5.297239303588867:	altitude;	altitude,	-26.28005599975586
5.324989557266235:	altitude;	altitude,	-26.428024291992188
5.357822895050049:	altitude;	altitude,	-26.428024291992188
5.3879053592681885:	altitude;	altitude,	-26.48615264892578
5.418058156967163:	altitude;	altitude,	-26.61298370361328
5.4483935832977295:	altitude;	altitude,	-26.3857479095459
5.481698513031006:	altitude;	altitude,	-26.496723175048828
5.5107057094573975:	altitude;	altitude,	-26.37517738342285
5.539809226989746:	altitude;	altitude,	-26.30119514465332
5.567234516143799:	altitude;	altitude,	-26.30119514465332
5.598880290985107:	altitude;	altitude,	-26.607698440551758
5.62749171257019:	altitude;	altitude,	-26.41745376586914
5.658616781234741:	altitude;	altitude,	-26.359325408935547
5.689875602722168:	altitude;	altitude,	-26.401599884033203
5.717884063720703:	altitude;	altitude,	-26.30119514465332
5.7507171630859375:	altitude;	altitude,	-26.428024291992188
5.778215646743774:	altitude;	altitude,	-26.428024291992188
5.810725688934326:	altitude;	altitude,	-26.30119514465332
5.847259998321533:	altitude;	altitude,	-26.34347152709961
5.878475189208984:	altitude;	altitude,	-26.30119514465332
5.909630298614502:	altitude;	altitude,	-26.470300674438477
5.9398109912872314:	altitude;	altitude,	-26.317047119140625
5.968733549118042:	altitude;	altitude,	-26.359325408935547
6.0001068115234375:	altitude;	altitude,	-26.45973014831543
6.029343843460083:	altitude;	altitude,	-26.45973014831543
6.062256097793579:	altitude;	altitude,	-26.221925735473633
6.092195987701416:	altitude;	altitude,	-26.30647850036621
6.120664358139038:	altitude;	altitude,	-26.470300674438477
6.150761127471924:	altitude;	altitude,	-26.433307647705078
6.184706449508667:	altitude;	altitude,	-26.41745376586914
6.213941335678101:	altitude;	altitude,	-26.45444679260254
