0.15856671333312988:	gps;	lat,	42.427337646484375|	long,	-71.42072296142578|	altitude,	140.5|	found,	10
0.1593341827392578:	imu;	yaw,	6.014841079711914
0.15989470481872559:	encoder;	counts,	0
0.16091084480285645:	altitude;	altitude,	-24.752822875976562
0.16173958778381348:	altitude;	altitude,	-24.752822875976562
0.1643819808959961:	gps;	lat,	42.427337646484375|	long,	-71.42072296142578|	altitude,	140.5|	found,	10
0.16492557525634766:	altitude;	altitude,	-24.6788387298584
0.1657085418701172:	altitude;	altitude,	-24.810951232910156
0.1664881706237793:	altitude;	altitude,	-24.694692611694336
0.1670668125152588:	altitude;	altitude,	-24.890220642089844
0.16783785820007324:	altitude;	altitude,	-24.890220642089844
0.16852545738220215:	altitude;	altitude,	-24.88493537902832
0.1704235076904297:	altitude;	altitude,	-24.85851287841797
0.17143702507019043:	altitude;	altitude,	-24.7316837310791
0.17204856872558594:	altitude;	altitude,	-24.99062728881836
0.18242883682250977:	altitude;	altitude,	-24.81623649597168
0.19974279403686523:	altitude;	altitude,	-24.958919525146484
0.22738265991210938:	altitude;	altitude,	-24.958919525146484
0.25688719749450684:	servo;	0
0.2582509517669678:	altitude;	altitude,	-24.964202880859375
0.26166510581970215:	motors;	0
0.284562349319458:	motors;	100
0.29044556617736816:	altitude;	altitude,	-24.79509735107422
0.32053375244140625:	altitude;	altitude,	-24.7316837310791
0.3363666534423828:	servo;	-6
0.3555634021759033:	altitude;	altitude,	-24.694692611694336
0.3873424530029297:	altitude;	altitude,	-24.800382614135742
0.4146237373352051:	altitude;	altitude,	-24.916643142700195
0.4165515899658203:	servo;	-5
0.4235684871673584:	servo;	-4
0.44438815116882324:	servo;	-3
0.4578549861907959:	altitude;	altitude,	-24.980056762695312
0.48616838455200195:	altitude;	altitude,	-25.059326171875
0.5150625705718994:	altitude;	altitude,	-24.980056762695312
0.5244977474212646:	servo;	-1
0.5318050384521484:	servo;	0
0.5569939613342285:	altitude;	altitude,	-24.958919525146484
0.5868668556213379:	altitude;	altitude,	-24.900789260864258
0.615462064743042:	altitude;	altitude,	-24.900789260864258
0.647242546081543:	altitude;	altitude,	-24.88493537902832
0.7149081230163574:	gps;	lat,	42.42733383178711|	long,	-71.42072296142578|	altitude,	140.5|	found,	10
0.7300302982330322:	altitude;	altitude,	-25.180870056152344
0.7597808837890625:	altitude;	altitude,	-25.08574867248535
0.7889142036437988:	altitude;	altitude,	-25.08574867248535
0.8178298473358154:	altitude;	altitude,	-24.9694881439209
0.8487758636474609:	altitude;	altitude,	-25.207292556762695
0.8782730102539062:	altitude;	altitude,	-25.138593673706055
0.9091198444366455:	altitude;	altitude,	-25.254854202270508
0.9466753005981445:	altitude;	altitude,	-25.10688591003418
0.9768438339233398:	altitude;	altitude,	-25.12802505493164
1.0100765228271484:	altitude;	altitude,	-24.958919525146484
1.0396161079406738:	altitude;	altitude,	-24.890220642089844
1.0690362453460693:	altitude;	altitude,	-24.890220642089844
1.0836503505706787:	servo;	1
1.0965445041656494:	servo;	4
1.1011953353881836:	altitude;	altitude,	-24.9694881439209
1.1238610744476318:	servo;	5
1.1325299739837646:	altitude;	altitude,	-25.03818702697754
1.1358428001403809:	servo;	7
1.1442270278930664:	servo;	9
1.1561846733093262:	servo;	10
1.1641440391540527:	servo;	13
1.1676390171051025:	altitude;	altitude,	-25.13330841064453
1.2022004127502441:	altitude;	altitude,	-24.863798141479492
1.2040481567382812:	servo;	16
1.2183809280395508:	imu;	yaw,	6.0137505531311035
1.223616600036621:	servo;	18
1.2316405773162842:	altitude;	altitude,	-24.66298484802246
1.2360799312591553:	servo;	19
1.2442290782928467:	servo;	20
1.2646818161010742:	altitude;	altitude,	-24.911357879638672
1.2830021381378174:	imu;	yaw,	6.014841079711914
1.2840423583984375:	servo;	22
1.2966179847717285:	servo;	23
1.2999980449676514:	altitude;	altitude,	-24.932497024536133
1.3046214580535889:	servo;	24
1.3190605640411377:	imu;	yaw,	6.015932083129883
1.3319284915924072:	altitude;	altitude,	-25.08574867248535
1.3384056091308594:	imu;	yaw,	6.017022609710693
1.3597993850708008:	imu;	yaw,	6.01811408996582
1.36946439743042:	altitude;	altitude,	-25.14916229248047
1.3898563385009766:	imu;	yaw,	6.019204139709473
1.402543544769287:	altitude;	altitude,	-25.075180053710938
1.4049644470214844:	servo;	23
1.4128015041351318:	servo;	22
1.418933391571045:	servo;	20
1.444572925567627:	altitude;	altitude,	-24.974773406982422
1.4459493160247803:	servo;	16
1.4529898166656494:	servo;	13
1.459468126296997:	servo;	-4
1.465515375137329:	servo;	-15
1.4725494384765625:	servo;	-17
1.4750785827636719:	altitude;	altitude,	-24.92192840576172
1.4785597324371338:	servo;	-19
1.484626293182373:	servo;	-23
1.4957339763641357:	servo;	-17
1.5044238567352295:	servo;	-3
1.5089354515075684:	motors;	0
1.5147545337677002:	servo;	0
1.518064022064209:	altitude;	altitude,	-25.10688591003418
1.521392583847046:	servo;	-2
1.5276217460632324:	servo;	0
1.531397819519043:	imu;	yaw,	6.01811408996582
1.5389721393585205:	imu;	yaw,	6.017022609710693
1.5493812561035156:	imu;	yaw,	6.015932083129883
1.5684442520141602:	altitude;	altitude,	-25.048755645751953
1.5901131629943848:	imu;	yaw,	6.017022609710693
1.6016159057617188:	altitude;	altitude,	-24.92721176147461
1.6114201545715332:	imu;	yaw,	6.015932083129883
1.6361982822418213:	altitude;	altitude,	-25.233715057373047
1.6519670486450195:	imu;	yaw,	6.017022609710693
1.8259611129760742:	gps;	lat,	42.42733383178711|	long,	-71.42073059082031|	altitude,	140.5|	found,	10
1.8328821659088135:	altitude;	altitude,	-24.92721176147461
1.8645892143249512:	altitude;	altitude,	-25.12802505493164
1.8948421478271484:	altitude;	altitude,	-25.043472290039062
1.9249372482299805:	altitude;	altitude,	-24.974773406982422
1.9536070823669434:	altitude;	altitude,	-24.974773406982422
1.984278917312622:	altitude;	altitude,	-25.10688591003418
2.0152547359466553:	altitude;	altitude,	-25.12802505493164
2.0316669940948486:	servo;	1
2.037656784057617:	servo;	5
2.044675350189209:	servo;	9
2.050523281097412:	altitude;	altitude,	-25.17030143737793
2.052600145339966:	servo;	13
2.058955192565918:	servo;	14
2.084440231323242:	servo;	19
2.085883855819702:	altitude;	altitude,	-25.011764526367188
2.092618227005005:	servo;	21
2.098849058151245:	servo;	24
2.1032867431640625:	motors;	-100
2.1242761611938477:	altitude;	altitude,	-24.937780380249023
2.1433331966400146:	imu;	yaw,	6.015932083129883
2.1524736881256104:	servo;	23
2.15726375579834:	motors;	0
2.163052797317505:	servo;	20
2.1646244525909424:	altitude;	altitude,	-24.974773406982422
2.169046401977539:	servo;	8
2.173682451248169:	motors;	100
2.179626703262329:	servo;	0
2.183978319168091:	imu;	yaw,	6.017022609710693
2.185173749923706:	servo;	-2
2.1901087760925293:	motors;	0
2.1948602199554443:	imu;	yaw,	6.01811408996582
2.1971049308776855:	servo;	0
2.214261293411255:	imu;	yaw,	6.019204139709473
2.2216761112213135:	altitude;	altitude,	-25.054040908813477
2.2331759929656982:	imu;	yaw,	6.0202956199646
2.2432291507720947:	imu;	yaw,	6.019204139709473
2.2576968669891357:	altitude;	altitude,	-24.88493537902832
2.2634761333465576:	imu;	yaw,	6.01811408996582
2.2837345600128174:	altitude;	altitude,	-24.974773406982422
2.3156232833862305:	imu;	yaw,	6.019204139709473
2.323126792907715:	altitude;	altitude,	-25.069894790649414
2.347214460372925:	altitude;	altitude,	-24.916643142700195
2.373340368270874:	altitude;	altitude,	-24.916643142700195
2.3986427783966064:	altitude;	altitude,	-24.943065643310547
2.4146218299865723:	imu;	yaw,	6.0202956199646
2.431844472885132:	altitude;	altitude,	-25.10160255432129
