0.14696693420410156:	gps;	lat,	42.427059173583984|	long,	-71.42091369628906|	altitude,	152.8000030517578|	found,	8
0.14750337600708008:	imu;	yaw,	4.508403778076172
0.14792346954345703:	encoder;	counts,	0
0.1484389305114746:	altitude;	altitude,	-19.95973777770996
0.1488344669342041:	altitude;	altitude,	-19.72193145751953
0.14920639991760254:	altitude;	altitude,	-20.033720016479492
0.14983487129211426:	altitude;	altitude,	-19.732501983642578
0.1501157283782959:	altitude;	altitude,	-19.732501983642578
0.15955162048339844:	altitude;	altitude,	-19.769493103027344
0.18480324745178223:	altitude;	altitude,	-19.917461395263672
0.2122197151184082:	altitude;	altitude,	-19.880468368530273
0.24413466453552246:	altitude;	altitude,	-19.89632225036621
0.2750356197357178:	altitude;	altitude,	-19.817054748535156
0.4365968704223633:	gps;	lat,	42.427059173583984|	long,	-71.42090606689453|	altitude,	152.3000030517578|	found,	8
0.44559359550476074:	altitude;	altitude,	-20.0284366607666
0.47715330123901367:	altitude;	altitude,	-20.0284366607666
0.5044856071472168:	altitude;	altitude,	-19.62681007385254
0.5358002185821533:	altitude;	altitude,	-20.102420806884766
0.5633790493011475:	altitude;	altitude,	-19.84876251220703
0.5985565185546875:	altitude;	altitude,	-19.89632225036621
0.6273975372314453:	altitude;	altitude,	-19.91217613220215
0.6562402248382568:	altitude;	altitude,	-19.774778366088867
0.6863720417022705:	altitude;	altitude,	-19.774778366088867
0.7152693271636963:	altitude;	altitude,	-19.780061721801758
0.7466435432434082:	altitude;	altitude,	-19.885753631591797
0.7767438888549805:	altitude;	altitude,	-19.832908630371094
0.8056633472442627:	altitude;	altitude,	-20.00201416015625
0.8368396759033203:	altitude;	altitude,	-19.986160278320312
0.8660662174224854:	altitude;	altitude,	-19.748355865478516
0.8987326622009277:	altitude;	altitude,	-19.748355865478516
0.9322972297668457:	altitude;	altitude,	-20.0284366607666
0.9584856033325195:	altitude;	altitude,	-19.928030014038086
0.9889771938323975:	altitude;	altitude,	-19.780061721801758
1.0164732933044434:	altitude;	altitude,	-19.917461395263672
1.0489091873168945:	altitude;	altitude,	-19.811769485473633
1.0807654857635498:	altitude;	altitude,	-19.880468368530273
1.1069812774658203:	altitude;	altitude,	-19.880468368530273
1.1393663883209229:	altitude;	altitude,	-19.917461395263672
1.168558120727539:	altitude;	altitude,	-19.98087501525879
1.199664831161499:	altitude;	altitude,	-19.811769485473633
1.2296040058135986:	altitude;	altitude,	-20.060142517089844
1.25899338722229:	altitude;	altitude,	-20.393070220947266
1.2940669059753418:	servo;	-4
1.29508376121521:	altitude;	altitude,	-20.419492721557617
1.2987608909606934:	motors;	0
1.3043766021728516:	servo;	-2
1.309920072555542:	servo;	-1
1.3167414665222168:	servo;	-2
1.3210673332214355:	motors;	100
1.3449337482452393:	servo;	-3
1.4051854610443115:	servo;	-4
1.4454269409179688:	servo;	-3
1.4532878398895264:	servo;	-1
1.4725964069366455:	motors;	-100
1.4782304763793945:	motors;	100
1.4849176406860352:	motors;	0
1.5019879341125488:	gps;	lat,	42.42706298828125|	long,	-71.42090606689453|	altitude,	151.8000030517578|	found,	8
1.533522129058838:	altitude;	altitude,	-20.13941192626953
1.5606744289398193:	altitude;	altitude,	-19.832908630371094
1.5907652378082275:	altitude;	altitude,	-19.84876251220703
1.6193606853485107:	altitude;	altitude,	-19.891036987304688
1.6524739265441895:	altitude;	altitude,	-19.780061721801758
1.682521104812622:	altitude;	altitude,	-19.901607513427734
1.7103309631347656:	altitude;	altitude,	-19.901607513427734
1.7423756122589111:	altitude;	altitude,	-19.891036987304688
1.775019884109497:	altitude;	altitude,	-20.04429054260254
1.804426670074463:	altitude;	altitude,	-20.023151397705078
1.8327834606170654:	altitude;	altitude,	-19.859331130981445
1.8617448806762695:	altitude;	altitude,	-19.790632247924805
1.8932392597198486:	altitude;	altitude,	-19.811769485473633
1.9209871292114258:	altitude;	altitude,	-19.811769485473633
1.9535446166992188:	altitude;	altitude,	-19.91217613220215
1.9836180210113525:	altitude;	altitude,	-19.822338104248047
2.0123085975646973:	altitude;	altitude,	-19.954452514648438
2.0437490940093994:	altitude;	altitude,	-19.922744750976562
2.0715720653533936:	altitude;	altitude,	-20.060142517089844
2.104607343673706:	altitude;	altitude,	-20.22396469116211
2.136676788330078:	altitude;	altitude,	-20.18168830871582
2.1632204055786133:	altitude;	altitude,	-20.18168830871582
2.1962475776672363:	altitude;	altitude,	-20.197542190551758
2.2239789962768555:	altitude;	altitude,	-20.11298942565918
2.256526231765747:	altitude;	altitude,	-20.054859161376953
2.2775189876556396:	altitude;	altitude,	-19.84876251220703
2.310774564743042:	gps;	lat,	42.42706298828125|	long,	-71.42090606689453|	altitude,	151.8000030517578|	found,	8
2.3139867782592773:	imu;	yaw,	4.509494781494141
2.32430362701416:	altitude;	altitude,	-19.891036987304688
2.3561360836029053:	altitude;	altitude,	-19.875185012817383
2.373582124710083:	imu;	yaw,	4.510585308074951
2.385159969329834:	altitude;	altitude,	-19.922744750976562
2.4150450229644775:	altitude;	altitude,	-19.922744750976562
2.424025297164917:	imu;	yaw,	4.51167631149292
2.434114694595337:	imu;	yaw,	4.513857841491699
2.4590389728546143:	altitude;	altitude,	-19.95973777770996
2.463052988052368:	imu;	yaw,	4.512767314910889
2.473437547683716:	imu;	yaw,	4.51167631149292
2.4851326942443848:	imu;	yaw,	4.510585308074951
2.499242067337036:	altitude;	altitude,	-20.04429054260254
2.5217247009277344:	altitude;	altitude,	-20.04429054260254
2.546297311782837:	imu;	yaw,	4.51167631149292
