1.0781943798065186:	servo;	2
1.0856964588165283:	servo;	8
1.0872466564178467:	imu;	yaw,	1.0253809690475464
1.0983812808990479:	servo;	15
1.1056978702545166:	altitude;	altitude,	-24.46217155456543
1.1065776348114014:	servo;	22
1.1110706329345703:	imu;	yaw,	1.0242900848388672
1.1179683208465576:	imu;	yaw,	1.0221084356307983
1.1205415725708008:	servo;	24
1.1247622966766357:	encoder;	counts,	6
1.1339807510375977:	imu;	yaw,	1.0199267864227295
1.137789249420166:	imu;	yaw,	1.0188359022140503
1.1473252773284912:	motors;	0
1.1496055126190186:	imu;	yaw,	1.0155634880065918
1.1557462215423584:	imu;	yaw,	1.013381838798523
1.1576783657073975:	motors;	100
1.1664235591888428:	imu;	yaw,	1.0122909545898438
1.1976463794708252:	servo;	23
1.206289291381836:	servo;	20
1.214700698852539:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.2175400257110596:	encoder;	counts,	7
1.2185473442077637:	servo;	17
1.2246489524841309:	imu;	yaw,	1.0024735927581787
1.2266700267791748:	servo;	16
1.2329859733581543:	altitude;	altitude,	-24.388187408447266
1.2343659400939941:	servo;	13
1.2405340671539307:	imu;	yaw,	0.9981101751327515
1.241626262664795:	servo;	11
1.247269630432129:	imu;	yaw,	0.9959285259246826
1.2502222061157227:	servo;	5
1.2560594081878662:	servo;	1
1.2623188495635986:	servo;	0
1.2668805122375488:	imu;	yaw,	0.9948377013206482
1.2678298950195312:	servo;	-3
1.2743537425994873:	servo;	-9
1.2781822681427002:	imu;	yaw,	0.9937468767166138
1.279264211654663:	servo;	-14
1.2863595485687256:	servo;	-22
1.2928581237792969:	servo;	-24
1.2944841384887695:	encoder;	counts,	8
1.3005805015563965:	imu;	yaw,	0.9915651679039001
1.3577532768249512:	motors;	-100
1.3765161037445068:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.3808016777038574:	encoder;	counts,	9
1.3876137733459473:	imu;	yaw,	0.9904743432998657
1.3974609375:	servo;	-23
1.400251865386963:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.4036588668823242:	encoder;	counts,	8
1.405641794204712:	servo;	-19
1.4115228652954102:	altitude;	altitude,	-24.641845703125
1.4153590202331543:	imu;	yaw,	0.9937468767166138
1.418243646621704:	servo;	-12
1.425842046737671:	servo;	-2
1.4278953075408936:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.43503999710083:	imu;	yaw,	0.9959285259246826
1.4382867813110352:	servo;	0
1.4413721561431885:	imu;	yaw,	0.997019350528717
1.4459216594696045:	servo;	6
1.4557549953460693:	encoder;	counts,	7
1.45808744430542:	servo;	13
1.4598057270050049:	imu;	yaw,	0.9992010593414307
1.465970754623413:	servo;	20
1.4700007438659668:	imu;	yaw,	1.0024735927581787
1.4776463508605957:	imu;	yaw,	1.0035643577575684
1.4784109592437744:	servo;	24
1.4894616603851318:	imu;	yaw,	1.0046552419662476
1.4962401390075684:	altitude;	altitude,	-24.826805114746094
1.5010724067687988:	imu;	yaw,	1.0068368911743164
1.5077450275421143:	imu;	yaw,	1.0090185403823853
1.5174086093902588:	imu;	yaw,	1.0101094245910645
1.5181801319122314:	motors;	0
1.525292158126831:	motors;	100
1.528768539428711:	imu;	yaw,	1.0122909545898438
1.5377357006072998:	imu;	yaw,	1.0144726037979126
1.5473527908325195:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.5508601665496826:	encoder;	counts,	8
1.5568876266479492:	imu;	yaw,	1.0155634880065918
1.5658066272735596:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.5699207782745361:	imu;	yaw,	1.0144726037979126
1.570819616317749:	servo;	23
1.5787928104400635:	servo;	20
1.5859463214874268:	servo;	17
1.5885717868804932:	altitude;	altitude,	-24.657699584960938
1.5979864597320557:	servo;	13
1.6060123443603516:	servo;	8
1.6077396869659424:	imu;	yaw,	1.011200189590454
1.6180975437164307:	imu;	yaw,	1.0090185403823853
1.618936538696289:	servo;	3
1.6263427734375:	servo;	0
1.6288678646087646:	imu;	yaw,	1.007927656173706
1.6378166675567627:	altitude;	altitude,	-24.673553466796875
1.638551950454712:	servo;	-3
1.64339017868042:	imu;	yaw,	1.0068368911743164
1.6547999382019043:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.6582701206207275:	encoder;	counts,	9
1.6650443077087402:	imu;	yaw,	1.0024735927581787
1.6659693717956543:	servo;	-14
1.6683592796325684:	imu;	yaw,	1.0002918243408203
1.6773886680603027:	servo;	-24
1.683833122253418:	imu;	yaw,	0.9981101751327515
1.688918113708496:	imu;	yaw,	0.9959285259246826
1.6986534595489502:	imu;	yaw,	0.9937468767166138
1.7060072422027588:	motors;	0
1.7083327770233154:	imu;	yaw,	0.9915651679039001
1.719099521636963:	encoder;	counts,	10
1.724233627319336:	altitude;	altitude,	-24.66298484802246
1.726315975189209:	motors;	-100
1.7277312278747559:	imu;	yaw,	0.9893835186958313
1.736396312713623:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.7421751022338867:	imu;	yaw,	0.9872018694877625
1.7535133361816406:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.7597026824951172:	imu;	yaw,	0.986111044883728
1.7668554782867432:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.7712795734405518:	imu;	yaw,	0.9839293360710144
1.7787017822265625:	imu;	yaw,	0.98283851146698
1.7823336124420166:	servo;	-22
1.7911317348480225:	servo;	-19
1.7984914779663086:	imu;	yaw,	0.9817476868629456
1.7998745441436768:	servo;	-17
1.80702805519104:	servo;	-11
1.8113832473754883:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.8178412914276123:	imu;	yaw,	0.98283851146698
1.8260769844055176:	servo;	-4
1.8284046649932861:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.8341660499572754:	imu;	yaw,	0.9817476868629456
1.8375489711761475:	servo;	13
1.8412854671478271:	altitude;	altitude,	-24.789813995361328
1.846322774887085:	servo;	16
1.8476190567016602:	encoder;	counts,	9
1.8524141311645508:	servo;	20
1.859360933303833:	imu;	yaw,	0.98283851146698
1.8607399463653564:	servo;	24
1.8797731399536133:	imu;	yaw,	0.9839293360710144
1.8901395797729492:	motors;	0
1.8925163745880127:	altitude;	altitude,	-24.57314682006836
1.9087395668029785:	encoder;	counts,	8
1.913806438446045:	motors;	100
1.9161994457244873:	imu;	yaw,	0.9850202202796936
1.9315407276153564:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
1.9387750625610352:	imu;	yaw,	0.9839293360710144
1.9477145671844482:	altitude;	altitude,	-24.509733200073242
1.9512512683868408:	imu;	yaw,	0.98283851146698
1.9597930908203125:	imu;	yaw,	0.9817476868629456
1.96213698387146:	servo;	23
1.970432996749878:	imu;	yaw,	0.9806569218635559
1.9800610542297363:	imu;	yaw,	0.9795660972595215
1.9861280918121338:	servo;	21
1.9900994300842285:	encoder;	counts,	9
1.9938602447509766:	servo;	20
1.996427059173584:	imu;	yaw,	0.9773844480514526
2.0004568099975586:	imu;	yaw,	0.9752027988433838
2.0014944076538086:	servo;	6
2.0078654289245605:	servo;	0
2.0124800205230713:	altitude;	altitude,	-24.826805114746094
2.017361879348755:	servo;	-4
2.019930601119995:	imu;	yaw,	0.9730210900306702
2.025609016418457:	servo;	-16
2.0304291248321533:	imu;	yaw,	0.9708394408226013
2.0384132862091064:	servo;	-21
2.0407280921936035:	imu;	yaw,	0.9686577916145325
2.0433413982391357:	servo;	-24
2.0499250888824463:	imu;	yaw,	0.9664760828018188
2.067333221435547:	imu;	yaw,	0.96429443359375
2.070420742034912:	encoder;	counts,	10
2.0763912200927734:	imu;	yaw,	0.9632036089897156
2.078547954559326:	motors;	0
2.0803277492523193:	imu;	yaw,	0.9621127843856812
2.086665391921997:	motors;	-100
2.0903210639953613:	imu;	yaw,	0.9610219597816467
2.1282644271850586:	gps;	lat,	42.42753601074219|	long,	-71.4208755493164|	altitude,	111.30000305175781|	found,	12
2.132172107696533:	encoder;	counts,	9
2.136815309524536:	altitude;	altitude,	-24.800382614135742
2.140603542327881:	imu;	yaw,	0.9555677771568298
2.158350706100464:	servo;	-2
2.1611032485961914:	imu;	yaw,	0.9566586017608643
2.165942907333374:	servo;	3
2.169741630554199:	altitude;	altitude,	-24.736968994140625
2.1754961013793945:	imu;	yaw,	0.9577494263648987
2.177858591079712:	servo;	13
2.1830825805664062:	imu;	yaw,	0.9588402509689331
2.187342405319214:	servo;	22
2.1976757049560547:	servo;	24
2.2011337280273438:	imu;	yaw,	0.9610219597816467
2.2087650299072266:	encoder;	counts,	8
2.2143261432647705:	imu;	yaw,	0.9621127843856812
2.222181558609009:	imu;	yaw,	0.96429443359375
2.2253501415252686:	altitude;	altitude,	-24.515016555786133
2.241443395614624:	imu;	yaw,	0.9653852581977844
2.2423486709594727:	servo;	0
2.2470781803131104:	motors;	0
2.250796318054199:	imu;	yaw,	0.9675669074058533
2.2542202472686768:	servo;	-1
2.2606923580169678:	imu;	yaw,	0.9697486162185669
2.2714130878448486:	altitude;	altitude,	-24.499164581298828
2.2775559425354004:	imu;	yaw,	0.9708394408226013
2.283200740814209:	encoder;	counts,	7
2.289750099182129:	imu;	yaw,	0.9719302654266357
2.29325532913208:	imu;	yaw,	0.9730210900306702
2.3018736839294434:	imu;	yaw,	0.9741119146347046
2.3103525638580322:	imu;	yaw,	0.9752027988433838
2.3180930614471436:	servo;	0
2.3247644901275635:	altitude;	altitude,	-24.652416229248047
2.325802803039551:	servo;	-1
2.3368747234344482:	imu;	yaw,	0.9741119146347046
2.3377745151519775:	servo;	0
2.3407809734344482:	imu;	yaw,	0.9719302654266357
2.3513741493225098:	imu;	yaw,	0.9708394408226013
2.3565332889556885:	encoder;	counts,	6
2.3589508533477783:	servo;	-1
2.3616549968719482:	imu;	yaw,	0.9686577916145325
2.3716514110565186:	imu;	yaw,	0.9675669074058533
