0.5588483810424805:	imu;	yaw,	1.4758942127227783
0.5629644393920898:	imu;	yaw,	1.4758942127227783
0.5706915855407715:	imu;	yaw,	1.4758942127227783
0.5759422779083252:	imu;	yaw,	1.4758942127227783
0.5822889804840088:	imu;	yaw,	1.4758942127227783
0.5896520614624023:	imu;	yaw,	1.4758942127227783
0.5955562591552734:	imu;	yaw,	1.4758942127227783
0.6022293567657471:	imu;	yaw,	1.4758942127227783
0.606544017791748:	imu;	yaw,	1.4758942127227783
0.6178274154663086:	imu;	yaw,	1.4758942127227783
0.6225929260253906:	imu;	yaw,	1.4758942127227783
0.6306416988372803:	imu;	yaw,	1.4758942127227783
0.634150505065918:	imu;	yaw,	1.4758942127227783
0.6421232223510742:	imu;	yaw,	1.4758942127227783
0.6456880569458008:	altitude;	altitude,	69.27249145507812
0.652259111404419:	imu;	yaw,	1.4758942127227783
0.6558966636657715:	imu;	yaw,	1.4758942127227783
0.665130615234375:	imu;	yaw,	1.4758942127227783
0.667447566986084:	imu;	yaw,	1.4758942127227783
0.6741623878479004:	imu;	yaw,	1.4758942127227783
0.6786022186279297:	servo;	0
0.6803483963012695:	imu;	yaw,	1.4758942127227783
0.6832048892974854:	motors;	0
0.6840484142303467:	imu;	yaw,	1.4758942127227783
0.6888666152954102:	servo;	0
0.6932365894317627:	imu;	yaw,	1.4758942127227783
0.7061111927032471:	servo;	0
0.7105581760406494:	motors;	0
0.7496211528778076:	servo;	0
0.7575469017028809:	servo;	0
0.7854716777801514:	servo;	0
0.790989875793457:	servo;	0
0.8123717308044434:	gps;	lat,	42.42729568481445|	long,	-71.42086791992188|	altitude,	82.80000305175781|	found,	12
0.8182237148284912:	imu;	yaw,	1.4758942127227783
0.8248882293701172:	imu;	yaw,	1.4758942127227783
0.8290724754333496:	imu;	yaw,	1.4758942127227783
0.8351662158966064:	imu;	yaw,	1.4758942127227783
0.8387272357940674:	imu;	yaw,	1.4758942127227783
0.8438441753387451:	imu;	yaw,	1.4758942127227783
0.8482582569122314:	imu;	yaw,	1.4758942127227783
0.8503663539886475:	motors;	0
0.8554770946502686:	imu;	yaw,	1.4758942127227783
0.8608107566833496:	imu;	yaw,	1.4758942127227783
0.8658277988433838:	imu;	yaw,	1.4758942127227783
0.8718750476837158:	imu;	yaw,	1.4758942127227783
0.8760721683502197:	imu;	yaw,	1.4758942127227783
0.8808786869049072:	altitude;	altitude,	69.50501251220703
0.8849482536315918:	imu;	yaw,	1.4758942127227783
0.8903923034667969:	servo;	0
0.8929440975189209:	imu;	yaw,	1.4758942127227783
0.896538496017456:	imu;	yaw,	1.4758942127227783
0.8973474502563477:	servo;	-1
0.9018089771270752:	motors;	0
0.9055519104003906:	imu;	yaw,	1.4758942127227783
0.907451868057251:	servo;	-1
0.911846399307251:	imu;	yaw,	1.4758942127227783
0.9120142459869385:	motors;	0
0.917025089263916:	imu;	yaw,	1.4758942127227783
0.9177188873291016:	servo;	-2
0.9221985340118408:	motors;	0
0.926677942276001:	servo;	-1
0.9274642467498779:	imu;	yaw,	1.4758942127227783
0.9312140941619873:	motors;	0
0.9362704753875732:	imu;	yaw,	1.4758942127227783
0.9369521141052246:	motors;	0
0.9416477680206299:	motors;	0
0.9452042579650879:	imu;	yaw,	1.4758942127227783
0.9477653503417969:	servo;	-2
0.951801061630249:	imu;	yaw,	1.4758942127227783
0.952556848526001:	motors;	100
0.9575777053833008:	servo;	-1
0.9595882892608643:	imu;	yaw,	1.4758942127227783
0.9625906944274902:	motors;	100
0.9677877426147461:	imu;	yaw,	1.4758942127227783
0.9682462215423584:	motors;	100
0.9726173877716064:	servo;	-1
0.9758832454681396:	imu;	yaw,	1.4758942127227783
0.9769735336303711:	motors;	100
0.982306718826294:	imu;	yaw,	1.4758942127227783
0.9861350059509277:	motors;	100
0.9898021221160889:	imu;	yaw,	1.4758942127227783
0.9920239448547363:	servo;	-1
0.9961702823638916:	imu;	yaw,	1.4758942127227783
1.002018928527832:	motors;	100
1.0075933933258057:	imu;	yaw,	1.480257272720337
1.0081820487976074:	servo;	0
1.0092613697052002:	imu;	yaw,	1.480257272720337
1.0137345790863037:	motors;	100
1.016411304473877:	imu;	yaw,	1.480257272720337
1.0196774005889893:	servo;	0
1.0259654521942139:	imu;	yaw,	1.480257272720337
1.033216953277588:	altitude;	altitude,	69.54200744628906
1.0369136333465576:	imu;	yaw,	1.480257272720337
1.0435268878936768:	imu;	yaw,	1.480257272720337
1.0470976829528809:	imu;	yaw,	1.480257272720337
1.0599572658538818:	imu;	yaw,	1.480257272720337
1.0604679584503174:	imu;	yaw,	1.480257272720337
1.0635359287261963:	imu;	yaw,	1.480257272720337
1.0669753551483154:	imu;	yaw,	1.480257272720337
1.0717778205871582:	imu;	yaw,	1.480257272720337
1.0766797065734863:	imu;	yaw,	1.480257272720337
1.083836317062378:	imu;	yaw,	1.480257272720337
1.087219476699829:	imu;	yaw,	1.480257272720337
1.0935800075531006:	imu;	yaw,	1.480257272720337
1.0984899997711182:	servo;	0
1.1004018783569336:	imu;	yaw,	1.480257272720337
1.1063947677612305:	servo;	0
1.1103262901306152:	imu;	yaw,	1.480257272720337
1.113353967666626:	servo;	0
1.1173417568206787:	imu;	yaw,	1.480257272720337
1.1196110248565674:	servo;	0
1.1227929592132568:	imu;	yaw,	1.480257272720337
1.1297821998596191:	imu;	yaw,	1.480257272720337
1.1345665454864502:	imu;	yaw,	1.480257272720337
1.138256549835205:	imu;	yaw,	1.480257272720337
1.146348476409912:	imu;	yaw,	1.480257272720337
1.146735668182373:	servo;	0
1.151362657546997:	altitude;	altitude,	69.54200744628906
1.1531250476837158:	servo;	-1
1.1562025547027588:	imu;	yaw,	1.480257272720337
1.1591203212738037:	servo;	-4
1.1622862815856934:	encoder;	counts,	1
1.169712781906128:	imu;	yaw,	1.480257272720337
1.1726973056793213:	imu;	yaw,	1.480257272720337
1.1777620315551758:	imu;	yaw,	1.480257272720337
1.178483247756958:	servo;	-4
1.184793472290039:	imu;	yaw,	1.480257272720337
1.189591884613037:	imu;	yaw,	1.480257272720337
1.197272777557373:	imu;	yaw,	1.480257272720337
1.2019081115722656:	imu;	yaw,	1.480257272720337
1.20747709274292:	imu;	yaw,	1.480257272720337
1.2118065357208252:	imu;	yaw,	1.480257272720337
1.2153849601745605:	imu;	yaw,	1.480257272720337
1.2174882888793945:	servo;	-5
1.219430685043335:	imu;	yaw,	1.480257272720337
1.2267415523529053:	imu;	yaw,	1.480257272720337
1.2327585220336914:	imu;	yaw,	1.480257272720337
1.2379875183105469:	imu;	yaw,	1.480257272720337
1.244621753692627:	imu;	yaw,	1.480257272720337
1.2484183311462402:	imu;	yaw,	1.480257272720337
1.2548840045928955:	imu;	yaw,	1.480257272720337
1.2586736679077148:	imu;	yaw,	1.480257272720337
