0.4514760971069336:	imu;	yaw,	4.548764228820801
0.4563629627227783:	imu;	yaw,	4.548764228820801
0.46294379234313965:	imu;	yaw,	4.548764228820801
0.46683573722839355:	imu;	yaw,	4.548764228820801
0.4671289920806885:	servo;	0
0.4742276668548584:	imu;	yaw,	4.548764228820801
0.4784538745880127:	servo;	0
0.4810054302215576:	imu;	yaw,	4.548764228820801
0.48822808265686035:	imu;	yaw,	4.548764228820801
0.49229955673217773:	imu;	yaw,	4.548764228820801
0.4977121353149414:	altitude;	altitude,	74.54383087158203
0.5054357051849365:	imu;	yaw,	4.598942756652832
0.5064759254455566:	imu;	yaw,	4.598942756652832
0.513070821762085:	imu;	yaw,	4.598942756652832
0.5168390274047852:	imu;	yaw,	4.598942756652832
0.5231201648712158:	imu;	yaw,	4.598942756652832
0.5307276248931885:	servo;	0
0.5387475490570068:	servo;	0
0.5704152584075928:	servo;	0
0.5828466415405273:	servo;	0
0.6284811496734619:	gps;	lat,	42.42728805541992|	long,	71.42089080810547|	altitude,	0.0|	found,	11
0.6359550952911377:	imu;	yaw,	4.598942756652832
0.6394350528717041:	imu;	yaw,	4.598942756652832
0.6447889804840088:	imu;	yaw,	4.598942756652832
0.6498453617095947:	imu;	yaw,	4.598942756652832
0.6542911529541016:	imu;	yaw,	4.598942756652832
0.6585566997528076:	servo;	0
0.6605594158172607:	imu;	yaw,	4.598942756652832
0.6643848419189453:	servo;	0
0.6677041053771973:	imu;	yaw,	4.598942756652832
0.6745455265045166:	imu;	yaw,	4.598942756652832
0.6795690059661865:	imu;	yaw,	4.598942756652832
0.6866364479064941:	imu;	yaw,	4.598942756652832
0.691002607345581:	imu;	yaw,	4.598942756652832
0.6947624683380127:	imu;	yaw,	4.598942756652832
0.6997535228729248:	imu;	yaw,	4.598942756652832
0.703575611114502:	imu;	yaw,	4.598942756652832
0.7089791297912598:	imu;	yaw,	4.598942756652832
0.71413254737854:	altitude;	altitude,	74.21883392333984
0.7193272113800049:	imu;	yaw,	4.598942756652832
0.7255642414093018:	imu;	yaw,	4.598942756652832
0.7291519641876221:	imu;	yaw,	4.598942756652832
0.7358958721160889:	imu;	yaw,	4.598942756652832
0.7406272888183594:	imu;	yaw,	4.598942756652832
0.7501940727233887:	imu;	yaw,	4.598942756652832
0.7586383819580078:	imu;	yaw,	4.598942756652832
0.759814977645874:	imu;	yaw,	4.598942756652832
0.7649621963500977:	imu;	yaw,	4.598942756652832
0.7727258205413818:	imu;	yaw,	4.598942756652832
0.7768962383270264:	imu;	yaw,	4.598942756652832
0.783519983291626:	imu;	yaw,	4.598942756652832
0.7870464324951172:	imu;	yaw,	4.598942756652832
0.7926361560821533:	imu;	yaw,	4.598942756652832
0.7971744537353516:	imu;	yaw,	4.598942756652832
0.8022727966308594:	imu;	yaw,	4.598942756652832
0.8071601390838623:	imu;	yaw,	4.598942756652832
0.8137881755828857:	imu;	yaw,	4.598942756652832
0.8189399242401123:	imu;	yaw,	4.598942756652832
0.8225793838500977:	servo;	0
0.8254237174987793:	imu;	yaw,	4.598942756652832
0.8315954208374023:	altitude;	altitude,	74.21883392333984
0.8373086452484131:	imu;	yaw,	4.598942756652832
0.8386788368225098:	servo;	0
0.8406491279602051:	imu;	yaw,	4.598942756652832
0.8488664627075195:	imu;	yaw,	4.598942756652832
0.852158784866333:	imu;	yaw,	4.598942756652832
0.8577220439910889:	imu;	yaw,	4.598942756652832
0.8584258556365967:	servo;	0
0.8641705513000488:	imu;	yaw,	4.598942756652832
0.8646671772003174:	servo;	0
0.8699295520782471:	imu;	yaw,	4.598942756652832
0.8769257068634033:	imu;	yaw,	4.598942756652832
0.883690595626831:	imu;	yaw,	4.598942756652832
0.8874905109405518:	imu;	yaw,	4.598942756652832
0.8918209075927734:	imu;	yaw,	4.598942756652832
0.8961448669433594:	imu;	yaw,	4.598942756652832
0.9045028686523438:	imu;	yaw,	4.554218769073486
0.906367301940918:	imu;	yaw,	4.554218769073486
0.910423994064331:	servo;	0
0.9136908054351807:	imu;	yaw,	4.554218769073486
0.9185352325439453:	servo;	0
0.9193086624145508:	imu;	yaw,	4.554218769073486
0.9241621494293213:	imu;	yaw,	4.554218769073486
0.9331932067871094:	imu;	yaw,	4.554218769073486
0.9369122982025146:	imu;	yaw,	4.554218769073486
0.9418540000915527:	imu;	yaw,	4.554218769073486
0.9457435607910156:	altitude;	altitude,	74.71029663085938
0.9507067203521729:	imu;	yaw,	4.554218769073486
0.9549610614776611:	imu;	yaw,	4.554218769073486
