0.6251192092895508:	imu;	yaw,	1.2653636932373047
0.6289186477661133:	imu;	yaw,	1.2653636932373047
0.6350741386413574:	imu;	yaw,	1.2653636932373047
0.6396646499633789:	imu;	yaw,	1.2653636932373047
0.6460084915161133:	imu;	yaw,	1.2653636932373047
0.6510176658630371:	imu;	yaw,	1.2653636932373047
0.6546273231506348:	imu;	yaw,	1.2653636932373047
0.6619949340820312:	imu;	yaw,	1.2653636932373047
0.6661007404327393:	imu;	yaw,	1.2653636932373047
0.6733870506286621:	imu;	yaw,	1.2653636932373047
0.6774866580963135:	imu;	yaw,	1.2653636932373047
0.6806459426879883:	motors;	0
0.6824989318847656:	imu;	yaw,	1.2653636932373047
0.6862916946411133:	motors;	0
0.6887333393096924:	imu;	yaw,	1.2653636932373047
0.6962530612945557:	motors;	0
0.6970171928405762:	altitude;	altitude,	69.35704803466797
0.7018613815307617:	imu;	yaw,	1.2653636932373047
0.7021660804748535:	motors;	0
0.7077779769897461:	motors;	0
0.7129619121551514:	imu;	yaw,	1.2653636932373047
0.7133166790008545:	motors;	0
0.719571590423584:	imu;	yaw,	1.2653636932373047
0.7262544631958008:	imu;	yaw,	1.2653636932373047
0.7307834625244141:	imu;	yaw,	1.2653636932373047
0.7323768138885498:	motors;	0
0.736212968826294:	imu;	yaw,	1.2653636932373047
0.7437710762023926:	imu;	yaw,	1.2653636932373047
0.7441673278808594:	motors;	0
0.7479441165924072:	imu;	yaw,	1.2653636932373047
0.7571678161621094:	imu;	yaw,	1.2653636932373047
0.7627348899841309:	imu;	yaw,	1.2653636932373047
0.7668321132659912:	imu;	yaw,	1.2653636932373047
0.7729406356811523:	imu;	yaw,	1.2653636932373047
0.777024507522583:	imu;	yaw,	1.2653636932373047
0.7805397510528564:	imu;	yaw,	1.2653636932373047
0.7858614921569824:	imu;	yaw,	1.2653636932373047
0.7973849773406982:	imu;	yaw,	1.2653636932373047
0.8040342330932617:	imu;	yaw,	1.2653636932373047
0.8075048923492432:	imu;	yaw,	1.2653636932373047
0.8149142265319824:	imu;	yaw,	1.2653636932373047
0.8189809322357178:	imu;	yaw,	1.2653636932373047
0.8255574703216553:	altitude;	altitude,	69.35704803466797
0.8290197849273682:	imu;	yaw,	1.2653636932373047
0.8331863880157471:	imu;	yaw,	1.2653636932373047
0.8385951519012451:	imu;	yaw,	1.2653636932373047
0.8446245193481445:	imu;	yaw,	1.2653636932373047
0.8486809730529785:	imu;	yaw,	1.2653636932373047
0.8558948040008545:	imu;	yaw,	1.2653636932373047
0.8600895404815674:	imu;	yaw,	1.2653636932373047
0.8661632537841797:	imu;	yaw,	1.2653636932373047
0.8729770183563232:	imu;	yaw,	1.2653636932373047
0.8770954608917236:	imu;	yaw,	1.2653636932373047
0.8820967674255371:	imu;	yaw,	1.2653636932373047
0.8868386745452881:	imu;	yaw,	1.2653636932373047
0.8951189517974854:	imu;	yaw,	1.2653636932373047
0.8987987041473389:	imu;	yaw,	1.2653636932373047
0.9054234027862549:	imu;	yaw,	1.2653636932373047
0.9084904193878174:	imu;	yaw,	1.2653636932373047
0.916492223739624:	imu;	yaw,	1.2653636932373047
0.9201104640960693:	imu;	yaw,	1.2653636932373047
0.9267597198486328:	imu;	yaw,	1.2653636932373047
0.931663990020752:	imu;	yaw,	1.2653636932373047
0.9382889270782471:	altitude;	altitude,	69.35704803466797
0.9443261623382568:	imu;	yaw,	1.2653636932373047
0.9484548568725586:	imu;	yaw,	1.2653636932373047
0.9544756412506104:	imu;	yaw,	1.2653636932373047
0.9586136341094971:	imu;	yaw,	1.2653636932373047
0.9659624099731445:	imu;	yaw,	1.2653636932373047
0.970238447189331:	imu;	yaw,	1.2653636932373047
0.9769289493560791:	imu;	yaw,	1.2653636932373047
0.9814231395721436:	imu;	yaw,	1.2653636932373047
0.9869017601013184:	imu;	yaw,	1.2653636932373047
0.995201826095581:	imu;	yaw,	1.2653636932373047
0.9989335536956787:	imu;	yaw,	1.2653636932373047
1.0052757263183594:	motors;	0
1.0061585903167725:	imu;	yaw,	1.2653636932373047
1.0097942352294922:	imu;	yaw,	1.2653636932373047
1.0133082866668701:	motors;	0
