0.005785942077636719:	imu;	yaw,	5.151993751525879
0.008566617965698242:	imu;	yaw,	5.151993751525879
0.012182474136352539:	imu;	yaw,	5.151993751525879
0.017047643661499023:	imu;	yaw,	5.151993751525879
0.02338695526123047:	imu;	yaw,	5.151993751525879
0.028757810592651367:	servo;	-2
0.03338479995727539:	gps;	lat,	42.42735290527344|	long,	71.4209213256836|	found,	11
0.03651618957519531:	motors;	0
0.03695225715637207:	imu;	yaw,	5.151993751525879
0.041069984436035156:	encoder;	counts,	0
0.04519534111022949:	imu;	yaw,	5.151993751525879
0.046921491622924805:	servo;	-2
0.055957794189453125:	motors;	0
0.0561673641204834:	imu;	yaw,	5.151993751525879
0.06086277961730957:	imu;	yaw,	5.151993751525879
0.06586194038391113:	imu;	yaw,	5.151993751525879
0.06784629821777344:	servo;	-2
0.07370591163635254:	motors;	0
0.07385993003845215:	imu;	yaw,	5.151993751525879
0.07761979103088379:	imu;	yaw,	5.151993751525879
0.07940220832824707:	servo;	-2
0.08562850952148438:	motors;	0
0.08576536178588867:	imu;	yaw,	5.151993751525879
0.0905153751373291:	servo;	-2
0.09551787376403809:	motors;	0
0.10143017768859863:	imu;	yaw,	5.151993751525879
0.10277795791625977:	servo;	-2
0.10534906387329102:	imu;	yaw,	5.151993751525879
0.10795760154724121:	motors;	0
0.11428213119506836:	servo;	-2
0.11441731452941895:	imu;	yaw,	5.151993751525879
0.11999273300170898:	motors;	0
0.12283492088317871:	imu;	yaw,	5.151993751525879
0.12530088424682617:	servo;	-2
0.12804555892944336:	imu;	yaw,	5.151993751525879
0.13037657737731934:	motors;	0
0.1365048885345459:	servo;	-2
0.13672709465026855:	imu;	yaw,	5.151993751525879
0.13977479934692383:	motors;	0
0.1436173915863037:	imu;	yaw,	5.151993751525879
0.14478182792663574:	servo;	-2
0.14949870109558105:	motors;	0
0.15233588218688965:	imu;	yaw,	5.151993751525879
0.1548607349395752:	servo;	-2
0.15752792358398438:	imu;	yaw,	5.151993751525879
0.15987777709960938:	motors;	0
0.16553115844726562:	imu;	yaw,	5.151993751525879
0.16658997535705566:	servo;	-2
0.17088818550109863:	motors;	0
0.17410778999328613:	imu;	yaw,	5.151993751525879
0.17603659629821777:	servo;	-2
0.17955708503723145:	imu;	yaw,	5.151993751525879
0.18089628219604492:	motors;	0
0.18566179275512695:	imu;	yaw,	5.151993751525879
0.1875286102294922:	servo;	-2
0.19370555877685547:	motors;	0
0.19383478164672852:	imu;	yaw,	5.151993751525879
0.20006227493286133:	servo;	-2
0.20336127281188965:	motors;	0
0.20349621772766113:	imu;	yaw,	5.151993751525879
0.2076256275177002:	imu;	yaw,	5.151993751525879
0.20893573760986328:	servo;	-2
0.21368670463562012:	motors;	0
0.21631312370300293:	imu;	yaw,	5.151993751525879
0.22057390213012695:	servo;	-2
0.22397160530090332:	imu;	yaw,	5.151993751525879
0.22502970695495605:	motors;	0
0.23073196411132812:	imu;	yaw,	5.151993751525879
0.23171234130859375:	servo;	-2
0.236433744430542:	imu;	yaw,	5.151993751525879
0.23744416236877441:	motors;	0
0.24627995491027832:	servo;	-2
0.24642729759216309:	imu;	yaw,	5.151993751525879
0.2502157688140869:	motors;	0
0.25360774993896484:	imu;	yaw,	5.151993751525879
0.2555527687072754:	servo;	-2
0.2582399845123291:	imu;	yaw,	5.151993751525879
0.26077985763549805:	motors;	0
0.2685394287109375:	servo;	-2
0.2686772346496582:	imu;	yaw,	5.151993751525879
0.27546095848083496:	motors;	0
0.2756164073944092:	imu;	yaw,	5.151993751525879
0.28140950202941895:	servo;	-2
0.28154468536376953:	imu;	yaw,	5.151993751525879
0.2860443592071533:	imu;	yaw,	5.151993751525879
0.28715944290161133:	motors;	0
0.29261136054992676:	servo;	-2
0.2951700687408447:	imu;	yaw,	5.151993751525879
0.2975947856903076:	motors;	0
0.3058815002441406:	servo;	-2
0.3060479164123535:	imu;	yaw,	5.151993751525879
0.30936193466186523:	imu;	yaw,	5.151993751525879
0.3104724884033203:	motors;	0
0.31526899337768555:	servo;	-2
0.31806230545043945:	imu;	yaw,	5.151993751525879
0.3204834461212158:	motors;	0
0.324617862701416:	imu;	yaw,	5.151993751525879
0.32657289505004883:	servo;	-2
0.33064842224121094:	imu;	yaw,	5.151993751525879
0.3316836357116699:	motors;	0
0.337299108505249:	imu;	yaw,	5.151993751525879
0.3396158218383789:	servo;	-2
0.3456144332885742:	motors;	0
0.3457489013671875:	imu;	yaw,	5.151993751525879
0.3501713275909424:	servo;	-2
0.35288000106811523:	imu;	yaw,	5.151993751525879
0.3545384407043457:	motors;	0
0.35912609100341797:	imu;	yaw,	5.151993751525879
0.360501766204834:	servo;	-2
0.3681802749633789:	motors;	0
0.3683350086212158:	imu;	yaw,	5.151993751525879
0.3744661808013916:	servo;	-2
0.3746068477630615:	imu;	yaw,	5.151993751525879
0.3777496814727783:	motors;	0
0.38019776344299316:	imu;	yaw,	5.151993751525879
0.3836557865142822:	servo;	-1
0.38705897331237793:	imu;	yaw,	5.151993751525879
0.3881819248199463:	motors;	0
0.39775753021240234:	servo;	-2
0.3980214595794678:	imu;	yaw,	5.151993751525879
0.3996236324310303:	motors;	0
0.4061563014984131:	servo;	-2
0.4064502716064453:	imu;	yaw,	5.151993751525879
0.41134214401245117:	motors;	0
0.4114978313446045:	imu;	yaw,	5.151993751525879
0.4168100357055664:	servo;	-2
0.4170339107513428:	imu;	yaw,	5.151993751525879
0.4189169406890869:	motors;	0
0.42732882499694824:	servo;	-1
0.42749691009521484:	imu;	yaw,	5.151993751525879
0.4305713176727295:	motors;	0
0.4307079315185547:	imu;	yaw,	5.151993751525879
0.4345085620880127:	servo;	-1
0.4384925365447998:	imu;	yaw,	5.151993751525879
0.43958187103271484:	motors;	0
0.44619083404541016:	servo;	-1
0.44632482528686523:	imu;	yaw,	5.151993751525879
0.45346975326538086:	motors;	0
0.45360517501831055:	imu;	yaw,	5.151993751525879
0.46068572998046875:	servo;	0
0.4608421325683594:	imu;	yaw,	5.151993751525879
0.46312665939331055:	motors;	0
0.4678010940551758:	imu;	yaw,	5.151993751525879
0.46931982040405273:	servo;	0
0.4762277603149414:	motors;	0
0.47637939453125:	imu;	yaw,	5.151993751525879
0.48206591606140137:	servo;	0
0.48241615295410156:	imu;	yaw,	5.151993751525879
