0.44638490676879883:	imu;	yaw,	6.27882194519043
0.44722461700439453:	motors;	0
0.4533848762512207:	servo;	0
0.4534916877746582:	imu;	yaw,	6.27882194519043
0.4596848487854004:	motors;	0
0.45983099937438965:	imu;	yaw,	6.27882194519043
0.46160364151000977:	servo;	0
0.46687984466552734:	motors;	0
0.4669780731201172:	imu;	yaw,	6.27882194519043
0.47121262550354004:	servo;	0
0.4744298458099365:	imu;	yaw,	6.27882194519043
0.47552490234375:	motors;	0
0.48061132431030273:	imu;	yaw,	6.27882194519043
0.4816317558288574:	servo;	0
0.4857635498046875:	motors;	0
0.48813629150390625:	imu;	yaw,	6.27882194519043
0.4912395477294922:	servo;	0
0.49718379974365234:	motors;	0
0.4974343776702881:	imu;	yaw,	6.27882194519043
0.5004720687866211:	servo;	0
0.5046892166137695:	imu;	yaw,	6.27882194519043
0.5055489540100098:	motors;	0
0.5114245414733887:	servo;	0
0.5115211009979248:	imu;	yaw,	6.27991247177124
0.514519214630127:	motors;	0
0.5198345184326172:	imu;	yaw,	6.27991247177124
0.5208487510681152:	servo;	0
0.5267133712768555:	motors;	0
0.5268139839172363:	imu;	yaw,	6.27991247177124
0.529728889465332:	servo;	0
0.5326578617095947:	imu;	yaw,	6.27991247177124
0.5344984531402588:	motors;	0
0.5396163463592529:	imu;	yaw,	6.27991247177124
0.5404796600341797:	servo;	0
0.545130729675293:	motors;	0
0.5452613830566406:	imu;	yaw,	6.281003952026367
0.5521445274353027:	servo;	0
0.5523922443389893:	imu;	yaw,	6.27991247177124
0.5547528266906738:	motors;	0
0.5581793785095215:	imu;	yaw,	6.27991247177124
0.5592813491821289:	servo;	0
0.5644040107727051:	motors;	0
0.5673890113830566:	imu;	yaw,	6.27882194519043
0.5690157413482666:	servo;	0
0.5725045204162598:	imu;	yaw,	6.27882194519043
0.5734140872955322:	motors;	0
0.5782232284545898:	servo;	0
0.5811188220977783:	imu;	yaw,	6.27882194519043
0.5824928283691406:	motors;	0
0.5863685607910156:	imu;	yaw,	6.277731895446777
0.5875051021575928:	servo;	0
0.5904338359832764:	imu;	yaw,	6.277731895446777
0.5922048091888428:	motors;	0
0.5964748859405518:	imu;	yaw,	6.277731895446777
0.5975062847137451:	servo;	0
0.6032638549804688:	motors;	0
0.6034388542175293:	imu;	yaw,	6.27664041519165
0.6064951419830322:	servo;	0
0.6096670627593994:	imu;	yaw,	6.27664041519165
0.6116209030151367:	motors;	0
0.6160097122192383:	servo;	0
0.6181330680847168:	imu;	yaw,	6.27664041519165
0.6203243732452393:	motors;	0
0.6262829303741455:	servo;	0
0.6263864040374756:	imu;	yaw,	6.27554988861084
0.6297314167022705:	motors;	0
0.6324732303619385:	imu;	yaw,	6.274458885192871
0.6341269016265869:	servo;	0
0.6373584270477295:	imu;	yaw,	6.274458885192871
0.6388747692108154:	motors;	0
0.6444911956787109:	imu;	yaw,	6.2733683586120605
0.6453845500946045:	servo;	0
0.6500678062438965:	motors;	0
0.6501593589782715:	imu;	yaw,	6.2733683586120605
0.654984712600708:	servo;	0
0.6578023433685303:	imu;	yaw,	6.2733683586120605
0.6593067646026611:	motors;	0
0.665125846862793:	servo;	0
0.6652233600616455:	imu;	yaw,	6.272277355194092
0.6679496765136719:	motors;	0
0.6718692779541016:	imu;	yaw,	6.271186828613281
0.6744852066040039:	servo;	0
0.6795172691345215:	motors;	0
0.679617166519165:	imu;	yaw,	6.271186828613281
0.685903787612915:	servo;	0
0.6860058307647705:	imu;	yaw,	6.270095348358154
0.6893553733825684:	motors;	0
0.6918587684631348:	imu;	yaw,	6.270095348358154
0.693993330001831:	servo;	0
0.6986031532287598:	motors;	0
0.7030010223388672:	imu;	yaw,	6.270095348358154
0.7047102451324463:	servo;	0
