long, lat
-71.42086252570152, 42.4273123538726
-71.4208770734633, 42.42728746525916
-71.4208440522046, 42.42731853817652
-71.42081239748323, 42.427343644469474
-71.42078408131609, 42.42735867207459
-71.42075466275347, 42.42736915358077
-71.42073788701406, 42.427369087382864
-71.42071628219162, 42.42736341671947
-71.42069069616532, 42.427356526111616
-71.4206674278478, 42.42734311467121
-71.42065027648047, 42.427328831412325
-71.42062420148139, 42.42731890056564
-71.42060610907487, 42.42730473482298
-71.42059557171936, 42.42728119399357
-71.42060342291134, 42.427243070282316
-71.42061996962953, 42.427206444473214
-71.42064483057818, 42.42717353190805
-71.42066780042913, 42.42714771772944
-71.42069281525887, 42.42712585132474
-71.42071453777912, 42.42710947507277
-71.42074025595704, 42.427092927961084
-71.42076673996189, 42.427078811675
-71.42079727195079, 42.427064259330066
-71.42083358188125, 42.42705191702172
-71.42086718772843, 42.427044730333385
-71.42090595130547, 42.4270394983046
-71.42094201450311, 42.42703846051446
-71.42097918483175, 42.42703702698554
-71.42101964572943, 42.427037254438595
-71.4210525762122, 42.42704021478012
-71.42108362178166, 42.427048100464326
-71.42109445270192, 42.427069989324096
-71.42108074067369, 42.42710864815427
-71.42106850482148, 42.4271403302338
-71.42106248118252, 42.427165803088215
-71.42104547888096, 42.427197402104575
-71.42103288933565, 42.427224085267504
-71.4210133299345, 42.42725252462985
-71.42098562525284, 42.427280940413254
-71.42097245616101, 42.427293697885155
-71.4209380943157, 42.4273171377459
-71.42090873558062, 42.42733187827713
-71.42088054697422, 42.427344095864605
-71.42086197519689, 42.427347659742665
