num, long, lat
0, -71.42085127124547, 42.427326439564176
50, -71.42085136025568, 42.42732655016396
100, -71.4208515859281, 42.42732683057358
150, -71.4208519493658, 42.42732728267824
200, -71.42085230603962, 42.42732778576022
250, -71.42085295006815, 42.42732896373921
300, -71.4208535317135, 42.427329926692195
350, -71.42085432046298, 42.42733133343648
400, -71.42085447411965, 42.42733274647106
450, -71.42085413791298, 42.42733402279626
500, -71.4208521916018, 42.42733627714307
550, -71.42084897859237, 42.42733973250713
600, -71.42084745280806, 42.427340782795405
650, -71.42084515929736, 42.42734199160163
700, -71.42084221089459, 42.427343114104524
750, -71.42083962421987, 42.427344120359244
800, -71.42083555734975, 42.427344831237164
850, -71.42083283338724, 42.42734552057783
900, -71.42082778163424, 42.427346401785776
950, -71.4208235556445, 42.42734822179581
1000, -71.4208192185665, 42.42734901049962
1050, -71.42081562548027, 42.4273504537937
1100, -71.42081081797045, 42.42735125306918
1150, -71.42080540662484, 42.42735159333628
1200, -71.42080144222173, 42.427352420185535
1250, -71.42079637388522, 42.42735379334358
1300, -71.42079234111253, 42.42735397565684
1350, -71.42078799366102, 42.42735370917401
1400, -71.42078375725156, 42.427353464143025
1450, -71.42077994194162, 42.427353003957045
1500, -71.42077516107123, 42.42735269837458
1550, -71.420771209256, 42.42735239760069
1600, -71.42076634598133, 42.42735086850662
1650, -71.42076394670528, 42.427350431018205
1700, -71.42075913103353, 42.427348925448385
1750, -71.42075542732064, 42.427348367520416
1800, -71.42075148316107, 42.427347333089436
1850, -71.42074629598376, 42.42734573032049
1900, -71.42074344438957, 42.427346035841886
1950, -71.42073876104197, 42.42734466985338
2000, -71.42073388646297, 42.42734353723072
2050, -71.42073125567464, 42.427344439902804
2100, -71.42072751515737, 42.42734294139826
2150, -71.42072349922047, 42.42734114150204
2200, -71.42071853712403, 42.427338951310944
2250, -71.42071520448005, 42.427338305547686
2300, -71.42070941861442, 42.42733705183901
2350, -71.42070320744982, 42.42733402670795
2400, -71.42069841352489, 42.427331425604166
2450, -71.42069093589008, 42.427327198962445
2500, -71.42068741842917, 42.42732516001479
2550, -71.42067906687672, 42.42732033510223
2600, -71.42067374938144, 42.42731750615424
2650, -71.4206663683043, 42.42731428902681
2700, -71.42066175526486, 42.42731276110992
2750, -71.42065806997267, 42.427310705199545
2800, -71.42065275620308, 42.427307517390446
2850, -71.42064943135429, 42.4273043585076
2900, -71.42064069917883, 42.427300179644064
2950, -71.42063029773477, 42.42729568257315
3000, -71.42062320391946, 42.42729174080093
3050, -71.42061427976427, 42.42728613174596
3100, -71.42060796402095, 42.427282054181745
3150, -71.42060101804964, 42.42727721457271
3200, -71.42059492103175, 42.42727241701171
3250, -71.42059048050906, 42.42726883886488
3300, -71.42058630214476, 42.42726479928659
3350, -71.42058261569198, 42.42726141117398
3400, -71.42057958323069, 42.42725853053032
3450, -71.42057689276416, 42.42725462988293
3500, -71.4205748777681, 42.42725187950126
3550, -71.42057289807634, 42.42724931268831
3600, -71.42057118810145, 42.42724683499133
3650, -71.42057008559529, 42.42724454583567
3700, -71.42056937663507, 42.42724222694985
3750, -71.42056908897966, 42.427240592718235
3800, -71.42056960368721, 42.42723774833794
3850, -71.42057055626472, 42.42723543532436
3900, -71.42057146820083, 42.42723300330276
3950, -71.42057323914742, 42.42723101820323
4000, -71.42057577316957, 42.4272290436371
4050, -71.4205777787222, 42.42722669523707
4100, -71.42057921361221, 42.42722493521043
4150, -71.42058135940695, 42.42722255329624
4200, -71.42058416203324, 42.42722023925844
4250, -71.42058627218614, 42.42721867409364
4300, -71.42058979284775, 42.42721599791341
4350, -71.42059264058481, 42.427213778871106
4400, -71.42059574954177, 42.42721152647364
4450, -71.4205990605298, 42.42720932181394
4500, -71.42060166482304, 42.427207362937054
4550, -71.42060431277116, 42.427205027254864
4600, -71.4206074005327, 42.42720233979465
4650, -71.42061026517453, 42.42719990289468
4700, -71.42061361710712, 42.427197141778066
4750, -71.42061738187171, 42.42719363392868
4800, -71.42062026676162, 42.42719154665087
4850, -71.42062296745827, 42.427189515479476
4900, -71.42062680522814, 42.42718658753657
4950, -71.42063007652851, 42.427184080129024
5000, -71.42063346427604, 42.427181683663285
5050, -71.42063742784653, 42.42717904862738
5100, -71.42064113519984, 42.42717637581837
5150, -71.42064545666844, 42.42717376645294
5200, -71.42065025280363, 42.42717067584986
5250, -71.4206548117581, 42.427168304944345
5300, -71.42065802923932, 42.42716653004329
5350, -71.42066237094208, 42.427163362957565
5400, -71.42066622870011, 42.427160590323076
5450, -71.4206693988228, 42.4271582577068
5500, -71.42067417763143, 42.427155681983486
5550, -71.42067910893842, 42.42715268944723
5600, -71.42068311788064, 42.42715036678131
5650, -71.4206882014979, 42.427147489819056
5700, -71.42069180045951, 42.42714539073279
5750, -71.4206974865894, 42.427142168320714
5800, -71.42070235136121, 42.427139523702344
5850, -71.4207067558919, 42.42713707776668
5900, -71.42071261702449, 42.42713383557524
5950, -71.42071774299083, 42.427130512084645
6000, -71.42072194705638, 42.427128233664185
6050, -71.4207263672968, 42.427125349530726
6100, -71.42073046687163, 42.42712275738266
6150, -71.42073481959623, 42.427120840697135
6200, -71.42074003561349, 42.42711883435552
6250, -71.42074477986866, 42.42711756813873
6300, -71.42074986641941, 42.42711579145309
6350, -71.42075477223807, 42.427114502998826
6400, -71.42075995413656, 42.42711403404559
6450, -71.42076496683828, 42.42711366888557
6500, -71.42076968306591, 42.427113454909204
6550, -71.42077617920528, 42.427112977059444
6600, -71.42078186574538, 42.427111423742
6650, -71.42078804598547, 42.427111065408106
