,servo_steering,motor,builtin_accel,,,gps,,,,
timestamp,position,speed,x,y,z,lat,long,speed,heading,hdop
9.417533874511719e-05,0,speed,0,0,0,0,0,0,0,0
0.005540132522583008,0,speed,0,0,0,0,0,0,0,0
0.011046171188354492,0,speed,0,0,0,0,0,0,0,0
0.017373085021972656,0,speed,0,0,0,0,0,0,0,0
0.022958993911743164,0,speed,0,0,0,0,0,0,0,0
0.029229164123535156,0,speed,0,0,0,0,0,0,0,0
0.03443503379821777,0,speed,0,0,0,0,0,0,0,0
0.03986215591430664,0,speed,0,0,0,0,0,0,0,0
0.04555511474609375,0,speed,0,0,0,0,0,0,0,0
0.05182909965515137,0,speed,0,0,0,0,0,0,0,0
0.058171987533569336,0,speed,-1,-14,16,0,0,0,0,0
0.06444096565246582,0,speed,-1,-14,16,0,0,0,0,0
0.06975102424621582,0,speed,-1,-14,16,0,0,0,0,0
0.07577395439147949,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.08158111572265625,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.08791017532348633,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.09423112869262695,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.09988117218017578,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.1061701774597168,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.11209797859191895,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.11798596382141113,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.12321901321411133,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.12929296493530273,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.13857817649841309,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.14465618133544922,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.15080714225769043,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.15675997734069824,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.16310501098632812,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.16845917701721191,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.1747879981994629,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.18092012405395508,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.18726801872253418,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.1923830509185791,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.1975700855255127,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.20306897163391113,0,speed,-1,-14,16,0,0.0,0,0.0,0.0
0.20939898490905762,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.21536517143249512,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.22148609161376953,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.22777104377746582,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.23345208168029785,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.23888611793518066,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.24465417861938477,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.2500319480895996,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.2563750743865967,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.26151013374328613,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.26807308197021484,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.27411913871765137,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.27957916259765625,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.28601598739624023,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.29244112968444824,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.2977941036224365,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.3035240173339844,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.309581995010376,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.31604504585266113,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.32241010665893555,0,speed,1,-15,16,0,0.0,0,0.0,0.0
0.32878613471984863,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3339860439300537,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3401451110839844,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.34665799140930176,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3518950939178467,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3579390048980713,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3637809753417969,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3700439929962158,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.37558412551879883,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3820970058441162,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3883521556854248,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.3938710689544678,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.39974117279052734,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.40572404861450195,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.4116811752319336,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.41701602935791016,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.42233800888061523,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.42813897132873535,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.4337179660797119,0,speed,1,-14,17,0,0.0,0,0.0,0.0
0.4395580291748047,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.44574713706970215,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.45221614837646484,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.45749711990356445,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.4627420902252197,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.46802711486816406,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.4740321636199951,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.48049116134643555,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.4861011505126953,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.49155402183532715,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.4980010986328125,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5045640468597412,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5101640224456787,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5167131423950195,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5223419666290283,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5287899971008301,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5352301597595215,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.541579008102417,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.5478990077972412,0,speed,-1,-13,16,0,0.0,0,0.0,0.0
0.554250955581665,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5597870349884033,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5663230419158936,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5728840827941895,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5793559551239014,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5858340263366699,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5922911167144775,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.5988340377807617,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6053810119628906,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6120049953460693,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.618455171585083,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6240971088409424,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6304011344909668,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6368119716644287,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6425909996032715,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6477811336517334,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.654365062713623,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6601619720458984,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6665761470794678,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6722290515899658,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6788561344146729,0,speed,2,-15,16,0,0.0,0,0.0,0.0
0.6852800846099854,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.6918411254882812,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.6982710361480713,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7047171592712402,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.710839033126831,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7171740531921387,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7224600315093994,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7278900146484375,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7343740463256836,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7409260272979736,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7469620704650879,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7534201145172119,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7591650485992432,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7646050453186035,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7711970806121826,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7774829864501953,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7831580638885498,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7896709442138672,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.7963039875030518,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.8025000095367432,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.8077070713043213,0,speed,-1,-15,17,0,0.0,0,0.0,0.0
0.8129820823669434,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8183419704437256,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8238861560821533,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8292801380157471,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8347101211547852,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8407599925994873,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8459479808807373,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8523461818695068,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8587930202484131,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8651900291442871,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8712630271911621,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8767900466918945,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8826580047607422,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8883769512176514,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.8947479724884033,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.9008011817932129,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.9071691036224365,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.9129390716552734,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.9183640480041504,0,speed,0,-15,16,0,0.0,0,0.0,0.0
0.9236910343170166,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9301190376281738,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.935636043548584,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9422869682312012,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9483730792999268,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9542760848999023,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9595470428466797,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9660899639129639,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9724249839782715,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9780330657958984,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9837081432342529,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
0.9894890785217285,0,speed,-1,-15,16,0,0.0,0,0.0,0.0
