,servo_steering,motor,builtin_accel,,,gps,,,,
timestamp,position,speed,x,y,z,lat,long,speed,heading,hdop
0.00014090538024902344,0,speed,0,0,0,0,0,0,0,0
0.0057680606842041016,0,speed,1,-13,18,0,0,0,0,0
0.011590957641601562,0,speed,-1,-14,18,0,0,0,0,0
0.017998933792114258,0,speed,-1,-14,18,0,0,0,0,0
0.02434992790222168,0,speed,-1,-14,18,0,0,0,0,0
0.031477928161621094,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.037127017974853516,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.04304003715515137,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.0483088493347168,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.05473494529724121,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.06115293502807617,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.06756091117858887,0,speed,-1,-14,18,0,0.0,0,0.0,0.0
0.07281303405761719,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.0790410041809082,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.08499002456665039,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.09128689765930176,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.09682393074035645,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.1031808853149414,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.10906600952148438,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.11543989181518555,0,speed,-1,-12,18,0,0.0,0,0.0,0.0
0.12180304527282715,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.12801384925842285,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.1343369483947754,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.14160490036010742,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.14789700508117676,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.15346384048461914,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.159376859664917,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.16540193557739258,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.17169904708862305,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.17808198928833008,0,speed,0,-13,18,0,0.0,0,0.0,0.0
0.18449091911315918,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.19152188301086426,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.19816803932189941,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.2045290470123291,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.21023106575012207,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.21672296524047852,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.22301888465881348,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.2286210060119629,0,speed,1,-12,18,0,0.0,0,0.0,0.0
0.23426389694213867,0,speed,0,-11,18,0,0.0,0,0.0,0.0
0.23945403099060059,0,speed,0,-11,18,0,0.0,0,0.0,0.0
0.24585604667663574,0,speed,0,-11,18,0,0.0,0,0.0,0.0
0.2523038387298584,0,speed,0,-11,18,0,0.0,0,0.0,0.0
