,servo_steering,builtin_accel,,,gps,,,,,encoder
timestamp,position,x,y,z,lat,long,speed,heading,hdop,counts
0.00018072128295898438,0,0,0,0,0,0,0,0,0,0
0.0054929256439208984,0,0,0,0,0,0,0,0,0,0
0.010771512985229492,0,0,0,0,0,0,0,0,0,0
0.0161130428314209,0,0,0,0,0,0,0,0,0,0
0.02141714096069336,0,0,0,0,0,0,0,0,0,0
0.026888132095336914,0,0,0,0,0,0,0,0,0,0
0.03204917907714844,0,0,0,0,0,0,0,0,0,0
0.037195682525634766,0,7,-1,22,0,0,0,0,0,0
0.042427778244018555,0,7,-1,22,0,0,0,0,0,0
0.04770064353942871,0,7,-1,22,0,0,0,0,0,0
0.053003549575805664,0,7,-1,22,0,0,0,0,0,0
0.0583040714263916,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.06360483169555664,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.06892037391662598,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.07422447204589844,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.07958483695983887,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.08493566513061523,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.09029412269592285,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.09565520286560059,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.10092663764953613,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.10618185997009277,0,7,-1,22,0,0.0,0,0.0,0.0,0
0.1114964485168457,0,6,1,22,0,0.0,0,0.0,0.0,0
0.11684513092041016,0,6,1,22,0,0.0,0,0.0,0.0,0
0.12212967872619629,0,6,1,22,0,0.0,0,0.0,0.0,0
0.12831974029541016,0,6,1,22,0,0.0,0,0.0,0.0,0
0.13363909721374512,0,6,1,22,0,0.0,0,0.0,0.0,0
0.13925528526306152,0,6,1,22,0,0.0,0,0.0,0.0,0
0.1446514129638672,0,6,1,22,0,0.0,0,0.0,0.0,0
0.1499478816986084,0,6,1,22,0,0.0,0,0.0,0.0,0
0.15530085563659668,0,6,1,22,0,0.0,0,0.0,0.0,0
0.160658597946167,0,6,1,22,0,0.0,0,0.0,0.0,0
0.16601085662841797,0,6,1,22,0,0.0,0,0.0,0.0,0
0.1714475154876709,0,6,0,22,0,0.0,0,0.0,0.0,0
0.17676377296447754,0,6,0,22,0,0.0,0,0.0,0.0,0
0.1820087432861328,0,6,0,22,0,0.0,0,0.0,0.0,0
0.1882765293121338,0,6,0,22,0,0.0,0,0.0,0.0,0
0.1936333179473877,0,6,0,22,0,0.0,0,0.0,0.0,0
0.199385404586792,0,6,0,22,0,0.0,0,0.0,0.0,0
0.20474648475646973,0,6,0,22,0,0.0,0,0.0,0.0,0
0.2100677490234375,0,6,0,22,0,0.0,0,0.0,0.0,0
0.2153928279876709,0,6,0,22,0,0.0,0,0.0,0.0,0
0.2207489013671875,0,6,0,22,0,0.0,0,0.0,0.0,0
0.22610116004943848,0,6,0,22,0,0.0,0,0.0,0.0,0
0.23136401176452637,0,6,0,21,0,0.0,0,0.0,0.0,0
0.23668503761291504,0,6,0,21,0,0.0,0,0.0,0.0,0
0.24198365211486816,0,6,0,21,0,0.0,0,0.0,0.0,0
0.24726510047912598,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2525489330291748,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2582731246948242,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2638125419616699,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2690999507904053,0,6,0,21,0,0.0,0,0.0,0.0,0
0.27445340156555176,0,6,0,21,0,0.0,0,0.0,0.0,0
0.27980613708496094,0,6,0,21,0,0.0,0,0.0,0.0,0
0.28516101837158203,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2905161380767822,0,6,0,21,0,0.0,0,0.0,0.0,0
0.2958097457885742,0,6,0,21,0,0.0,0,0.0,0.0,0
0.30110788345336914,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.30651307106018066,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3118746280670166,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3184525966644287,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3238036632537842,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3293955326080322,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3346986770629883,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.34001803398132324,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.34533238410949707,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3506472110748291,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.35596179962158203,0,6,-1,21,0,0.0,0,0.0,0.0,0
0.3618502616882324,0,5,0,22,0,0.0,0,0.0,0.0,0
0.36838436126708984,0,5,0,22,0,0.0,0,0.0,0.0,0
0.37371325492858887,0,5,0,22,0,0.0,0,0.0,0.0,0
0.37906670570373535,0,5,0,22,0,0.0,0,0.0,0.0,0
0.38442397117614746,0,5,0,22,0,0.0,0,0.0,0.0,0
0.389843225479126,0,5,0,22,0,0.0,0,0.0,0.0,0
0.39512085914611816,0,5,0,22,0,0.0,0,0.0,0.0,0
0.40043210983276367,0,5,0,22,0,0.0,0,0.0,0.0,0
0.4057431221008301,0,5,0,22,0,0.0,0,0.0,0.0,0
0.4110569953918457,0,5,0,22,0,0.0,0,0.0,0.0,0
0.4164578914642334,0,5,0,22,0,0.0,0,0.0,0.0,0
0.4219510555267334,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.42836689949035645,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.43367934226989746,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4389925003051758,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4443063735961914,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4496278762817383,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4549582004547119,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4602792263031006,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.46559786796569824,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4709160327911377,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.4762246608734131,0,6,-2,21,0,0.0,0,0.0,0.0,0
0.48156189918518066,0,6,0,21,0,0.0,0,0.0,0.0,0
0.48693251609802246,0,6,0,21,0,0.0,0,0.0,0.0,0
0.4922003746032715,0,6,0,21,0,0.0,0,0.0,0.0,0
0.49741458892822266,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5026946067810059,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5083677768707275,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5136573314666748,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5191595554351807,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5244762897491455,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5297267436981201,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5350048542022705,0,6,0,21,0,0.0,0,0.0,0.0,0
0.540320634841919,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5456340312957764,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5510444641113281,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5563578605651855,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5616745948791504,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5684130191802979,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5737247467041016,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5791101455688477,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5843644142150879,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5896437168121338,0,6,0,21,0,0.0,0,0.0,0.0,0
0.5949573516845703,0,6,0,21,0,0.0,0,0.0,0.0,0
0.6002752780914307,0,6,0,21,0,0.0,0,0.0,0.0,0
0.605597972869873,0,6,0,21,0,0.0,0,0.0,0.0,0
0.6110086441040039,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6162338256835938,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6215600967407227,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6269087791442871,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6322231292724609,0,5,1,21,0,0.0,0,0.0,0.0,0
