,servo_steering,builtin_accel,,,gps,,,,,encoder
timestamp,position,x,y,z,lat,long,speed,heading,hdop,counts
0.00027489662170410156,0,0,0,0,0,0,0,0,0,counts
0.005518436431884766,0,0,0,0,0,0,0,0,0,counts
0.010739803314208984,0,7,-3,21,0,0,0,0,0,counts
0.015996694564819336,0,7,-3,21,0,0,0,0,0,counts
0.02121281623840332,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.02642965316772461,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.03168129920959473,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.037407636642456055,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.04270482063293457,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.0479738712310791,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.05321788787841797,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.058452606201171875,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.06371283531188965,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.06952738761901855,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.07484674453735352,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.08012080192565918,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.0854191780090332,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.09221696853637695,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.09760284423828125,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.10289573669433594,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.10816812515258789,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.11347508430480957,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.1187582015991211,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.1244962215423584,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.1298236846923828,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.13509082794189453,0,7,-3,21,0,0.0,0,0.0,0.0,counts
0.14036917686462402,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.14568495750427246,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.15112757682800293,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.15646100044250488,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.16178584098815918,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.1671457290649414,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.17249727249145508,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.17772912979125977,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.18303656578063965,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.18867254257202148,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.19394731521606445,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.19945573806762695,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.2047731876373291,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.20999431610107422,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.21529769897460938,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.22218585014343262,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.22747397422790527,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.23273658752441406,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.2379772663116455,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.2432239055633545,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.24849867820739746,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.25409364700317383,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.25950050354003906,0,8,-3,22,0,0.0,0,0.0,0.0,counts
0.2646751403808594,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.2701692581176758,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.27550697326660156,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.28298258781433105,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.2883927822113037,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.29366397857666016,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.2989366054534912,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.3042454719543457,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.30974888801574707,0,8,-3,21,0,0.0,0,0.0,0.0,counts
0.3153982162475586,0,8,-3,21,0,0.0,0,0.0,0.0,counts
