,servo_steering,motor,builtin_accel,,,gps,,,,
timestamp,position,speed,x,y,z,lat,long,speed,heading,hdop
7.414817810058594e-05,0,speed,0,0,0,0,0,0,0,0
0.005213022232055664,0,speed,0,0,0,0,0,0,0,0
0.011099100112915039,0,speed,0,0,0,0,0,0,0,0
0.01676011085510254,0,speed,0,0,0,0,0,0,0,0
0.023097991943359375,0,speed,0,0,0,0,0.0,0,0.0,0.0
0.029441118240356445,0,speed,0,0,0,0,0.0,0,0.0,0.0
0.03575897216796875,0,speed,0,0,0,0,0.0,0,0.0,0.0
0.041851043701171875,0,speed,-10,-12,17,0,0.0,0,0.0,0.0
0.04751896858215332,0,speed,-10,-12,17,0,0.0,0,0.0,0.0
0.05386519432067871,0,speed,-10,-12,17,0,0.0,0,0.0,0.0
0.06020307540893555,0,speed,-10,-12,17,0,0.0,0,0.0,0.0
0.06644606590270996,0,speed,-10,-12,17,0,0.0,0,0.0,0.0
0.0715479850769043,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.07730412483215332,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.08358097076416016,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.08899998664855957,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.09501004219055176,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.10044503211975098,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.10674309730529785,0,speed,-11,-12,16,0,0.0,0,0.0,0.0
0.11274099349975586,0,speed,-8,-10,15,0,0.0,0,0.0,0.0
0.11898207664489746,0,speed,-8,-10,15,0,0.0,0,0.0,0.0
0.12456107139587402,0,speed,-8,-10,15,0,0.0,0,0.0,0.0
0.13085007667541504,0,speed,-8,-10,15,0,0.0,0,0.0,0.0
0.13678598403930664,0,speed,-8,-10,15,0,0.0,0,0.0,0.0
0.14237213134765625,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.14757800102233887,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.15276312828063965,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.15909504890441895,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.1653439998626709,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.17134499549865723,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.17676615715026855,0,speed,-9,-10,15,0,0.0,0,0.0,0.0
0.18314099311828613,0,speed,-7,-12,16,0,0.0,0,0.0,0.0
0.18962812423706055,0,speed,-7,-12,16,0,0.0,0,0.0,0.0
0.1960749626159668,0,speed,-7,-12,16,0,0.0,0,0.0,0.0
0.20258212089538574,0,speed,-7,-12,16,0,0.0,0,0.0,0.0
0.20873117446899414,0,speed,-11,-10,17,0,0.0,0,0.0,0.0
0.21448302268981934,0,speed,-11,-10,17,0,0.0,0,0.0,0.0
0.2200300693511963,0,speed,-11,-10,17,0,0.0,0,0.0,0.0
