,servo_steering,motor,builtin_accel,,,gps,,,,
timestamp,position,speed,x,y,z,lat,long,speed,heading,hdop
0.00013184547424316406,1,91,0,0,0,0,0,0,0,0
0.005383968353271484,2,92,0,0,0,0,0,0,0,0
0.010488033294677734,3,93,-8,-12,15,0,0,0,0,0
0.016841888427734375,4,94,-8,-12,15,0,0,0,0,0
0.022435903549194336,5,95,-8,-11,16,0,0,0,0,0
0.02823185920715332,6,96,-8,-11,16,0,0,0,0,0
0.03431987762451172,7,97,-8,-11,16,0,0,0,0,0
0.04012298583984375,8,98,-8,-11,16,0,0,0,0,0
0.04613995552062988,9,99,-9,-10,16,0,0,0,0,0
0.05246901512145996,10,100,-9,-11,16,0,0,0,0,0
0.058351993560791016,11,101,-9,-11,16,0,0,0,0,0
0.0649268627166748,12,102,-9,-11,16,0,0,0,0,0
0.0709848403930664,13,103,-8,-14,16,0,0,0,0,0
0.07660102844238281,14,104,-8,-14,16,0,0,0,0,0
0.08229184150695801,15,105,-9,-12,15,0,0,0,0,0
0.08754587173461914,16,106,-9,-12,15,0,0,0,0,0
0.09331083297729492,17,107,-8,-11,16,0,0,0,0,0
0.09849882125854492,18,108,-8,-11,16,0,0,0,0,0
0.10410189628601074,19,109,-8,-11,16,0,0,0,0,0
0.10970687866210938,20,110,-8,-11,16,0,0,0,0,0
0.11567497253417969,21,111,-8,-11,16,0,0,0,0,0
0.12106800079345703,22,112,-10,-11,15,0,0,0,0,0
0.12674283981323242,23,113,-10,-11,15,0,0,0,0,0
0.13192391395568848,24,114,-7,-11,16,0,0,0,0,0
0.13782691955566406,25,115,-7,-11,16,0,0,0,0,0
0.14397692680358887,26,116,-7,-11,16,0,0,0,0,0
0.14976787567138672,27,117,-7,-11,16,0,0,0,0,0
0.1553208827972412,28,118,-10,-11,16,0,0,0,0,0
0.1609649658203125,29,119,-9,-12,16,0,0,0,0,0
0.16711902618408203,30,120,-9,-12,16,0,0,0,0,0
0.1728818416595459,31,121,-9,-12,16,0,0,0,0,0
0.17842388153076172,32,122,-9,-12,16,0,0,0,0,0
0.1848769187927246,33,123,-10,-11,15,0,0,0,0,0
0.19025588035583496,34,124,-10,-11,15,0,0,0,0,0
0.19552898406982422,35,125,-7,-10,16,0,0,0,0,0
0.2019200325012207,36,126,-9,-12,17,0,0,0,0,0
0.20814299583435059,37,127,-9,-12,17,0,0,0,0,0
0.21451187133789062,38,128,-9,-12,17,0,0,0,0,0
0.22078800201416016,39,129,-9,-12,17,0,0,0,0,0
0.2263040542602539,40,130,-9,-12,17,0,0,0,0,0
0.2323589324951172,41,131,-9,-11,16,0,0,0,0,0
0.23835992813110352,42,132,-9,-11,16,0,0,0,0,0
0.2448439598083496,43,133,-9,-11,16,0,0,0,0,0
0.250560998916626,44,134,-9,-11,16,0,0,0,0,0
0.25656700134277344,45,135,-9,-11,16,0,0,0,0,0
0.2627530097961426,46,136,-9,-12,16,0,0,0,0,0
0.26918601989746094,47,137,-9,-12,16,0,0,0,0,0
0.2754368782043457,48,138,-9,-10,17,0,0,0,0,0
0.281203031539917,49,139,-9,-10,17,0,0,0,0,0
0.2866199016571045,50,140,-9,-10,17,0,0,0,0,0
0.29306888580322266,51,141,-9,-11,15,0,0,0,0,0
0.29843592643737793,52,142,-9,-11,15,0,0,0,0,0
0.3041210174560547,53,143,-8,-10,15,0,0,0,0,0
0.30999088287353516,54,144,-8,-10,15,0,0,0,0,0
0.31618785858154297,55,145,-8,-12,16,0,0,0,0,0
0.32255005836486816,56,146,-8,-12,16,0,0,0,0,0
0.32913684844970703,57,147,-8,-12,16,0,0,0,0,0
0.334758996963501,58,148,-8,-12,16,0,0,0,0,0
0.3400750160217285,59,149,-8,-12,16,0,0,0,0,0
0.3463289737701416,60,150,-8,-11,16,0,0,0,0,0
0.35163092613220215,61,151,-9,-11,16,0,0,0,0,0
0.3580508232116699,62,152,-9,-11,16,0,0,0,0,0
0.36442995071411133,63,153,-9,-11,16,0,0,0,0,0
0.36957597732543945,64,154,-9,-11,16,0,0,0,0,0
0.3760719299316406,65,155,-9,-11,16,0,0,0,0,0
0.38251304626464844,66,156,-9,-10,16,0,0,0,0,0
0.38805294036865234,67,157,-9,-10,16,0,0,0,0,0
0.3944878578186035,68,158,-9,-10,16,0,0,0,0,0
0.4007070064544678,69,159,-10,-12,15,0,0,0,0,0
0.4065070152282715,70,160,-10,-12,15,0,0,0,0,0
0.4129939079284668,71,161,-8,-9,16,0,0,0,0,0
0.41850805282592773,72,162,-8,-9,16,0,0,0,0,0
0.4242129325866699,73,163,-9,-11,16,0,0,0,0,0
0.43012189865112305,74,164,-9,-11,16,0,0,0,0,0
0.43630504608154297,75,165,-9,-11,16,0,0,0,0,0
0.4422938823699951,76,166,-9,-11,16,0,0,0,0,0
0.44875001907348633,77,167,-9,-11,16,0,0,0,0,0
0.45412182807922363,78,168,-10,-12,16,0,0,0,0,0
0.45990490913391113,79,169,-10,-12,16,0,0,0,0,0
0.4663670063018799,80,170,-10,-12,16,0,0,0,0,0
0.47284603118896484,81,171,-10,-12,16,0,0,0,0,0
0.4791419506072998,82,172,-10,-12,16,0,0,0,0,0
0.485522985458374,83,173,-9,-12,16,0,0,0,0,0
0.4909398555755615,84,174,-9,-12,16,0,0,0,0,0
0.4976990222930908,85,175,-9,-12,16,0,0,0,0,0
0.5031750202178955,86,176,-11,-11,16,0,0,0,0,0
0.5096390247344971,87,177,-11,-11,16,0,0,0,0,0
0.5160799026489258,88,178,-11,-11,16,0,0,0,0,0
0.5213520526885986,89,179,-9,-9,15,0,0,0,0,0
0.5280859470367432,90,180,-9,-9,15,0,0,0,0,0
0.534106969833374,89,179,-9,-9,15,0,0,0,0,0
0.5400199890136719,88,178,-9,-9,15,0,0,0,0,0
0.5463910102844238,87,177,-9,-11,15,0,0,0,0,0
0.5524678230285645,86,176,-10,-12,16,0,0,0,0,0
0.5589380264282227,85,175,-10,-12,16,0,0,0,0,0
0.5654008388519287,84,174,-10,-12,16,0,0,0,0,0
0.5709438323974609,83,173,-10,-12,15,0,0,0,0,0
0.5762269496917725,82,172,-10,-12,15,0,0,0,0,0
0.5817458629608154,81,171,-10,-12,15,0,0,0,0,0
0.5880379676818848,80,170,-10,-12,15,0,0,0,0,0
0.5943789482116699,79,169,-7,-12,15,0,0,0,0,0
0.5999488830566406,78,168,-7,-12,15,0,0,0,0,0
0.6065130233764648,77,167,-9,-11,15,0,0,0,0,0
0.6130509376525879,76,166,-10,-12,16,0,0,0,0,0
0.6184778213500977,75,165,-10,-12,16,0,0,0,0,0
0.6238999366760254,74,164,-10,-12,16,0,0,0,0,0
0.6299729347229004,73,163,-10,-12,16,0,0,0,0,0
0.6359329223632812,72,162,-10,-12,16,0,0,0,0,0
0.6418168544769287,71,161,-10,-12,15,0,0,0,0,0
0.6482679843902588,70,160,-10,-12,15,0,0,0,0,0
0.6542069911956787,69,159,-9,-12,16,0,0,0,0,0
0.6604068279266357,68,158,-9,-12,16,0,0,0,0,0
0.6657559871673584,67,157,-9,-12,16,0,0,0,0,0
0.6709418296813965,66,156,-8,-11,16,0,0,0,0,0
0.6771218776702881,65,155,-8,-11,16,0,0,0,0,0
0.6831669807434082,64,154,-9,-12,16,0,0,0,0,0
0.6884000301361084,63,153,-9,-12,16,0,0,0,0,0
0.6948690414428711,62,152,-10,-10,15,0,0,0,0,0
0.7006800174713135,61,151,-10,-10,15,0,0,0,0,0
0.7072629928588867,60,150,-10,-10,15,0,0,0,0,0
0.7128849029541016,59,149,-9,-10,16,0,0,0,0,0
0.7190518379211426,58,148,-9,-10,16,0,0,0,0,0
0.725632905960083,57,147,-10,-11,16,0,0,0,0,0
0.7309248447418213,56,146,-10,-11,16,0,0,0,0,0
0.7374019622802734,55,145,-10,-11,16,0,0,0,0,0
0.7436540126800537,54,144,-10,-11,16,0,0,0,0,0
0.7500908374786377,53,143,-10,-11,16,0,0,0,0,0
0.7566330432891846,52,142,-8,-10,15,0,0,0,0,0
0.7624878883361816,51,141,-8,-11,16,0,0,0,0,0
0.7680308818817139,50,140,-8,-11,16,0,0,0,0,0
0.7745718955993652,49,139,-8,-11,16,0,0,0,0,0
