0.5588810443878174:	lidar;	388
0.5628800392150879:	lidar;	393
0.5669140815734863:	lidar;	352
0.5669240951538086:	lidar;	35	5
0.5709061622619629:	lidar;	262
0.5749320983886719:	lidar;	214
0.5798811912536621:	lidar;	185
0.5829310417175293:	lidar;	170
0.5829451084136963:	lidar;	36	5
0.5869171619415283:	lidar;	105
0.5919201374053955:	lidar;	98
0.5959041118621826:	lidar;	94
0.5999221801757812:	lidar;	93
0.5999350547790527:	lidar;	37	5
0.6049649715423584:	lidar;	87
0.6131629943847656:	lidar;	87
0.6233210563659668:	lidar;	87
0.6233360767364502:	lidar;	89
0.6233420372009277:	lidar;	0	6
0.6233491897583008:	lidar;	89
0.6249070167541504:	lidar;	92
0.6288480758666992:	lidar;	90
0.6288549900054932:	lidar;	1	6
0.6328871250152588:	lidar;	85
0.6379060745239258:	lidar;	76
0.643895149230957:	lidar;	67
0.6489200592041016:	lidar;	55
0.6529049873352051:	lidar;	45
0.6569139957427979:	lidar;	50
0.6569252014160156:	lidar;	2	6
0.6609101295471191:	lidar;	52
0.6649429798126221:	lidar;	53
0.6699190139770508:	lidar;	49
0.6699330806732178:	lidar;	3	6
0.6729061603546143:	lidar;	52
0.68373703956604:	lidar;	60
0.6887061595916748:	lidar;	56
0.6887781620025635:	lidar;	48
0.6887850761413574:	lidar;	4	6
0.6938931941986084:	lidar;	84
0.7018680572509766:	lidar;	282
0.7028911113739014:	lidar;	5	6
0.7109119892120361:	lidar;	381
0.7179121971130371:	lidar;	98
0.7219231128692627:	lidar;	117
0.7228729724884033:	lidar;	6	6
0.7259361743927002:	lidar;	117
0.7308859825134277:	lidar;	83
0.7359440326690674:	lidar;	121
0.7359540462493896:	lidar;	7	6
0.748553991317749:	lidar;	118
0.7485711574554443:	lidar;	124
0.7505800724029541:	lidar;	127
0.7505960464477539:	lidar;	8	6
0.7542049884796143:	lidar;	333
0.7568850517272949:	lidar;	532
0.761876106262207:	lidar;	73
0.766942024230957:	lidar;	70
0.7718989849090576:	lidar;	61
0.775933027267456:	lidar;	58
0.7808730602264404:	lidar;	54
0.784905195236206:	lidar;	51
0.7918601036071777:	lidar;	398
0.7959251403808594:	lidar;	391
